row-number,field,issue-type,value
1,organisation,default,local-authority-eng:CON
1,entry-date,default,2020-09-04
2,organisation,default,local-authority-eng:CON
2,entry-date,default,2020-09-04
3,organisation,default,local-authority-eng:CON
3,entry-date,default,2020-09-04
4,organisation,default,local-authority-eng:CON
4,entry-date,default,2020-09-04
5,organisation,default,local-authority-eng:CON
5,entry-date,default,2020-09-04
6,organisation,default,local-authority-eng:CON
6,entry-date,default,2020-09-04
7,organisation,default,local-authority-eng:CON
7,entry-date,default,2020-09-04
8,organisation,default,local-authority-eng:CON
8,entry-date,default,2020-09-04
9,organisation,default,local-authority-eng:CON
9,entry-date,default,2020-09-04
10,organisation,default,local-authority-eng:CON
10,entry-date,default,2020-09-04
11,organisation,default,local-authority-eng:CON
11,entry-date,default,2020-09-04
12,organisation,default,local-authority-eng:CON
12,entry-date,default,2020-09-04
13,organisation,default,local-authority-eng:CON
13,entry-date,default,2020-09-04
14,organisation,default,local-authority-eng:CON
14,entry-date,default,2020-09-04
15,organisation,default,local-authority-eng:CON
15,entry-date,default,2020-09-04
16,organisation,default,local-authority-eng:CON
16,entry-date,default,2020-09-04
17,organisation,default,local-authority-eng:CON
17,entry-date,default,2020-09-04
18,organisation,default,local-authority-eng:CON
18,entry-date,default,2020-09-04
19,organisation,default,local-authority-eng:CON
19,entry-date,default,2020-09-04
20,organisation,default,local-authority-eng:CON
20,entry-date,default,2020-09-04
21,organisation,default,local-authority-eng:CON
21,entry-date,default,2020-09-04
22,organisation,default,local-authority-eng:CON
22,entry-date,default,2020-09-04
23,organisation,default,local-authority-eng:CON
23,entry-date,default,2020-09-04
24,organisation,default,local-authority-eng:CON
24,entry-date,default,2020-09-04
25,organisation,default,local-authority-eng:CON
25,entry-date,default,2020-09-04
26,organisation,default,local-authority-eng:CON
26,entry-date,default,2020-09-04
27,organisation,default,local-authority-eng:CON
27,entry-date,default,2020-09-04
28,organisation,default,local-authority-eng:CON
28,entry-date,default,2020-09-04
29,organisation,default,local-authority-eng:CON
29,entry-date,default,2020-09-04
30,organisation,default,local-authority-eng:CON
30,entry-date,default,2020-09-04
31,organisation,default,local-authority-eng:CON
31,entry-date,default,2020-09-04
32,organisation,default,local-authority-eng:CON
32,entry-date,default,2020-09-04
33,organisation,default,local-authority-eng:CON
33,entry-date,default,2020-09-04
34,organisation,default,local-authority-eng:CON
34,entry-date,default,2020-09-04
35,organisation,default,local-authority-eng:CON
35,entry-date,default,2020-09-04
36,organisation,default,local-authority-eng:CON
36,entry-date,default,2020-09-04
37,organisation,default,local-authority-eng:CON
37,entry-date,default,2020-09-04
38,organisation,default,local-authority-eng:CON
38,entry-date,default,2020-09-04
39,organisation,default,local-authority-eng:CON
39,entry-date,default,2020-09-04
40,organisation,default,local-authority-eng:CON
40,entry-date,default,2020-09-04
41,organisation,default,local-authority-eng:CON
41,entry-date,default,2020-09-04
42,organisation,default,local-authority-eng:CON
42,entry-date,default,2020-09-04
43,organisation,default,local-authority-eng:CON
43,entry-date,default,2020-09-04
44,organisation,default,local-authority-eng:CON
44,entry-date,default,2020-09-04
45,organisation,default,local-authority-eng:CON
45,entry-date,default,2020-09-04
46,organisation,default,local-authority-eng:CON
46,entry-date,default,2020-09-04
47,organisation,default,local-authority-eng:CON
47,entry-date,default,2020-09-04
48,organisation,default,local-authority-eng:CON
48,entry-date,default,2020-09-04
49,organisation,default,local-authority-eng:CON
49,entry-date,default,2020-09-04
50,organisation,default,local-authority-eng:CON
50,entry-date,default,2020-09-04
51,organisation,default,local-authority-eng:CON
51,entry-date,default,2020-09-04
52,organisation,default,local-authority-eng:CON
52,entry-date,default,2020-09-04
53,organisation,default,local-authority-eng:CON
53,entry-date,default,2020-09-04
54,organisation,default,local-authority-eng:CON
54,entry-date,default,2020-09-04
55,organisation,default,local-authority-eng:CON
55,entry-date,default,2020-09-04
56,organisation,default,local-authority-eng:CON
56,entry-date,default,2020-09-04
57,organisation,default,local-authority-eng:CON
57,entry-date,default,2020-09-04
58,organisation,default,local-authority-eng:CON
58,entry-date,default,2020-09-04
59,organisation,default,local-authority-eng:CON
59,entry-date,default,2020-09-04
60,organisation,default,local-authority-eng:CON
60,entry-date,default,2020-09-04
61,organisation,default,local-authority-eng:CON
61,entry-date,default,2020-09-04
62,organisation,default,local-authority-eng:CON
62,entry-date,default,2020-09-04
63,organisation,default,local-authority-eng:CON
63,entry-date,default,2020-09-04
64,organisation,default,local-authority-eng:CON
64,entry-date,default,2020-09-04
65,organisation,default,local-authority-eng:CON
65,entry-date,default,2020-09-04
66,organisation,default,local-authority-eng:CON
66,entry-date,default,2020-09-04
67,organisation,default,local-authority-eng:CON
67,entry-date,default,2020-09-04
