row-number,field,issue-type,value
1,reference,default,663719
1,organisation,default,local-authority-eng:LND
1,entry-date,default,2021-03-16
2,reference,default,663720
2,organisation,default,local-authority-eng:LND
2,entry-date,default,2021-03-16
3,reference,default,663721
3,organisation,default,local-authority-eng:LND
3,entry-date,default,2021-03-16
4,reference,default,663722
4,organisation,default,local-authority-eng:LND
4,entry-date,default,2021-03-16
5,reference,default,663723
5,organisation,default,local-authority-eng:LND
5,entry-date,default,2021-03-16
6,reference,default,663724
6,organisation,default,local-authority-eng:LND
6,entry-date,default,2021-03-16
7,reference,default,663725
7,organisation,default,local-authority-eng:LND
7,entry-date,default,2021-03-16
8,reference,default,663726
8,organisation,default,local-authority-eng:LND
8,entry-date,default,2021-03-16
9,reference,default,663727
9,organisation,default,local-authority-eng:LND
9,entry-date,default,2021-03-16
10,reference,default,663728
10,organisation,default,local-authority-eng:LND
10,entry-date,default,2021-03-16
11,reference,default,663729
11,organisation,default,local-authority-eng:LND
11,entry-date,default,2021-03-16
12,reference,default,663730
12,organisation,default,local-authority-eng:LND
12,entry-date,default,2021-03-16
13,reference,default,663731
13,organisation,default,local-authority-eng:LND
13,entry-date,default,2021-03-16
14,reference,default,663732
14,organisation,default,local-authority-eng:LND
14,entry-date,default,2021-03-16
15,reference,default,663733
15,organisation,default,local-authority-eng:LND
15,entry-date,default,2021-03-16
16,reference,default,663734
16,organisation,default,local-authority-eng:LND
16,entry-date,default,2021-03-16
17,reference,default,663735
17,organisation,default,local-authority-eng:LND
17,entry-date,default,2021-03-16
18,reference,default,663736
18,organisation,default,local-authority-eng:LND
18,entry-date,default,2021-03-16
19,reference,default,663737
19,organisation,default,local-authority-eng:LND
19,entry-date,default,2021-03-16
20,reference,default,663738
20,organisation,default,local-authority-eng:LND
20,entry-date,default,2021-03-16
21,reference,default,663739
21,organisation,default,local-authority-eng:LND
21,entry-date,default,2021-03-16
22,reference,default,663713
22,organisation,default,local-authority-eng:LND
22,entry-date,default,2021-03-16
23,reference,default,663714
23,organisation,default,local-authority-eng:LND
23,entry-date,default,2021-03-16
24,reference,default,663715
24,organisation,default,local-authority-eng:LND
24,entry-date,default,2021-03-16
25,reference,default,663716
25,organisation,default,local-authority-eng:LND
25,entry-date,default,2021-03-16
26,reference,default,663717
26,organisation,default,local-authority-eng:LND
26,entry-date,default,2021-03-16
27,reference,default,663718
27,organisation,default,local-authority-eng:LND
27,entry-date,default,2021-03-16
