row-number,field,issue-type,value
1,reference,default,680045
1,organisation,default,local-authority-eng:LND
1,entry-date,default,2021-05-29
2,reference,default,680046
2,organisation,default,local-authority-eng:LND
2,entry-date,default,2021-05-29
3,reference,default,680047
3,organisation,default,local-authority-eng:LND
3,entry-date,default,2021-05-29
4,reference,default,680048
4,organisation,default,local-authority-eng:LND
4,entry-date,default,2021-05-29
5,reference,default,680353
5,organisation,default,local-authority-eng:LND
5,entry-date,default,2021-05-29
6,reference,default,680354
6,organisation,default,local-authority-eng:LND
6,entry-date,default,2021-05-29
7,reference,default,680355
7,organisation,default,local-authority-eng:LND
7,entry-date,default,2021-05-29
8,reference,default,680356
8,organisation,default,local-authority-eng:LND
8,entry-date,default,2021-05-29
9,reference,default,680357
9,organisation,default,local-authority-eng:LND
9,entry-date,default,2021-05-29
10,reference,default,680358
10,organisation,default,local-authority-eng:LND
10,entry-date,default,2021-05-29
11,reference,default,680359
11,organisation,default,local-authority-eng:LND
11,entry-date,default,2021-05-29
12,reference,default,680360
12,organisation,default,local-authority-eng:LND
12,entry-date,default,2021-05-29
13,reference,default,680361
13,organisation,default,local-authority-eng:LND
13,entry-date,default,2021-05-29
14,reference,default,680362
14,organisation,default,local-authority-eng:LND
14,entry-date,default,2021-05-29
15,reference,default,680363
15,organisation,default,local-authority-eng:LND
15,entry-date,default,2021-05-29
16,reference,default,680364
16,organisation,default,local-authority-eng:LND
16,entry-date,default,2021-05-29
17,reference,default,680365
17,organisation,default,local-authority-eng:LND
17,entry-date,default,2021-05-29
18,reference,default,680366
18,organisation,default,local-authority-eng:LND
18,entry-date,default,2021-05-29
19,reference,default,680367
19,organisation,default,local-authority-eng:LND
19,entry-date,default,2021-05-29
20,reference,default,680371
20,organisation,default,local-authority-eng:LND
20,entry-date,default,2021-05-29
21,reference,default,680368
21,organisation,default,local-authority-eng:LND
21,entry-date,default,2021-05-29
22,reference,default,680369
22,organisation,default,local-authority-eng:LND
22,entry-date,default,2021-05-29
23,reference,default,680370
23,organisation,default,local-authority-eng:LND
23,entry-date,default,2021-05-29
24,reference,default,680372
24,organisation,default,local-authority-eng:LND
24,entry-date,default,2021-05-29
25,reference,default,680373
25,organisation,default,local-authority-eng:LND
25,entry-date,default,2021-05-29
26,reference,default,680374
26,organisation,default,local-authority-eng:LND
26,entry-date,default,2021-05-29
27,reference,default,680375
27,organisation,default,local-authority-eng:LND
27,entry-date,default,2021-05-29
