row-number,field,issue-type,value
1,reference,default,648999
1,organisation,default,local-authority-eng:LND
1,entry-date,default,2021-01-05
2,reference,default,649000
2,organisation,default,local-authority-eng:LND
2,entry-date,default,2021-01-05
3,reference,default,649001
3,organisation,default,local-authority-eng:LND
3,entry-date,default,2021-01-05
4,reference,default,649002
4,organisation,default,local-authority-eng:LND
4,entry-date,default,2021-01-05
5,reference,default,649008
5,organisation,default,local-authority-eng:LND
5,entry-date,default,2021-01-05
6,reference,default,649009
6,organisation,default,local-authority-eng:LND
6,entry-date,default,2021-01-05
7,reference,default,649010
7,organisation,default,local-authority-eng:LND
7,entry-date,default,2021-01-05
8,reference,default,649011
8,organisation,default,local-authority-eng:LND
8,entry-date,default,2021-01-05
9,reference,default,649007
9,organisation,default,local-authority-eng:LND
9,entry-date,default,2021-01-05
10,reference,default,649012
10,organisation,default,local-authority-eng:LND
10,entry-date,default,2021-01-05
11,reference,default,649013
11,organisation,default,local-authority-eng:LND
11,entry-date,default,2021-01-05
12,reference,default,649014
12,organisation,default,local-authority-eng:LND
12,entry-date,default,2021-01-05
13,reference,default,649015
13,organisation,default,local-authority-eng:LND
13,entry-date,default,2021-01-05
14,reference,default,649016
14,organisation,default,local-authority-eng:LND
14,entry-date,default,2021-01-05
15,reference,default,649017
15,organisation,default,local-authority-eng:LND
15,entry-date,default,2021-01-05
16,reference,default,649018
16,organisation,default,local-authority-eng:LND
16,entry-date,default,2021-01-05
17,reference,default,649019
17,organisation,default,local-authority-eng:LND
17,entry-date,default,2021-01-05
18,reference,default,648993
18,organisation,default,local-authority-eng:LND
18,entry-date,default,2021-01-05
19,reference,default,648994
19,organisation,default,local-authority-eng:LND
19,entry-date,default,2021-01-05
20,reference,default,648995
20,organisation,default,local-authority-eng:LND
20,entry-date,default,2021-01-05
21,reference,default,648996
21,organisation,default,local-authority-eng:LND
21,entry-date,default,2021-01-05
22,reference,default,648997
22,organisation,default,local-authority-eng:LND
22,entry-date,default,2021-01-05
23,reference,default,648998
23,organisation,default,local-authority-eng:LND
23,entry-date,default,2021-01-05
24,reference,default,649003
24,organisation,default,local-authority-eng:LND
24,entry-date,default,2021-01-05
25,reference,default,649004
25,organisation,default,local-authority-eng:LND
25,entry-date,default,2021-01-05
26,reference,default,649005
26,organisation,default,local-authority-eng:LND
26,entry-date,default,2021-01-05
27,reference,default,649006
27,organisation,default,local-authority-eng:LND
27,entry-date,default,2021-01-05
