row-number,field,issue-type,value
1,reference,default,670440
1,organisation,default,local-authority-eng:LND
1,entry-date,default,2021-04-16
2,reference,default,670441
2,organisation,default,local-authority-eng:LND
2,entry-date,default,2021-04-16
3,reference,default,670442
3,organisation,default,local-authority-eng:LND
3,entry-date,default,2021-04-16
4,reference,default,670443
4,organisation,default,local-authority-eng:LND
4,entry-date,default,2021-04-16
5,reference,default,670444
5,organisation,default,local-authority-eng:LND
5,entry-date,default,2021-04-16
6,reference,default,670130
6,organisation,default,local-authority-eng:LND
6,entry-date,default,2021-04-16
7,reference,default,670131
7,organisation,default,local-authority-eng:LND
7,entry-date,default,2021-04-16
8,reference,default,670132
8,organisation,default,local-authority-eng:LND
8,entry-date,default,2021-04-16
9,reference,default,670133
9,organisation,default,local-authority-eng:LND
9,entry-date,default,2021-04-16
10,reference,default,670134
10,organisation,default,local-authority-eng:LND
10,entry-date,default,2021-04-16
11,reference,default,670135
11,organisation,default,local-authority-eng:LND
11,entry-date,default,2021-04-16
12,reference,default,670136
12,organisation,default,local-authority-eng:LND
12,entry-date,default,2021-04-16
13,reference,default,670137
13,organisation,default,local-authority-eng:LND
13,entry-date,default,2021-04-16
14,reference,default,670138
14,organisation,default,local-authority-eng:LND
14,entry-date,default,2021-04-16
15,reference,default,670139
15,organisation,default,local-authority-eng:LND
15,entry-date,default,2021-04-16
16,reference,default,670140
16,organisation,default,local-authority-eng:LND
16,entry-date,default,2021-04-16
17,reference,default,670141
17,organisation,default,local-authority-eng:LND
17,entry-date,default,2021-04-16
18,reference,default,670142
18,organisation,default,local-authority-eng:LND
18,entry-date,default,2021-04-16
19,reference,default,670143
19,organisation,default,local-authority-eng:LND
19,entry-date,default,2021-04-16
20,reference,default,670144
20,organisation,default,local-authority-eng:LND
20,entry-date,default,2021-04-16
21,reference,default,670436
21,organisation,default,local-authority-eng:LND
21,entry-date,default,2021-04-16
22,reference,default,670437
22,organisation,default,local-authority-eng:LND
22,entry-date,default,2021-04-16
23,reference,default,670438
23,organisation,default,local-authority-eng:LND
23,entry-date,default,2021-04-16
24,reference,default,670439
24,organisation,default,local-authority-eng:LND
24,entry-date,default,2021-04-16
25,reference,default,670433
25,organisation,default,local-authority-eng:LND
25,entry-date,default,2021-04-16
26,reference,default,670434
26,organisation,default,local-authority-eng:LND
26,entry-date,default,2021-04-16
27,reference,default,670435
27,organisation,default,local-authority-eng:LND
27,entry-date,default,2021-04-16
