row-number,field,issue-type,value
1,organisation,default,local-authority-eng:COT
1,entry-date,default,2020-12-01
2,organisation,default,local-authority-eng:COT
2,entry-date,default,2020-12-01
3,organisation,default,local-authority-eng:COT
3,entry-date,default,2020-12-01
4,organisation,default,local-authority-eng:COT
4,entry-date,default,2020-12-01
5,organisation,default,local-authority-eng:COT
5,entry-date,default,2020-12-01
6,organisation,default,local-authority-eng:COT
6,entry-date,default,2020-12-01
7,organisation,default,local-authority-eng:COT
7,entry-date,default,2020-12-01
8,organisation,default,local-authority-eng:COT
8,entry-date,default,2020-12-01
9,organisation,default,local-authority-eng:COT
9,entry-date,default,2020-12-01
10,organisation,default,local-authority-eng:COT
10,entry-date,default,2020-12-01
11,organisation,default,local-authority-eng:COT
11,entry-date,default,2020-12-01
12,organisation,default,local-authority-eng:COT
12,entry-date,default,2020-12-01
13,organisation,default,local-authority-eng:COT
13,entry-date,default,2020-12-01
14,organisation,default,local-authority-eng:COT
14,entry-date,default,2020-12-01
15,organisation,default,local-authority-eng:COT
15,entry-date,default,2020-12-01
16,organisation,default,local-authority-eng:COT
16,entry-date,default,2020-12-01
17,organisation,default,local-authority-eng:COT
17,entry-date,default,2020-12-01
18,organisation,default,local-authority-eng:COT
18,entry-date,default,2020-12-01
19,organisation,default,local-authority-eng:COT
19,entry-date,default,2020-12-01
20,organisation,default,local-authority-eng:COT
20,entry-date,default,2020-12-01
21,organisation,default,local-authority-eng:COT
21,entry-date,default,2020-12-01
22,organisation,default,local-authority-eng:COT
22,entry-date,default,2020-12-01
23,organisation,default,local-authority-eng:COT
23,entry-date,default,2020-12-01
24,organisation,default,local-authority-eng:COT
24,entry-date,default,2020-12-01
25,organisation,default,local-authority-eng:COT
25,entry-date,default,2020-12-01
26,organisation,default,local-authority-eng:COT
26,entry-date,default,2020-12-01
27,organisation,default,local-authority-eng:COT
27,entry-date,default,2020-12-01
28,organisation,default,local-authority-eng:COT
28,entry-date,default,2020-12-01
29,organisation,default,local-authority-eng:COT
29,entry-date,default,2020-12-01
30,organisation,default,local-authority-eng:COT
30,entry-date,default,2020-12-01
31,organisation,default,local-authority-eng:COT
31,entry-date,default,2020-12-01
32,organisation,default,local-authority-eng:COT
32,entry-date,default,2020-12-01
33,organisation,default,local-authority-eng:COT
33,entry-date,default,2020-12-01
34,organisation,default,local-authority-eng:COT
