row-number,field,issue-type,value
1,reference,default,671417
1,organisation,default,local-authority-eng:LND
1,entry-date,default,2021-04-22
2,reference,default,671418
2,organisation,default,local-authority-eng:LND
2,entry-date,default,2021-04-22
3,reference,default,671419
3,organisation,default,local-authority-eng:LND
3,entry-date,default,2021-04-22
4,reference,default,671420
4,organisation,default,local-authority-eng:LND
4,entry-date,default,2021-04-22
5,reference,default,671421
5,organisation,default,local-authority-eng:LND
5,entry-date,default,2021-04-22
6,reference,default,671422
6,organisation,default,local-authority-eng:LND
6,entry-date,default,2021-04-22
7,reference,default,671415
7,organisation,default,local-authority-eng:LND
7,entry-date,default,2021-04-22
8,reference,default,671416
8,organisation,default,local-authority-eng:LND
8,entry-date,default,2021-04-22
9,reference,default,671423
9,organisation,default,local-authority-eng:LND
9,entry-date,default,2021-04-22
10,reference,default,671713
10,organisation,default,local-authority-eng:LND
10,entry-date,default,2021-04-22
11,reference,default,671714
11,organisation,default,local-authority-eng:LND
11,entry-date,default,2021-04-22
12,reference,default,671715
12,organisation,default,local-authority-eng:LND
12,entry-date,default,2021-04-22
13,reference,default,671716
13,organisation,default,local-authority-eng:LND
13,entry-date,default,2021-04-22
14,reference,default,671717
14,organisation,default,local-authority-eng:LND
14,entry-date,default,2021-04-22
15,reference,default,671424
15,organisation,default,local-authority-eng:LND
15,entry-date,default,2021-04-22
16,reference,default,671718
16,organisation,default,local-authority-eng:LND
16,entry-date,default,2021-04-22
17,reference,default,671719
17,organisation,default,local-authority-eng:LND
17,entry-date,default,2021-04-22
18,reference,default,671720
18,organisation,default,local-authority-eng:LND
18,entry-date,default,2021-04-22
19,reference,default,671721
19,organisation,default,local-authority-eng:LND
19,entry-date,default,2021-04-22
20,reference,default,671722
20,organisation,default,local-authority-eng:LND
20,entry-date,default,2021-04-22
21,reference,default,671723
21,organisation,default,local-authority-eng:LND
21,entry-date,default,2021-04-22
22,reference,default,671724
22,organisation,default,local-authority-eng:LND
22,entry-date,default,2021-04-22
23,reference,default,671725
23,organisation,default,local-authority-eng:LND
23,entry-date,default,2021-04-22
24,reference,default,671726
24,organisation,default,local-authority-eng:LND
24,entry-date,default,2021-04-22
25,reference,default,671727
25,organisation,default,local-authority-eng:LND
25,entry-date,default,2021-04-22
26,reference,default,671728
26,organisation,default,local-authority-eng:LND
26,entry-date,default,2021-04-22
27,reference,default,671729
27,organisation,default,local-authority-eng:LND
27,entry-date,default,2021-04-22
