row-number,field,issue-type,value
1,organisation,default,local-authority-eng:WOX
1,entry-date,default,2020-12-16
2,organisation,default,local-authority-eng:WOX
2,entry-date,default,2020-12-16
3,organisation,default,local-authority-eng:WOX
3,entry-date,default,2020-12-16
4,organisation,default,local-authority-eng:WOX
4,entry-date,default,2020-12-16
5,organisation,default,local-authority-eng:WOX
5,entry-date,default,2020-12-16
6,organisation,default,local-authority-eng:WOX
6,entry-date,default,2020-12-16
7,organisation,default,local-authority-eng:WOX
7,entry-date,default,2020-12-16
8,organisation,default,local-authority-eng:WOX
8,entry-date,default,2020-12-16
9,organisation,default,local-authority-eng:WOX
9,entry-date,default,2020-12-16
10,organisation,default,local-authority-eng:WOX
10,entry-date,default,2020-12-16
11,organisation,default,local-authority-eng:WOX
11,entry-date,default,2020-12-16
12,organisation,default,local-authority-eng:WOX
12,entry-date,default,2020-12-16
13,organisation,default,local-authority-eng:WOX
13,entry-date,default,2020-12-16
14,organisation,default,local-authority-eng:WOX
14,entry-date,default,2020-12-16
15,organisation,default,local-authority-eng:WOX
15,entry-date,default,2020-12-16
16,organisation,default,local-authority-eng:WOX
16,entry-date,default,2020-12-16
17,organisation,default,local-authority-eng:WOX
17,entry-date,default,2020-12-16
18,organisation,default,local-authority-eng:WOX
18,entry-date,default,2020-12-16
19,organisation,default,local-authority-eng:WOX
19,entry-date,default,2020-12-16
20,organisation,default,local-authority-eng:WOX
20,entry-date,default,2020-12-16
21,organisation,default,local-authority-eng:WOX
21,entry-date,default,2020-12-16
22,organisation,default,local-authority-eng:WOX
22,entry-date,default,2020-12-16
23,organisation,default,local-authority-eng:WOX
23,entry-date,default,2020-12-16
24,organisation,default,local-authority-eng:WOX
24,entry-date,default,2020-12-16
25,organisation,default,local-authority-eng:WOX
25,entry-date,default,2020-12-16
26,organisation,default,local-authority-eng:WOX
26,entry-date,default,2020-12-16
27,organisation,default,local-authority-eng:WOX
27,entry-date,default,2020-12-16
28,organisation,default,local-authority-eng:WOX
28,entry-date,default,2020-12-16
29,organisation,default,local-authority-eng:WOX
29,entry-date,default,2020-12-16
30,organisation,default,local-authority-eng:WOX
30,entry-date,default,2020-12-16
31,organisation,default,local-authority-eng:WOX
31,entry-date,default,2020-12-16
32,organisation,default,local-authority-eng:WOX
32,entry-date,default,2020-12-16
33,organisation,default,local-authority-eng:WOX
33,entry-date,default,2020-12-16
34,organisation,default,local-authority-eng:WOX
34,entry-date,default,2020-12-16
35,organisation,default,local-authority-eng:WOX
35,entry-date,default,2020-12-16
36,organisation,default,local-authority-eng:WOX
36,entry-date,default,2020-12-16
37,organisation,default,local-authority-eng:WOX
37,entry-date,default,2020-12-16
38,organisation,default,local-authority-eng:WOX
38,entry-date,default,2020-12-16
39,organisation,default,local-authority-eng:WOX
39,entry-date,default,2020-12-16
40,organisation,default,local-authority-eng:WOX
40,entry-date,default,2020-12-16
41,organisation,default,local-authority-eng:WOX
41,entry-date,default,2020-12-16
42,organisation,default,local-authority-eng:WOX
42,entry-date,default,2020-12-16
43,organisation,default,local-authority-eng:WOX
43,entry-date,default,2020-12-16
44,organisation,default,local-authority-eng:WOX
44,entry-date,default,2020-12-16
45,organisation,default,local-authority-eng:WOX
45,entry-date,default,2020-12-16
46,organisation,default,local-authority-eng:WOX
46,entry-date,default,2020-12-16
47,organisation,default,local-authority-eng:WOX
47,entry-date,default,2020-12-16
48,organisation,default,local-authority-eng:WOX
48,entry-date,default,2020-12-16
49,organisation,default,local-authority-eng:WOX
49,entry-date,default,2020-12-16
50,organisation,default,local-authority-eng:WOX
50,entry-date,default,2020-12-16
51,organisation,default,local-authority-eng:WOX
51,entry-date,default,2020-12-16
