row-number,field,issue-type,value
1,reference,default,658612
1,organisation,default,local-authority-eng:LND
1,entry-date,default,2021-02-20
2,reference,default,658613
2,organisation,default,local-authority-eng:LND
2,entry-date,default,2021-02-20
3,reference,default,658614
3,organisation,default,local-authority-eng:LND
3,entry-date,default,2021-02-20
4,reference,default,658615
4,organisation,default,local-authority-eng:LND
4,entry-date,default,2021-02-20
5,reference,default,658286
5,organisation,default,local-authority-eng:LND
5,entry-date,default,2021-02-20
6,reference,default,658287
6,organisation,default,local-authority-eng:LND
6,entry-date,default,2021-02-20
7,reference,default,658288
7,organisation,default,local-authority-eng:LND
7,entry-date,default,2021-02-20
8,reference,default,658593
8,organisation,default,local-authority-eng:LND
8,entry-date,default,2021-02-20
9,reference,default,658285
9,organisation,default,local-authority-eng:LND
9,entry-date,default,2021-02-20
10,reference,default,658594
10,organisation,default,local-authority-eng:LND
10,entry-date,default,2021-02-20
11,reference,default,658599
11,organisation,default,local-authority-eng:LND
11,entry-date,default,2021-02-20
12,reference,default,658600
12,organisation,default,local-authority-eng:LND
12,entry-date,default,2021-02-20
13,reference,default,658601
13,organisation,default,local-authority-eng:LND
13,entry-date,default,2021-02-20
14,reference,default,658602
14,organisation,default,local-authority-eng:LND
14,entry-date,default,2021-02-20
15,reference,default,658595
15,organisation,default,local-authority-eng:LND
15,entry-date,default,2021-02-20
16,reference,default,658596
16,organisation,default,local-authority-eng:LND
16,entry-date,default,2021-02-20
17,reference,default,658597
17,organisation,default,local-authority-eng:LND
17,entry-date,default,2021-02-20
18,reference,default,658598
18,organisation,default,local-authority-eng:LND
18,entry-date,default,2021-02-20
19,reference,default,658603
19,organisation,default,local-authority-eng:LND
19,entry-date,default,2021-02-20
20,reference,default,658604
20,organisation,default,local-authority-eng:LND
20,entry-date,default,2021-02-20
21,reference,default,658605
21,organisation,default,local-authority-eng:LND
21,entry-date,default,2021-02-20
22,reference,default,658606
22,organisation,default,local-authority-eng:LND
22,entry-date,default,2021-02-20
23,reference,default,658607
23,organisation,default,local-authority-eng:LND
23,entry-date,default,2021-02-20
24,reference,default,658608
24,organisation,default,local-authority-eng:LND
24,entry-date,default,2021-02-20
25,reference,default,658609
25,organisation,default,local-authority-eng:LND
25,entry-date,default,2021-02-20
26,reference,default,658610
26,organisation,default,local-authority-eng:LND
26,entry-date,default,2021-02-20
27,reference,default,658611
27,organisation,default,local-authority-eng:LND
27,entry-date,default,2021-02-20
