row-number,field,issue-type,value
1,organisation,default,local-authority-eng:CON
1,entry-date,default,2020-12-16
2,organisation,default,local-authority-eng:CON
2,entry-date,default,2020-12-16
3,organisation,default,local-authority-eng:CON
3,entry-date,default,2020-12-16
4,organisation,default,local-authority-eng:CON
4,entry-date,default,2020-12-16
5,organisation,default,local-authority-eng:CON
5,entry-date,default,2020-12-16
6,organisation,default,local-authority-eng:CON
6,entry-date,default,2020-12-16
7,organisation,default,local-authority-eng:CON
7,entry-date,default,2020-12-16
8,organisation,default,local-authority-eng:CON
8,entry-date,default,2020-12-16
9,organisation,default,local-authority-eng:CON
9,entry-date,default,2020-12-16
10,organisation,default,local-authority-eng:CON
10,entry-date,default,2020-12-16
11,organisation,default,local-authority-eng:CON
11,entry-date,default,2020-12-16
12,organisation,default,local-authority-eng:CON
12,entry-date,default,2020-12-16
13,organisation,default,local-authority-eng:CON
13,entry-date,default,2020-12-16
14,organisation,default,local-authority-eng:CON
14,entry-date,default,2020-12-16
15,organisation,default,local-authority-eng:CON
15,entry-date,default,2020-12-16
16,organisation,default,local-authority-eng:CON
16,entry-date,default,2020-12-16
17,organisation,default,local-authority-eng:CON
17,entry-date,default,2020-12-16
18,organisation,default,local-authority-eng:CON
18,entry-date,default,2020-12-16
19,organisation,default,local-authority-eng:CON
19,entry-date,default,2020-12-16
20,organisation,default,local-authority-eng:CON
20,entry-date,default,2020-12-16
21,organisation,default,local-authority-eng:CON
21,entry-date,default,2020-12-16
22,organisation,default,local-authority-eng:CON
22,entry-date,default,2020-12-16
23,organisation,default,local-authority-eng:CON
23,entry-date,default,2020-12-16
24,organisation,default,local-authority-eng:CON
24,entry-date,default,2020-12-16
25,organisation,default,local-authority-eng:CON
25,entry-date,default,2020-12-16
26,organisation,default,local-authority-eng:CON
26,entry-date,default,2020-12-16
27,organisation,default,local-authority-eng:CON
27,entry-date,default,2020-12-16
28,organisation,default,local-authority-eng:CON
28,entry-date,default,2020-12-16
29,organisation,default,local-authority-eng:CON
29,entry-date,default,2020-12-16
30,organisation,default,local-authority-eng:CON
30,entry-date,default,2020-12-16
31,organisation,default,local-authority-eng:CON
31,entry-date,default,2020-12-16
32,organisation,default,local-authority-eng:CON
32,entry-date,default,2020-12-16
33,organisation,default,local-authority-eng:CON
33,entry-date,default,2020-12-16
34,organisation,default,local-authority-eng:CON
34,entry-date,default,2020-12-16
35,organisation,default,local-authority-eng:CON
