row-number,field,issue-type,value
1,organisation,default,local-authority-eng:BOS
1,entry-date,default,2020-12-15
2,organisation,default,local-authority-eng:BOS
2,entry-date,default,2020-12-15
3,organisation,default,local-authority-eng:BOS
3,entry-date,default,2020-12-15
4,organisation,default,local-authority-eng:BOS
4,entry-date,default,2020-12-15
5,organisation,default,local-authority-eng:BOS
5,entry-date,default,2020-12-15
6,organisation,default,local-authority-eng:BOS
6,entry-date,default,2020-12-15
7,organisation,default,local-authority-eng:BOS
7,entry-date,default,2020-12-15
8,organisation,default,local-authority-eng:BOS
8,entry-date,default,2020-12-15
9,organisation,default,local-authority-eng:BOS
9,entry-date,default,2020-12-15
10,organisation,default,local-authority-eng:BOS
10,entry-date,default,2020-12-15
11,organisation,default,local-authority-eng:BOS
11,entry-date,default,2020-12-15
12,organisation,default,local-authority-eng:BOS
12,entry-date,default,2020-12-15
13,organisation,default,local-authority-eng:BOS
13,entry-date,default,2020-12-15
14,organisation,default,local-authority-eng:BOS
14,entry-date,default,2020-12-15
15,organisation,default,local-authority-eng:BOS
15,entry-date,default,2020-12-15
16,organisation,default,local-authority-eng:BOS
16,entry-date,default,2020-12-15
17,organisation,default,local-authority-eng:BOS
17,entry-date,default,2020-12-15
18,organisation,default,local-authority-eng:BOS
18,entry-date,default,2020-12-15
19,organisation,default,local-authority-eng:BOS
19,entry-date,default,2020-12-15
20,organisation,default,local-authority-eng:BOS
20,entry-date,default,2020-12-15
21,organisation,default,local-authority-eng:BOS
21,entry-date,default,2020-12-15
22,organisation,default,local-authority-eng:BOS
22,entry-date,default,2020-12-15
23,organisation,default,local-authority-eng:BOS
23,entry-date,default,2020-12-15
24,organisation,default,local-authority-eng:BOS
24,entry-date,default,2020-12-15
25,organisation,default,local-authority-eng:BOS
25,entry-date,default,2020-12-15
26,organisation,default,local-authority-eng:BOS
26,entry-date,default,2020-12-15
27,organisation,default,local-authority-eng:BOS
27,entry-date,default,2020-12-15
