row-number,field,issue-type,value
1,reference,default,654767
1,organisation,default,local-authority-eng:LND
1,entry-date,default,2021-01-30
2,reference,default,654768
2,organisation,default,local-authority-eng:LND
2,entry-date,default,2021-01-30
3,reference,default,655073
3,organisation,default,local-authority-eng:LND
3,entry-date,default,2021-01-30
4,reference,default,655074
4,organisation,default,local-authority-eng:LND
4,entry-date,default,2021-01-30
5,reference,default,655079
5,organisation,default,local-authority-eng:LND
5,entry-date,default,2021-01-30
6,reference,default,655080
6,organisation,default,local-authority-eng:LND
6,entry-date,default,2021-01-30
7,reference,default,654765
7,organisation,default,local-authority-eng:LND
7,entry-date,default,2021-01-30
8,reference,default,654766
8,organisation,default,local-authority-eng:LND
8,entry-date,default,2021-01-30
9,reference,default,655081
9,organisation,default,local-authority-eng:LND
9,entry-date,default,2021-01-30
10,reference,default,655082
10,organisation,default,local-authority-eng:LND
10,entry-date,default,2021-01-30
11,reference,default,655075
11,organisation,default,local-authority-eng:LND
11,entry-date,default,2021-01-30
12,reference,default,655076
12,organisation,default,local-authority-eng:LND
12,entry-date,default,2021-01-30
13,reference,default,655077
13,organisation,default,local-authority-eng:LND
13,entry-date,default,2021-01-30
14,reference,default,655078
14,organisation,default,local-authority-eng:LND
14,entry-date,default,2021-01-30
15,reference,default,655083
15,organisation,default,local-authority-eng:LND
15,entry-date,default,2021-01-30
16,reference,default,655084
16,organisation,default,local-authority-eng:LND
16,entry-date,default,2021-01-30
17,reference,default,655085
17,organisation,default,local-authority-eng:LND
17,entry-date,default,2021-01-30
18,reference,default,655086
18,organisation,default,local-authority-eng:LND
18,entry-date,default,2021-01-30
19,reference,default,655087
19,organisation,default,local-authority-eng:LND
19,entry-date,default,2021-01-30
20,reference,default,655088
20,organisation,default,local-authority-eng:LND
20,entry-date,default,2021-01-30
21,reference,default,655089
21,organisation,default,local-authority-eng:LND
21,entry-date,default,2021-01-30
22,reference,default,655090
22,organisation,default,local-authority-eng:LND
22,entry-date,default,2021-01-30
23,reference,default,655091
23,organisation,default,local-authority-eng:LND
23,entry-date,default,2021-01-30
24,reference,default,655092
24,organisation,default,local-authority-eng:LND
24,entry-date,default,2021-01-30
25,reference,default,655093
25,organisation,default,local-authority-eng:LND
25,entry-date,default,2021-01-30
26,reference,default,655094
26,organisation,default,local-authority-eng:LND
26,entry-date,default,2021-01-30
27,reference,default,655095
27,organisation,default,local-authority-eng:LND
27,entry-date,default,2021-01-30
