row-number,field,issue-type,value
1,reference,default,645176
1,organisation,default,local-authority-eng:LND
1,entry-date,default,2020-12-18
2,reference,default,645177
2,organisation,default,local-authority-eng:LND
2,entry-date,default,2020-12-18
3,reference,default,645178
3,organisation,default,local-authority-eng:LND
3,entry-date,default,2020-12-18
4,reference,default,645179
4,organisation,default,local-authority-eng:LND
4,entry-date,default,2020-12-18
5,reference,default,645484
5,organisation,default,local-authority-eng:LND
5,entry-date,default,2020-12-18
6,reference,default,645180
6,organisation,default,local-authority-eng:LND
6,entry-date,default,2020-12-18
7,reference,default,645181
7,organisation,default,local-authority-eng:LND
7,entry-date,default,2020-12-18
8,reference,default,645182
8,organisation,default,local-authority-eng:LND
8,entry-date,default,2020-12-18
9,reference,default,645183
9,organisation,default,local-authority-eng:LND
9,entry-date,default,2020-12-18
10,reference,default,645184
10,organisation,default,local-authority-eng:LND
10,entry-date,default,2020-12-18
11,reference,default,645473
11,organisation,default,local-authority-eng:LND
11,entry-date,default,2020-12-18
12,reference,default,645474
12,organisation,default,local-authority-eng:LND
12,entry-date,default,2020-12-18
13,reference,default,645475
13,organisation,default,local-authority-eng:LND
13,entry-date,default,2020-12-18
14,reference,default,645476
14,organisation,default,local-authority-eng:LND
14,entry-date,default,2020-12-18
15,reference,default,645477
15,organisation,default,local-authority-eng:LND
15,entry-date,default,2020-12-18
16,reference,default,645478
16,organisation,default,local-authority-eng:LND
16,entry-date,default,2020-12-18
17,reference,default,645479
17,organisation,default,local-authority-eng:LND
17,entry-date,default,2020-12-18
18,reference,default,645480
18,organisation,default,local-authority-eng:LND
18,entry-date,default,2020-12-18
19,reference,default,645481
19,organisation,default,local-authority-eng:LND
19,entry-date,default,2020-12-18
20,reference,default,645171
20,organisation,default,local-authority-eng:LND
20,entry-date,default,2020-12-18
21,reference,default,645172
21,organisation,default,local-authority-eng:LND
21,entry-date,default,2020-12-18
22,reference,default,645173
22,organisation,default,local-authority-eng:LND
22,entry-date,default,2020-12-18
23,reference,default,645174
23,organisation,default,local-authority-eng:LND
23,entry-date,default,2020-12-18
24,reference,default,645175
24,organisation,default,local-authority-eng:LND
24,entry-date,default,2020-12-18
25,reference,default,645170
25,organisation,default,local-authority-eng:LND
25,entry-date,default,2020-12-18
26,reference,default,645482
26,organisation,default,local-authority-eng:LND
26,entry-date,default,2020-12-18
27,reference,default,645483
27,organisation,default,local-authority-eng:LND
27,entry-date,default,2020-12-18
