row-number,field,issue-type,value
1,reference,default,638113
1,organisation,default,local-authority-eng:LND
1,entry-date,default,2020-11-17
2,reference,default,638114
2,organisation,default,local-authority-eng:LND
2,entry-date,default,2020-11-17
3,reference,default,638115
3,organisation,default,local-authority-eng:LND
3,entry-date,default,2020-11-17
4,reference,default,638116
4,organisation,default,local-authority-eng:LND
4,entry-date,default,2020-11-17
5,reference,default,638117
5,organisation,default,local-authority-eng:LND
5,entry-date,default,2020-11-17
6,reference,default,638118
6,organisation,default,local-authority-eng:LND
6,entry-date,default,2020-11-17
7,reference,default,638123
7,organisation,default,local-authority-eng:LND
7,entry-date,default,2020-11-17
8,reference,default,638124
8,organisation,default,local-authority-eng:LND
8,entry-date,default,2020-11-17
9,reference,default,638125
9,organisation,default,local-authority-eng:LND
9,entry-date,default,2020-11-17
10,reference,default,638126
10,organisation,default,local-authority-eng:LND
10,entry-date,default,2020-11-17
11,reference,default,638119
11,organisation,default,local-authority-eng:LND
11,entry-date,default,2020-11-17
12,reference,default,638120
12,organisation,default,local-authority-eng:LND
12,entry-date,default,2020-11-17
13,reference,default,638121
13,organisation,default,local-authority-eng:LND
13,entry-date,default,2020-11-17
14,reference,default,638122
14,organisation,default,local-authority-eng:LND
14,entry-date,default,2020-11-17
15,reference,default,638128
15,organisation,default,local-authority-eng:LND
15,entry-date,default,2020-11-17
16,reference,default,638129
16,organisation,default,local-authority-eng:LND
16,entry-date,default,2020-11-17
17,reference,default,638130
17,organisation,default,local-authority-eng:LND
17,entry-date,default,2020-11-17
18,reference,default,638131
18,organisation,default,local-authority-eng:LND
18,entry-date,default,2020-11-17
19,reference,default,638127
19,organisation,default,local-authority-eng:LND
19,entry-date,default,2020-11-17
20,reference,default,638132
20,organisation,default,local-authority-eng:LND
20,entry-date,default,2020-11-17
21,reference,default,638136
21,organisation,default,local-authority-eng:LND
21,entry-date,default,2020-11-17
22,reference,default,638137
22,organisation,default,local-authority-eng:LND
22,entry-date,default,2020-11-17
23,reference,default,638138
23,organisation,default,local-authority-eng:LND
23,entry-date,default,2020-11-17
24,reference,default,638133
24,organisation,default,local-authority-eng:LND
24,entry-date,default,2020-11-17
25,reference,default,638134
25,organisation,default,local-authority-eng:LND
25,entry-date,default,2020-11-17
26,reference,default,638135
26,organisation,default,local-authority-eng:LND
26,entry-date,default,2020-11-17
27,reference,default,638139
27,organisation,default,local-authority-eng:LND
27,entry-date,default,2020-11-17
