row-number,field,issue-type,value
1,organisation,default,local-authority-eng:NED
1,entry-date,default,2021-03-31
2,organisation,default,local-authority-eng:NED
2,entry-date,default,2021-03-31
3,organisation,default,local-authority-eng:NED
3,entry-date,default,2021-03-31
4,organisation,default,local-authority-eng:NED
4,entry-date,default,2021-03-31
5,organisation,default,local-authority-eng:NED
5,entry-date,default,2021-03-31
6,organisation,default,local-authority-eng:NED
6,entry-date,default,2021-03-31
