row-number,field,issue-type,value
1,reference,default,661815
1,organisation,default,local-authority-eng:LND
1,entry-date,default,2021-03-06
2,reference,default,661485
2,organisation,default,local-authority-eng:LND
2,entry-date,default,2021-03-06
3,reference,default,661486
3,organisation,default,local-authority-eng:LND
3,entry-date,default,2021-03-06
4,reference,default,661487
4,organisation,default,local-authority-eng:LND
4,entry-date,default,2021-03-06
5,reference,default,661488
5,organisation,default,local-authority-eng:LND
5,entry-date,default,2021-03-06
6,reference,default,661793
6,organisation,default,local-authority-eng:LND
6,entry-date,default,2021-03-06
7,reference,default,661794
7,organisation,default,local-authority-eng:LND
7,entry-date,default,2021-03-06
8,reference,default,661799
8,organisation,default,local-authority-eng:LND
8,entry-date,default,2021-03-06
9,reference,default,661800
9,organisation,default,local-authority-eng:LND
9,entry-date,default,2021-03-06
10,reference,default,661801
10,organisation,default,local-authority-eng:LND
10,entry-date,default,2021-03-06
11,reference,default,661795
11,organisation,default,local-authority-eng:LND
11,entry-date,default,2021-03-06
12,reference,default,661796
12,organisation,default,local-authority-eng:LND
12,entry-date,default,2021-03-06
13,reference,default,661797
13,organisation,default,local-authority-eng:LND
13,entry-date,default,2021-03-06
14,reference,default,661798
14,organisation,default,local-authority-eng:LND
14,entry-date,default,2021-03-06
15,reference,default,661803
15,organisation,default,local-authority-eng:LND
15,entry-date,default,2021-03-06
16,reference,default,661804
16,organisation,default,local-authority-eng:LND
16,entry-date,default,2021-03-06
17,reference,default,661805
17,organisation,default,local-authority-eng:LND
17,entry-date,default,2021-03-06
18,reference,default,661806
18,organisation,default,local-authority-eng:LND
18,entry-date,default,2021-03-06
19,reference,default,661807
19,organisation,default,local-authority-eng:LND
19,entry-date,default,2021-03-06
20,reference,default,661802
20,organisation,default,local-authority-eng:LND
20,entry-date,default,2021-03-06
21,reference,default,661809
21,organisation,default,local-authority-eng:LND
21,entry-date,default,2021-03-06
22,reference,default,661808
22,organisation,default,local-authority-eng:LND
22,entry-date,default,2021-03-06
23,reference,default,661810
23,organisation,default,local-authority-eng:LND
23,entry-date,default,2021-03-06
24,reference,default,661811
24,organisation,default,local-authority-eng:LND
24,entry-date,default,2021-03-06
25,reference,default,661812
25,organisation,default,local-authority-eng:LND
25,entry-date,default,2021-03-06
26,reference,default,661813
26,organisation,default,local-authority-eng:LND
26,entry-date,default,2021-03-06
27,reference,default,661814
27,organisation,default,local-authority-eng:LND
27,entry-date,default,2021-03-06
