row-number,field,issue-type,value
1,reference,default,1
1,organisation,default,local-authority-eng:PUR
1,entry-date,default,2020-09-11
2,reference,default,2
2,organisation,default,local-authority-eng:PUR
2,entry-date,default,2020-09-11
3,reference,default,3
3,organisation,default,local-authority-eng:PUR
3,entry-date,default,2020-09-11
4,reference,default,4
4,organisation,default,local-authority-eng:PUR
4,entry-date,default,2020-09-11
5,reference,default,5
5,organisation,default,local-authority-eng:PUR
5,entry-date,default,2020-09-11
6,reference,default,6
6,organisation,default,local-authority-eng:PUR
6,entry-date,default,2020-09-11
7,reference,default,7
7,organisation,default,local-authority-eng:PUR
7,entry-date,default,2020-09-11
8,reference,default,8
8,organisation,default,local-authority-eng:PUR
8,entry-date,default,2020-09-11
9,reference,default,9
9,organisation,default,local-authority-eng:PUR
9,entry-date,default,2020-09-11
10,reference,default,10
10,organisation,default,local-authority-eng:PUR
10,entry-date,default,2020-09-11
11,reference,default,11
11,organisation,default,local-authority-eng:PUR
11,entry-date,default,2020-09-11
12,reference,default,12
12,organisation,default,local-authority-eng:PUR
12,entry-date,default,2020-09-11
13,reference,default,19
13,organisation,default,local-authority-eng:PUR
13,entry-date,default,2020-09-11
14,reference,default,13
14,organisation,default,local-authority-eng:PUR
14,entry-date,default,2020-09-11
15,reference,default,14
15,organisation,default,local-authority-eng:PUR
15,entry-date,default,2020-09-11
16,reference,default,15
16,organisation,default,local-authority-eng:PUR
16,entry-date,default,2020-09-11
17,reference,default,16
17,organisation,default,local-authority-eng:PUR
17,entry-date,default,2020-09-11
18,reference,default,20
18,organisation,default,local-authority-eng:PUR
18,entry-date,default,2020-09-11
19,reference,default,17
19,organisation,default,local-authority-eng:PUR
19,entry-date,default,2020-09-11
20,reference,default,18
20,organisation,default,local-authority-eng:PUR
20,entry-date,default,2020-09-11
21,reference,default,32
21,organisation,default,local-authority-eng:PUR
21,entry-date,default,2020-09-11
22,reference,default,21
22,organisation,default,local-authority-eng:PUR
22,entry-date,default,2020-09-11
23,reference,default,22
23,organisation,default,local-authority-eng:PUR
23,entry-date,default,2020-09-11
24,reference,default,23
24,organisation,default,local-authority-eng:PUR
24,entry-date,default,2020-09-11
25,reference,default,24
25,organisation,default,local-authority-eng:PUR
25,entry-date,default,2020-09-11
26,reference,default,25
26,organisation,default,local-authority-eng:PUR
26,entry-date,default,2020-09-11
27,reference,default,26
27,organisation,default,local-authority-eng:PUR
27,entry-date,default,2020-09-11
28,reference,default,27
28,organisation,default,local-authority-eng:PUR
28,entry-date,default,2020-09-11
29,reference,default,28
29,organisation,default,local-authority-eng:PUR
29,entry-date,default,2020-09-11
30,reference,default,29
30,organisation,default,local-authority-eng:PUR
30,entry-date,default,2020-09-11
31,reference,default,30
31,organisation,default,local-authority-eng:PUR
31,entry-date,default,2020-09-11
32,reference,default,31
32,organisation,default,local-authority-eng:PUR
32,entry-date,default,2020-09-11
33,reference,default,33
33,organisation,default,local-authority-eng:PUR
33,entry-date,default,2020-09-11
34,reference,default,34
34,organisation,default,local-authority-eng:PUR
34,entry-date,default,2020-09-11
35,reference,default,35
35,organisation,default,local-authority-eng:PUR
35,entry-date,default,2020-09-11
36,reference,default,36
36,organisation,default,local-authority-eng:PUR
36,entry-date,default,2020-09-11
37,reference,default,37
37,organisation,default,local-authority-eng:PUR
37,entry-date,default,2020-09-11
38,reference,default,38
38,organisation,default,local-authority-eng:PUR
38,entry-date,default,2020-09-11
39,reference,default,39
39,organisation,default,local-authority-eng:PUR
39,entry-date,default,2020-09-11
40,reference,default,40
40,organisation,default,local-authority-eng:PUR
40,entry-date,default,2020-09-11
41,reference,default,41
41,organisation,default,local-authority-eng:PUR
41,entry-date,default,2020-09-11
42,reference,default,44
42,organisation,default,local-authority-eng:PUR
42,entry-date,default,2020-09-11
43,reference,default,42
43,organisation,default,local-authority-eng:PUR
43,entry-date,default,2020-09-11
44,reference,default,45
44,organisation,default,local-authority-eng:PUR
44,entry-date,default,2020-09-11
45,reference,default,46
45,organisation,default,local-authority-eng:PUR
45,entry-date,default,2020-09-11
46,reference,default,47
46,organisation,default,local-authority-eng:PUR
46,entry-date,default,2020-09-11
47,reference,default,48
47,organisation,default,local-authority-eng:PUR
47,entry-date,default,2020-09-11
48,reference,default,43
48,organisation,default,local-authority-eng:PUR
48,entry-date,default,2020-09-11
49,reference,default,49
49,organisation,default,local-authority-eng:PUR
49,entry-date,default,2020-09-11
50,reference,default,50
50,organisation,default,local-authority-eng:PUR
50,entry-date,default,2020-09-11
51,reference,default,55
51,organisation,default,local-authority-eng:PUR
51,entry-date,default,2020-09-11
52,reference,default,51
52,organisation,default,local-authority-eng:PUR
52,entry-date,default,2020-09-11
53,reference,default,52
53,organisation,default,local-authority-eng:PUR
53,entry-date,default,2020-09-11
54,reference,default,53
54,organisation,default,local-authority-eng:PUR
54,entry-date,default,2020-09-11
55,reference,default,54
55,organisation,default,local-authority-eng:PUR
55,entry-date,default,2020-09-11
56,reference,default,56
56,organisation,default,local-authority-eng:PUR
56,entry-date,default,2020-09-11
57,reference,default,57
57,organisation,default,local-authority-eng:PUR
57,entry-date,default,2020-09-11
58,reference,default,58
58,organisation,default,local-authority-eng:PUR
58,entry-date,default,2020-09-11
59,reference,default,59
59,organisation,default,local-authority-eng:PUR
59,entry-date,default,2020-09-11
60,reference,default,60
60,organisation,default,local-authority-eng:PUR
60,entry-date,default,2020-09-11
61,reference,default,61
61,organisation,default,local-authority-eng:PUR
61,entry-date,default,2020-09-11
62,reference,default,62
62,organisation,default,local-authority-eng:PUR
62,entry-date,default,2020-09-11
63,reference,default,63
63,organisation,default,local-authority-eng:PUR
63,entry-date,default,2020-09-11
64,reference,default,73
64,organisation,default,local-authority-eng:PUR
64,entry-date,default,2020-09-11
65,reference,default,64
65,organisation,default,local-authority-eng:PUR
65,entry-date,default,2020-09-11
66,reference,default,90
66,organisation,default,local-authority-eng:PUR
66,entry-date,default,2020-09-11
67,reference,default,65
67,organisation,default,local-authority-eng:PUR
67,entry-date,default,2020-09-11
68,reference,default,91
68,organisation,default,local-authority-eng:PUR
68,entry-date,default,2020-09-11
69,reference,default,66
69,organisation,default,local-authority-eng:PUR
69,entry-date,default,2020-09-11
70,reference,default,67
70,organisation,default,local-authority-eng:PUR
70,entry-date,default,2020-09-11
71,reference,default,68
71,organisation,default,local-authority-eng:PUR
71,entry-date,default,2020-09-11
72,reference,default,69
72,organisation,default,local-authority-eng:PUR
72,entry-date,default,2020-09-11
73,reference,default,70
73,organisation,default,local-authority-eng:PUR
73,entry-date,default,2020-09-11
74,reference,default,71
74,organisation,default,local-authority-eng:PUR
74,entry-date,default,2020-09-11
75,reference,default,92
75,organisation,default,local-authority-eng:PUR
75,entry-date,default,2020-09-11
76,reference,default,72
76,organisation,default,local-authority-eng:PUR
76,entry-date,default,2020-09-11
77,reference,default,74
77,organisation,default,local-authority-eng:PUR
77,entry-date,default,2020-09-11
78,reference,default,93
78,organisation,default,local-authority-eng:PUR
78,entry-date,default,2020-09-11
79,reference,default,75
79,organisation,default,local-authority-eng:PUR
79,entry-date,default,2020-09-11
80,reference,default,76
80,organisation,default,local-authority-eng:PUR
80,entry-date,default,2020-09-11
81,reference,default,77
81,organisation,default,local-authority-eng:PUR
81,entry-date,default,2020-09-11
82,reference,default,78
82,organisation,default,local-authority-eng:PUR
82,entry-date,default,2020-09-11
83,reference,default,79
83,organisation,default,local-authority-eng:PUR
83,entry-date,default,2020-09-11
84,reference,default,80
84,organisation,default,local-authority-eng:PUR
84,entry-date,default,2020-09-11
85,reference,default,81
85,organisation,default,local-authority-eng:PUR
