row-number,field,issue-type,value
1,name,default,1
1,organisation,default,local-authority-eng:SHF
1,entry-date,default,2021-02-16
2,name,default,2
2,organisation,default,local-authority-eng:SHF
2,entry-date,default,2021-02-16
3,name,default,3
3,organisation,default,local-authority-eng:SHF
3,entry-date,default,2021-02-16
4,name,default,4
4,organisation,default,local-authority-eng:SHF
4,entry-date,default,2021-02-16
5,name,default,5
5,organisation,default,local-authority-eng:SHF
5,entry-date,default,2021-02-16
6,name,default,6
6,organisation,default,local-authority-eng:SHF
6,entry-date,default,2021-02-16
7,name,default,7
7,organisation,default,local-authority-eng:SHF
7,entry-date,default,2021-02-16
8,name,default,8
8,organisation,default,local-authority-eng:SHF
8,entry-date,default,2021-02-16
9,name,default,9
9,organisation,default,local-authority-eng:SHF
9,entry-date,default,2021-02-16
10,name,default,10
10,organisation,default,local-authority-eng:SHF
10,entry-date,default,2021-02-16
11,name,default,11
11,organisation,default,local-authority-eng:SHF
11,entry-date,default,2021-02-16
12,name,default,12
12,organisation,default,local-authority-eng:SHF
12,entry-date,default,2021-02-16
13,name,default,13
13,organisation,default,local-authority-eng:SHF
13,entry-date,default,2021-02-16
14,name,default,14
14,organisation,default,local-authority-eng:SHF
14,entry-date,default,2021-02-16
15,name,default,15
15,organisation,default,local-authority-eng:SHF
15,entry-date,default,2021-02-16
16,name,default,16
16,organisation,default,local-authority-eng:SHF
16,entry-date,default,2021-02-16
17,name,default,17
17,organisation,default,local-authority-eng:SHF
17,entry-date,default,2021-02-16
18,name,default,18
18,organisation,default,local-authority-eng:SHF
18,entry-date,default,2021-02-16
19,name,default,19
19,organisation,default,local-authority-eng:SHF
19,entry-date,default,2021-02-16
20,name,default,20
20,organisation,default,local-authority-eng:SHF
20,entry-date,default,2021-02-16
21,name,default,21
21,organisation,default,local-authority-eng:SHF
21,entry-date,default,2021-02-16
22,name,default,22
22,organisation,default,local-authority-eng:SHF
22,entry-date,default,2021-02-16
23,name,default,23
23,organisation,default,local-authority-eng:SHF
23,entry-date,default,2021-02-16
24,name,default,24
24,organisation,default,local-authority-eng:SHF
24,entry-date,default,2021-02-16
25,name,default,25
25,organisation,default,local-authority-eng:SHF
25,entry-date,default,2021-02-16
26,name,default,26
26,organisation,default,local-authority-eng:SHF
26,entry-date,default,2021-02-16
27,name,default,27
27,organisation,default,local-authority-eng:SHF
27,entry-date,default,2021-02-16
28,name,default,28
28,organisation,default,local-authority-eng:SHF
28,entry-date,default,2021-02-16
29,name,default,29
29,organisation,default,local-authority-eng:SHF
29,entry-date,default,2021-02-16
30,name,default,30
30,organisation,default,local-authority-eng:SHF
30,entry-date,default,2021-02-16
31,name,default,31
31,organisation,default,local-authority-eng:SHF
31,entry-date,default,2021-02-16
32,name,default,32
32,organisation,default,local-authority-eng:SHF
32,entry-date,default,2021-02-16
33,name,default,33
33,organisation,default,local-authority-eng:SHF
33,entry-date,default,2021-02-16
34,name,default,34
34,organisation,default,local-authority-eng:SHF
34,entry-date,default,2021-02-16
35,name,default,35
35,organisation,default,local-authority-eng:SHF
35,entry-date,default,2021-02-16
36,name,default,36
36,organisation,default,local-authority-eng:SHF
36,entry-date,default,2021-02-16
37,name,default,37
37,organisation,default,local-authority-eng:SHF
37,entry-date,default,2021-02-16
38,name,default,38
38,organisation,default,local-authority-eng:SHF
38,entry-date,default,2021-02-16
39,name,default,39
39,organisation,default,local-authority-eng:SHF
39,entry-date,default,2021-02-16
40,name,default,40
40,organisation,default,local-authority-eng:SHF
40,entry-date,default,2021-02-16
