row-number,field,issue-type,value
1,reference,default,636855
1,organisation,default,local-authority-eng:LND
1,entry-date,default,2020-11-12
2,reference,default,636856
2,organisation,default,local-authority-eng:LND
2,entry-date,default,2020-11-12
3,reference,default,636857
3,organisation,default,local-authority-eng:LND
3,entry-date,default,2020-11-12
4,reference,default,636858
4,organisation,default,local-authority-eng:LND
4,entry-date,default,2020-11-12
5,reference,default,636859
5,organisation,default,local-authority-eng:LND
5,entry-date,default,2020-11-12
6,reference,default,636860
6,organisation,default,local-authority-eng:LND
6,entry-date,default,2020-11-12
7,reference,default,636862
7,organisation,default,local-authority-eng:LND
7,entry-date,default,2020-11-12
8,reference,default,636863
8,organisation,default,local-authority-eng:LND
8,entry-date,default,2020-11-12
9,reference,default,636861
9,organisation,default,local-authority-eng:LND
9,entry-date,default,2020-11-12
10,reference,default,636864
10,organisation,default,local-authority-eng:LND
10,entry-date,default,2020-11-12
11,reference,default,637153
11,organisation,default,local-authority-eng:LND
11,entry-date,default,2020-11-12
12,reference,default,637154
12,organisation,default,local-authority-eng:LND
12,entry-date,default,2020-11-12
13,reference,default,637155
13,organisation,default,local-authority-eng:LND
13,entry-date,default,2020-11-12
14,reference,default,637156
14,organisation,default,local-authority-eng:LND
14,entry-date,default,2020-11-12
15,reference,default,637157
15,organisation,default,local-authority-eng:LND
15,entry-date,default,2020-11-12
16,reference,default,637158
16,organisation,default,local-authority-eng:LND
16,entry-date,default,2020-11-12
17,reference,default,637159
17,organisation,default,local-authority-eng:LND
17,entry-date,default,2020-11-12
18,reference,default,637160
18,organisation,default,local-authority-eng:LND
18,entry-date,default,2020-11-12
19,reference,default,637161
19,organisation,default,local-authority-eng:LND
19,entry-date,default,2020-11-12
20,reference,default,637162
20,organisation,default,local-authority-eng:LND
20,entry-date,default,2020-11-12
21,reference,default,637163
21,organisation,default,local-authority-eng:LND
21,entry-date,default,2020-11-12
22,reference,default,637164
22,organisation,default,local-authority-eng:LND
22,entry-date,default,2020-11-12
23,reference,default,637165
23,organisation,default,local-authority-eng:LND
23,entry-date,default,2020-11-12
24,reference,default,637166
24,organisation,default,local-authority-eng:LND
24,entry-date,default,2020-11-12
25,reference,default,637169
25,organisation,default,local-authority-eng:LND
25,entry-date,default,2020-11-12
26,reference,default,637167
26,organisation,default,local-authority-eng:LND
26,entry-date,default,2020-11-12
27,reference,default,637168
27,organisation,default,local-authority-eng:LND
27,entry-date,default,2020-11-12
