row-number,field,issue-type,value
1,organisation,default,local-authority-eng:BRD
1,entry-date,default,2021-02-07
2,organisation,default,local-authority-eng:BRD
2,entry-date,default,2021-02-07
3,organisation,default,local-authority-eng:BRD
3,entry-date,default,2021-02-07
4,organisation,default,local-authority-eng:BRD
4,entry-date,default,2021-02-07
5,organisation,default,local-authority-eng:BRD
5,entry-date,default,2021-02-07
6,organisation,default,local-authority-eng:BRD
6,entry-date,default,2021-02-07
7,organisation,default,local-authority-eng:BRD
7,entry-date,default,2021-02-07
8,organisation,default,local-authority-eng:BRD
8,entry-date,default,2021-02-07
9,organisation,default,local-authority-eng:BRD
9,entry-date,default,2021-02-07
10,organisation,default,local-authority-eng:BRD
10,entry-date,default,2021-02-07
11,organisation,default,local-authority-eng:BRD
11,entry-date,default,2021-02-07
12,organisation,default,local-authority-eng:BRD
12,entry-date,default,2021-02-07
13,organisation,default,local-authority-eng:BRD
13,entry-date,default,2021-02-07
14,organisation,default,local-authority-eng:BRD
14,entry-date,default,2021-02-07
15,organisation,default,local-authority-eng:BRD
15,entry-date,default,2021-02-07
16,organisation,default,local-authority-eng:BRD
16,entry-date,default,2021-02-07
17,organisation,default,local-authority-eng:BRD
17,entry-date,default,2021-02-07
18,organisation,default,local-authority-eng:BRD
18,entry-date,default,2021-02-07
19,organisation,default,local-authority-eng:BRD
19,entry-date,default,2021-02-07
20,organisation,default,local-authority-eng:BRD
20,entry-date,default,2021-02-07
21,organisation,default,local-authority-eng:BRD
21,entry-date,default,2021-02-07
22,organisation,default,local-authority-eng:BRD
22,entry-date,default,2021-02-07
23,organisation,default,local-authority-eng:BRD
23,entry-date,default,2021-02-07
24,organisation,default,local-authority-eng:BRD
24,entry-date,default,2021-02-07
25,organisation,default,local-authority-eng:BRD
25,entry-date,default,2021-02-07
26,organisation,default,local-authority-eng:BRD
26,entry-date,default,2021-02-07
27,organisation,default,local-authority-eng:BRD
27,entry-date,default,2021-02-07
28,organisation,default,local-authority-eng:BRD
28,entry-date,default,2021-02-07
29,organisation,default,local-authority-eng:BRD
29,entry-date,default,2021-02-07
30,organisation,default,local-authority-eng:BRD
30,entry-date,default,2021-02-07
31,organisation,default,local-authority-eng:BRD
31,entry-date,default,2021-02-07
32,organisation,default,local-authority-eng:BRD
32,entry-date,default,2021-02-07
33,organisation,default,local-authority-eng:BRD
33,entry-date,default,2021-02-07
34,organisation,default,local-authority-eng:BRD
34,entry-date,default,2021-02-07
35,organisation,default,local-authority-eng:BRD
35,entry-date,default,2021-02-07
36,organisation,default,local-authority-eng:BRD
36,entry-date,default,2021-02-07
37,organisation,default,local-authority-eng:BRD
37,entry-date,default,2021-02-07
38,organisation,default,local-authority-eng:BRD
38,entry-date,default,2021-02-07
39,organisation,default,local-authority-eng:BRD
39,entry-date,default,2021-02-07
40,organisation,default,local-authority-eng:BRD
40,entry-date,default,2021-02-07
41,organisation,default,local-authority-eng:BRD
41,entry-date,default,2021-02-07
42,organisation,default,local-authority-eng:BRD
42,entry-date,default,2021-02-07
43,organisation,default,local-authority-eng:BRD
43,entry-date,default,2021-02-07
44,organisation,default,local-authority-eng:BRD
44,entry-date,default,2021-02-07
45,organisation,default,local-authority-eng:BRD
45,entry-date,default,2021-02-07
46,organisation,default,local-authority-eng:BRD
46,entry-date,default,2021-02-07
47,organisation,default,local-authority-eng:BRD
47,entry-date,default,2021-02-07
48,organisation,default,local-authority-eng:BRD
48,entry-date,default,2021-02-07
49,organisation,default,local-authority-eng:BRD
49,entry-date,default,2021-02-07
50,organisation,default,local-authority-eng:BRD
50,entry-date,default,2021-02-07
51,organisation,default,local-authority-eng:BRD
51,entry-date,default,2021-02-07
52,organisation,default,local-authority-eng:BRD
52,entry-date,default,2021-02-07
53,organisation,default,local-authority-eng:BRD
53,entry-date,default,2021-02-07
54,organisation,default,local-authority-eng:BRD
54,entry-date,default,2021-02-07
55,organisation,default,local-authority-eng:BRD
55,entry-date,default,2021-02-07
56,organisation,default,local-authority-eng:BRD
56,entry-date,default,2021-02-07
57,organisation,default,local-authority-eng:BRD
57,entry-date,default,2021-02-07
58,organisation,default,local-authority-eng:BRD
58,entry-date,default,2021-02-07
59,organisation,default,local-authority-eng:BRD
59,entry-date,default,2021-02-07
