row-number,field,issue-type,value
1,reference,default,677488
1,organisation,default,local-authority-eng:LND
1,entry-date,default,2021-05-18
2,reference,default,677489
2,organisation,default,local-authority-eng:LND
2,entry-date,default,2021-05-18
3,reference,default,677490
3,organisation,default,local-authority-eng:LND
3,entry-date,default,2021-05-18
4,reference,default,677491
4,organisation,default,local-authority-eng:LND
4,entry-date,default,2021-05-18
5,reference,default,677492
5,organisation,default,local-authority-eng:LND
5,entry-date,default,2021-05-18
6,reference,default,677493
6,organisation,default,local-authority-eng:LND
6,entry-date,default,2021-05-18
7,reference,default,677494
7,organisation,default,local-authority-eng:LND
7,entry-date,default,2021-05-18
8,reference,default,677498
8,organisation,default,local-authority-eng:LND
8,entry-date,default,2021-05-18
9,reference,default,677495
9,organisation,default,local-authority-eng:LND
9,entry-date,default,2021-05-18
10,reference,default,677496
10,organisation,default,local-authority-eng:LND
10,entry-date,default,2021-05-18
11,reference,default,677497
11,organisation,default,local-authority-eng:LND
11,entry-date,default,2021-05-18
12,reference,default,677499
12,organisation,default,local-authority-eng:LND
12,entry-date,default,2021-05-18
13,reference,default,677473
13,organisation,default,local-authority-eng:LND
13,entry-date,default,2021-05-18
14,reference,default,677474
14,organisation,default,local-authority-eng:LND
14,entry-date,default,2021-05-18
15,reference,default,677475
15,organisation,default,local-authority-eng:LND
15,entry-date,default,2021-05-18
16,reference,default,677476
16,organisation,default,local-authority-eng:LND
16,entry-date,default,2021-05-18
17,reference,default,677477
17,organisation,default,local-authority-eng:LND
17,entry-date,default,2021-05-18
18,reference,default,677478
18,organisation,default,local-authority-eng:LND
18,entry-date,default,2021-05-18
19,reference,default,677479
19,organisation,default,local-authority-eng:LND
19,entry-date,default,2021-05-18
20,reference,default,677480
20,organisation,default,local-authority-eng:LND
20,entry-date,default,2021-05-18
21,reference,default,677481
21,organisation,default,local-authority-eng:LND
21,entry-date,default,2021-05-18
22,reference,default,677483
22,organisation,default,local-authority-eng:LND
22,entry-date,default,2021-05-18
23,reference,default,677484
23,organisation,default,local-authority-eng:LND
23,entry-date,default,2021-05-18
24,reference,default,677485
24,organisation,default,local-authority-eng:LND
24,entry-date,default,2021-05-18
25,reference,default,677486
25,organisation,default,local-authority-eng:LND
25,entry-date,default,2021-05-18
26,reference,default,677487
26,organisation,default,local-authority-eng:LND
26,entry-date,default,2021-05-18
27,reference,default,677482
27,organisation,default,local-authority-eng:LND
27,entry-date,default,2021-05-18
