row-number,field,issue-type,value
1,reference,default,654114
1,organisation,default,local-authority-eng:LND
1,entry-date,default,2021-01-27
2,reference,default,654115
2,organisation,default,local-authority-eng:LND
2,entry-date,default,2021-01-27
3,reference,default,654116
3,organisation,default,local-authority-eng:LND
3,entry-date,default,2021-01-27
4,reference,default,654117
4,organisation,default,local-authority-eng:LND
4,entry-date,default,2021-01-27
5,reference,default,654122
5,organisation,default,local-authority-eng:LND
5,entry-date,default,2021-01-27
6,reference,default,654123
6,organisation,default,local-authority-eng:LND
6,entry-date,default,2021-01-27
7,reference,default,654124
7,organisation,default,local-authority-eng:LND
7,entry-date,default,2021-01-27
8,reference,default,654125
8,organisation,default,local-authority-eng:LND
8,entry-date,default,2021-01-27
9,reference,default,654126
9,organisation,default,local-authority-eng:LND
9,entry-date,default,2021-01-27
10,reference,default,654127
10,organisation,default,local-authority-eng:LND
10,entry-date,default,2021-01-27
11,reference,default,654128
11,organisation,default,local-authority-eng:LND
11,entry-date,default,2021-01-27
12,reference,default,654129
12,organisation,default,local-authority-eng:LND
12,entry-date,default,2021-01-27
13,reference,default,654130
13,organisation,default,local-authority-eng:LND
13,entry-date,default,2021-01-27
14,reference,default,654131
14,organisation,default,local-authority-eng:LND
14,entry-date,default,2021-01-27
15,reference,default,654132
15,organisation,default,local-authority-eng:LND
15,entry-date,default,2021-01-27
16,reference,default,654133
16,organisation,default,local-authority-eng:LND
16,entry-date,default,2021-01-27
17,reference,default,654134
17,organisation,default,local-authority-eng:LND
17,entry-date,default,2021-01-27
18,reference,default,653821
18,organisation,default,local-authority-eng:LND
18,entry-date,default,2021-01-27
19,reference,default,653822
19,organisation,default,local-authority-eng:LND
19,entry-date,default,2021-01-27
20,reference,default,653823
20,organisation,default,local-authority-eng:LND
20,entry-date,default,2021-01-27
21,reference,default,653824
21,organisation,default,local-authority-eng:LND
21,entry-date,default,2021-01-27
22,reference,default,654113
22,organisation,default,local-authority-eng:LND
22,entry-date,default,2021-01-27
23,reference,default,653820
23,organisation,default,local-authority-eng:LND
23,entry-date,default,2021-01-27
24,reference,default,654118
24,organisation,default,local-authority-eng:LND
24,entry-date,default,2021-01-27
25,reference,default,654119
25,organisation,default,local-authority-eng:LND
25,entry-date,default,2021-01-27
26,reference,default,654120
26,organisation,default,local-authority-eng:LND
26,entry-date,default,2021-01-27
27,reference,default,654121
27,organisation,default,local-authority-eng:LND
27,entry-date,default,2021-01-27
