row-number,field,issue-type,value
1,organisation,default,local-authority-eng:WOX
1,entry-date,default,2020-12-15
2,organisation,default,local-authority-eng:WOX
2,entry-date,default,2020-12-15
3,organisation,default,local-authority-eng:WOX
3,entry-date,default,2020-12-15
4,organisation,default,local-authority-eng:WOX
4,entry-date,default,2020-12-15
5,organisation,default,local-authority-eng:WOX
5,entry-date,default,2020-12-15
6,organisation,default,local-authority-eng:WOX
6,entry-date,default,2020-12-15
7,organisation,default,local-authority-eng:WOX
7,entry-date,default,2020-12-15
8,organisation,default,local-authority-eng:WOX
8,entry-date,default,2020-12-15
9,organisation,default,local-authority-eng:WOX
9,entry-date,default,2020-12-15
10,organisation,default,local-authority-eng:WOX
10,entry-date,default,2020-12-15
11,organisation,default,local-authority-eng:WOX
11,entry-date,default,2020-12-15
12,organisation,default,local-authority-eng:WOX
12,entry-date,default,2020-12-15
13,organisation,default,local-authority-eng:WOX
13,entry-date,default,2020-12-15
14,organisation,default,local-authority-eng:WOX
14,entry-date,default,2020-12-15
15,organisation,default,local-authority-eng:WOX
15,entry-date,default,2020-12-15
16,organisation,default,local-authority-eng:WOX
16,entry-date,default,2020-12-15
17,organisation,default,local-authority-eng:WOX
17,entry-date,default,2020-12-15
18,organisation,default,local-authority-eng:WOX
18,entry-date,default,2020-12-15
19,organisation,default,local-authority-eng:WOX
19,entry-date,default,2020-12-15
20,organisation,default,local-authority-eng:WOX
20,entry-date,default,2020-12-15
21,organisation,default,local-authority-eng:WOX
21,entry-date,default,2020-12-15
22,organisation,default,local-authority-eng:WOX
22,entry-date,default,2020-12-15
23,organisation,default,local-authority-eng:WOX
23,entry-date,default,2020-12-15
24,organisation,default,local-authority-eng:WOX
24,entry-date,default,2020-12-15
25,organisation,default,local-authority-eng:WOX
25,entry-date,default,2020-12-15
26,organisation,default,local-authority-eng:WOX
26,entry-date,default,2020-12-15
27,organisation,default,local-authority-eng:WOX
27,entry-date,default,2020-12-15
28,organisation,default,local-authority-eng:WOX
28,entry-date,default,2020-12-15
29,organisation,default,local-authority-eng:WOX
29,entry-date,default,2020-12-15
30,organisation,default,local-authority-eng:WOX
30,entry-date,default,2020-12-15
31,organisation,default,local-authority-eng:WOX
31,entry-date,default,2020-12-15
32,organisation,default,local-authority-eng:WOX
32,entry-date,default,2020-12-15
33,organisation,default,local-authority-eng:WOX
33,entry-date,default,2020-12-15
34,organisation,default,local-authority-eng:WOX
34,entry-date,default,2020-12-15
35,organisation,default,local-authority-eng:WOX
35,entry-date,default,2020-12-15
36,organisation,default,local-authority-eng:WOX
36,entry-date,default,2020-12-15
37,organisation,default,local-authority-eng:WOX
37,entry-date,default,2020-12-15
38,organisation,default,local-authority-eng:WOX
38,entry-date,default,2020-12-15
39,organisation,default,local-authority-eng:WOX
39,entry-date,default,2020-12-15
40,organisation,default,local-authority-eng:WOX
40,entry-date,default,2020-12-15
41,organisation,default,local-authority-eng:WOX
41,entry-date,default,2020-12-15
42,organisation,default,local-authority-eng:WOX
42,entry-date,default,2020-12-15
43,organisation,default,local-authority-eng:WOX
43,entry-date,default,2020-12-15
44,organisation,default,local-authority-eng:WOX
44,entry-date,default,2020-12-15
45,organisation,default,local-authority-eng:WOX
45,entry-date,default,2020-12-15
46,organisation,default,local-authority-eng:WOX
46,entry-date,default,2020-12-15
47,organisation,default,local-authority-eng:WOX
47,entry-date,default,2020-12-15
48,organisation,default,local-authority-eng:WOX
48,entry-date,default,2020-12-15
49,organisation,default,local-authority-eng:WOX
49,entry-date,default,2020-12-15
50,organisation,default,local-authority-eng:WOX
50,entry-date,default,2020-12-15
51,organisation,default,local-authority-eng:WOX
51,entry-date,default,2020-12-15
