row-number,field,issue-type,value
1,reference,default,649650
1,organisation,default,local-authority-eng:LND
1,entry-date,default,2021-01-08
2,reference,default,649651
2,organisation,default,local-authority-eng:LND
2,entry-date,default,2021-01-08
3,reference,default,649652
3,organisation,default,local-authority-eng:LND
3,entry-date,default,2021-01-08
4,reference,default,649653
4,organisation,default,local-authority-eng:LND
4,entry-date,default,2021-01-08
5,reference,default,649654
5,organisation,default,local-authority-eng:LND
5,entry-date,default,2021-01-08
6,reference,default,649655
6,organisation,default,local-authority-eng:LND
6,entry-date,default,2021-01-08
7,reference,default,649660
7,organisation,default,local-authority-eng:LND
7,entry-date,default,2021-01-08
8,reference,default,649661
8,organisation,default,local-authority-eng:LND
8,entry-date,default,2021-01-08
9,reference,default,649662
9,organisation,default,local-authority-eng:LND
9,entry-date,default,2021-01-08
10,reference,default,649656
10,organisation,default,local-authority-eng:LND
10,entry-date,default,2021-01-08
11,reference,default,649657
11,organisation,default,local-authority-eng:LND
11,entry-date,default,2021-01-08
12,reference,default,649658
12,organisation,default,local-authority-eng:LND
12,entry-date,default,2021-01-08
13,reference,default,649659
13,organisation,default,local-authority-eng:LND
13,entry-date,default,2021-01-08
14,reference,default,649663
14,organisation,default,local-authority-eng:LND
14,entry-date,default,2021-01-08
15,reference,default,649664
15,organisation,default,local-authority-eng:LND
15,entry-date,default,2021-01-08
16,reference,default,649953
16,organisation,default,local-authority-eng:LND
16,entry-date,default,2021-01-08
17,reference,default,649954
17,organisation,default,local-authority-eng:LND
17,entry-date,default,2021-01-08
18,reference,default,649955
18,organisation,default,local-authority-eng:LND
18,entry-date,default,2021-01-08
19,reference,default,649956
19,organisation,default,local-authority-eng:LND
19,entry-date,default,2021-01-08
20,reference,default,649957
20,organisation,default,local-authority-eng:LND
20,entry-date,default,2021-01-08
21,reference,default,649958
21,organisation,default,local-authority-eng:LND
21,entry-date,default,2021-01-08
22,reference,default,649959
22,organisation,default,local-authority-eng:LND
22,entry-date,default,2021-01-08
23,reference,default,649960
23,organisation,default,local-authority-eng:LND
23,entry-date,default,2021-01-08
24,reference,default,649961
24,organisation,default,local-authority-eng:LND
24,entry-date,default,2021-01-08
25,reference,default,649962
25,organisation,default,local-authority-eng:LND
25,entry-date,default,2021-01-08
26,reference,default,649963
26,organisation,default,local-authority-eng:LND
26,entry-date,default,2021-01-08
27,reference,default,649964
27,organisation,default,local-authority-eng:LND
27,entry-date,default,2021-01-08
