row-number,field,issue-type,value
1,reference,default,662781
1,organisation,default,local-authority-eng:LND
1,entry-date,default,2021-03-12
2,reference,default,662770
2,organisation,default,local-authority-eng:LND
2,entry-date,default,2021-03-12
3,reference,default,662771
3,organisation,default,local-authority-eng:LND
3,entry-date,default,2021-03-12
4,reference,default,662772
4,organisation,default,local-authority-eng:LND
4,entry-date,default,2021-03-12
5,reference,default,662773
5,organisation,default,local-authority-eng:LND
5,entry-date,default,2021-03-12
6,reference,default,662774
6,organisation,default,local-authority-eng:LND
6,entry-date,default,2021-03-12
7,reference,default,662775
7,organisation,default,local-authority-eng:LND
7,entry-date,default,2021-03-12
8,reference,default,662780
8,organisation,default,local-authority-eng:LND
8,entry-date,default,2021-03-12
9,reference,default,662782
9,organisation,default,local-authority-eng:LND
9,entry-date,default,2021-03-12
10,reference,default,662776
10,organisation,default,local-authority-eng:LND
10,entry-date,default,2021-03-12
11,reference,default,662777
11,organisation,default,local-authority-eng:LND
11,entry-date,default,2021-03-12
12,reference,default,662778
12,organisation,default,local-authority-eng:LND
12,entry-date,default,2021-03-12
13,reference,default,662779
13,organisation,default,local-authority-eng:LND
13,entry-date,default,2021-03-12
14,reference,default,662783
14,organisation,default,local-authority-eng:LND
14,entry-date,default,2021-03-12
15,reference,default,662784
15,organisation,default,local-authority-eng:LND
15,entry-date,default,2021-03-12
16,reference,default,663073
16,organisation,default,local-authority-eng:LND
16,entry-date,default,2021-03-12
17,reference,default,663074
17,organisation,default,local-authority-eng:LND
17,entry-date,default,2021-03-12
18,reference,default,663075
18,organisation,default,local-authority-eng:LND
18,entry-date,default,2021-03-12
19,reference,default,663076
19,organisation,default,local-authority-eng:LND
19,entry-date,default,2021-03-12
20,reference,default,663077
20,organisation,default,local-authority-eng:LND
20,entry-date,default,2021-03-12
21,reference,default,663078
21,organisation,default,local-authority-eng:LND
21,entry-date,default,2021-03-12
22,reference,default,663079
22,organisation,default,local-authority-eng:LND
22,entry-date,default,2021-03-12
23,reference,default,663080
23,organisation,default,local-authority-eng:LND
23,entry-date,default,2021-03-12
24,reference,default,663081
24,organisation,default,local-authority-eng:LND
24,entry-date,default,2021-03-12
25,reference,default,663082
25,organisation,default,local-authority-eng:LND
25,entry-date,default,2021-03-12
26,reference,default,663083
26,organisation,default,local-authority-eng:LND
26,entry-date,default,2021-03-12
27,reference,default,663084
27,organisation,default,local-authority-eng:LND
27,entry-date,default,2021-03-12
