row-number,field,issue-type,value
1,reference,default,653793
1,organisation,default,local-authority-eng:LND
1,entry-date,default,2021-01-26
2,reference,default,653794
2,organisation,default,local-authority-eng:LND
2,entry-date,default,2021-01-26
3,reference,default,653795
3,organisation,default,local-authority-eng:LND
3,entry-date,default,2021-01-26
4,reference,default,653796
4,organisation,default,local-authority-eng:LND
4,entry-date,default,2021-01-26
5,reference,default,653797
5,organisation,default,local-authority-eng:LND
5,entry-date,default,2021-01-26
6,reference,default,653798
6,organisation,default,local-authority-eng:LND
6,entry-date,default,2021-01-26
7,reference,default,653803
7,organisation,default,local-authority-eng:LND
7,entry-date,default,2021-01-26
8,reference,default,653804
8,organisation,default,local-authority-eng:LND
8,entry-date,default,2021-01-26
9,reference,default,653805
9,organisation,default,local-authority-eng:LND
9,entry-date,default,2021-01-26
10,reference,default,653806
10,organisation,default,local-authority-eng:LND
10,entry-date,default,2021-01-26
11,reference,default,653799
11,organisation,default,local-authority-eng:LND
11,entry-date,default,2021-01-26
12,reference,default,653800
12,organisation,default,local-authority-eng:LND
12,entry-date,default,2021-01-26
13,reference,default,653801
13,organisation,default,local-authority-eng:LND
13,entry-date,default,2021-01-26
14,reference,default,653802
14,organisation,default,local-authority-eng:LND
14,entry-date,default,2021-01-26
15,reference,default,653808
15,organisation,default,local-authority-eng:LND
15,entry-date,default,2021-01-26
16,reference,default,653809
16,organisation,default,local-authority-eng:LND
16,entry-date,default,2021-01-26
17,reference,default,653810
17,organisation,default,local-authority-eng:LND
17,entry-date,default,2021-01-26
18,reference,default,653811
18,organisation,default,local-authority-eng:LND
18,entry-date,default,2021-01-26
19,reference,default,653807
19,organisation,default,local-authority-eng:LND
19,entry-date,default,2021-01-26
20,reference,default,653812
20,organisation,default,local-authority-eng:LND
20,entry-date,default,2021-01-26
21,reference,default,653813
21,organisation,default,local-authority-eng:LND
21,entry-date,default,2021-01-26
22,reference,default,653814
22,organisation,default,local-authority-eng:LND
22,entry-date,default,2021-01-26
23,reference,default,653815
23,organisation,default,local-authority-eng:LND
23,entry-date,default,2021-01-26
24,reference,default,653816
24,organisation,default,local-authority-eng:LND
24,entry-date,default,2021-01-26
25,reference,default,653817
25,organisation,default,local-authority-eng:LND
25,entry-date,default,2021-01-26
26,reference,default,653818
26,organisation,default,local-authority-eng:LND
26,entry-date,default,2021-01-26
27,reference,default,653819
27,organisation,default,local-authority-eng:LND
27,entry-date,default,2021-01-26
