row-number,field,issue-type,value
1,reference,default,660861
1,organisation,default,local-authority-eng:LND
1,entry-date,default,2021-03-04
2,reference,default,660862
2,organisation,default,local-authority-eng:LND
2,entry-date,default,2021-03-04
3,reference,default,660863
3,organisation,default,local-authority-eng:LND
3,entry-date,default,2021-03-04
4,reference,default,660864
4,organisation,default,local-authority-eng:LND
4,entry-date,default,2021-03-04
5,reference,default,661162
5,organisation,default,local-authority-eng:LND
5,entry-date,default,2021-03-04
6,reference,default,661163
6,organisation,default,local-authority-eng:LND
6,entry-date,default,2021-03-04
7,reference,default,661164
7,organisation,default,local-authority-eng:LND
7,entry-date,default,2021-03-04
8,reference,default,661165
8,organisation,default,local-authority-eng:LND
8,entry-date,default,2021-03-04
9,reference,default,661166
9,organisation,default,local-authority-eng:LND
9,entry-date,default,2021-03-04
10,reference,default,661167
10,organisation,default,local-authority-eng:LND
10,entry-date,default,2021-03-04
11,reference,default,661168
11,organisation,default,local-authority-eng:LND
11,entry-date,default,2021-03-04
12,reference,default,661169
12,organisation,default,local-authority-eng:LND
12,entry-date,default,2021-03-04
13,reference,default,661155
13,organisation,default,local-authority-eng:LND
13,entry-date,default,2021-03-04
14,reference,default,661156
14,organisation,default,local-authority-eng:LND
14,entry-date,default,2021-03-04
15,reference,default,661157
15,organisation,default,local-authority-eng:LND
15,entry-date,default,2021-03-04
16,reference,default,661158
16,organisation,default,local-authority-eng:LND
16,entry-date,default,2021-03-04
17,reference,default,661159
17,organisation,default,local-authority-eng:LND
17,entry-date,default,2021-03-04
18,reference,default,661153
18,organisation,default,local-authority-eng:LND
18,entry-date,default,2021-03-04
19,reference,default,661154
19,organisation,default,local-authority-eng:LND
19,entry-date,default,2021-03-04
20,reference,default,661160
20,organisation,default,local-authority-eng:LND
20,entry-date,default,2021-03-04
21,reference,default,660855
21,organisation,default,local-authority-eng:LND
21,entry-date,default,2021-03-04
22,reference,default,660856
22,organisation,default,local-authority-eng:LND
22,entry-date,default,2021-03-04
23,reference,default,660857
23,organisation,default,local-authority-eng:LND
23,entry-date,default,2021-03-04
24,reference,default,660858
24,organisation,default,local-authority-eng:LND
24,entry-date,default,2021-03-04
25,reference,default,660859
25,organisation,default,local-authority-eng:LND
25,entry-date,default,2021-03-04
26,reference,default,660860
26,organisation,default,local-authority-eng:LND
26,entry-date,default,2021-03-04
27,reference,default,661161
27,organisation,default,local-authority-eng:LND
27,entry-date,default,2021-03-04
