row-number,field,issue-type,value
1,reference,default,657343
1,organisation,default,local-authority-eng:LND
1,entry-date,default,2021-02-17
2,reference,default,657344
2,organisation,default,local-authority-eng:LND
2,entry-date,default,2021-02-17
3,reference,default,657633
3,organisation,default,local-authority-eng:LND
3,entry-date,default,2021-02-17
4,reference,default,657637
4,organisation,default,local-authority-eng:LND
4,entry-date,default,2021-02-17
5,reference,default,657638
5,organisation,default,local-authority-eng:LND
5,entry-date,default,2021-02-17
6,reference,default,657639
6,organisation,default,local-authority-eng:LND
6,entry-date,default,2021-02-17
7,reference,default,657340
7,organisation,default,local-authority-eng:LND
7,entry-date,default,2021-02-17
8,reference,default,657341
8,organisation,default,local-authority-eng:LND
8,entry-date,default,2021-02-17
9,reference,default,657342
9,organisation,default,local-authority-eng:LND
9,entry-date,default,2021-02-17
10,reference,default,657640
10,organisation,default,local-authority-eng:LND
10,entry-date,default,2021-02-17
11,reference,default,657634
11,organisation,default,local-authority-eng:LND
11,entry-date,default,2021-02-17
12,reference,default,657635
12,organisation,default,local-authority-eng:LND
12,entry-date,default,2021-02-17
13,reference,default,657636
13,organisation,default,local-authority-eng:LND
13,entry-date,default,2021-02-17
14,reference,default,657641
14,organisation,default,local-authority-eng:LND
14,entry-date,default,2021-02-17
15,reference,default,657642
15,organisation,default,local-authority-eng:LND
15,entry-date,default,2021-02-17
16,reference,default,657643
16,organisation,default,local-authority-eng:LND
16,entry-date,default,2021-02-17
17,reference,default,657644
17,organisation,default,local-authority-eng:LND
17,entry-date,default,2021-02-17
18,reference,default,657645
18,organisation,default,local-authority-eng:LND
18,entry-date,default,2021-02-17
19,reference,default,657646
19,organisation,default,local-authority-eng:LND
19,entry-date,default,2021-02-17
20,reference,default,657647
20,organisation,default,local-authority-eng:LND
20,entry-date,default,2021-02-17
21,reference,default,657648
21,organisation,default,local-authority-eng:LND
21,entry-date,default,2021-02-17
22,reference,default,657649
22,organisation,default,local-authority-eng:LND
22,entry-date,default,2021-02-17
23,reference,default,657650
23,organisation,default,local-authority-eng:LND
23,entry-date,default,2021-02-17
24,reference,default,657651
24,organisation,default,local-authority-eng:LND
24,entry-date,default,2021-02-17
25,reference,default,657652
25,organisation,default,local-authority-eng:LND
25,entry-date,default,2021-02-17
26,reference,default,657653
26,organisation,default,local-authority-eng:LND
26,entry-date,default,2021-02-17
27,reference,default,657654
27,organisation,default,local-authority-eng:LND
27,entry-date,default,2021-02-17
