row-number,field,issue-type,value
1,reference,default,648365
1,organisation,default,local-authority-eng:LND
1,entry-date,default,2021-01-02
2,reference,default,648366
2,organisation,default,local-authority-eng:LND
2,entry-date,default,2021-01-02
3,reference,default,648367
3,organisation,default,local-authority-eng:LND
3,entry-date,default,2021-01-02
4,reference,default,648368
4,organisation,default,local-authority-eng:LND
4,entry-date,default,2021-01-02
5,reference,default,648673
5,organisation,default,local-authority-eng:LND
5,entry-date,default,2021-01-02
6,reference,default,648674
6,organisation,default,local-authority-eng:LND
6,entry-date,default,2021-01-02
7,reference,default,648679
7,organisation,default,local-authority-eng:LND
7,entry-date,default,2021-01-02
8,reference,default,648680
8,organisation,default,local-authority-eng:LND
8,entry-date,default,2021-01-02
9,reference,default,648681
9,organisation,default,local-authority-eng:LND
9,entry-date,default,2021-01-02
10,reference,default,648682
10,organisation,default,local-authority-eng:LND
10,entry-date,default,2021-01-02
11,reference,default,648675
11,organisation,default,local-authority-eng:LND
11,entry-date,default,2021-01-02
12,reference,default,648676
12,organisation,default,local-authority-eng:LND
12,entry-date,default,2021-01-02
13,reference,default,648677
13,organisation,default,local-authority-eng:LND
13,entry-date,default,2021-01-02
14,reference,default,648678
14,organisation,default,local-authority-eng:LND
14,entry-date,default,2021-01-02
15,reference,default,648684
15,organisation,default,local-authority-eng:LND
15,entry-date,default,2021-01-02
16,reference,default,648685
16,organisation,default,local-authority-eng:LND
16,entry-date,default,2021-01-02
17,reference,default,648686
17,organisation,default,local-authority-eng:LND
17,entry-date,default,2021-01-02
18,reference,default,648687
18,organisation,default,local-authority-eng:LND
18,entry-date,default,2021-01-02
19,reference,default,648683
19,organisation,default,local-authority-eng:LND
19,entry-date,default,2021-01-02
20,reference,default,648688
20,organisation,default,local-authority-eng:LND
20,entry-date,default,2021-01-02
21,reference,default,648690
21,organisation,default,local-authority-eng:LND
21,entry-date,default,2021-01-02
22,reference,default,648691
22,organisation,default,local-authority-eng:LND
22,entry-date,default,2021-01-02
23,reference,default,648692
23,organisation,default,local-authority-eng:LND
23,entry-date,default,2021-01-02
24,reference,default,648693
24,organisation,default,local-authority-eng:LND
24,entry-date,default,2021-01-02
25,reference,default,648694
25,organisation,default,local-authority-eng:LND
25,entry-date,default,2021-01-02
26,reference,default,648689
26,organisation,default,local-authority-eng:LND
26,entry-date,default,2021-01-02
27,reference,default,648695
27,organisation,default,local-authority-eng:LND
27,entry-date,default,2021-01-02
