row-number,field,issue-type,value
1,organisation,default,local-authority-eng:OLD
1,entry-date,default,2020-12-15
2,organisation,default,local-authority-eng:OLD
2,entry-date,default,2020-12-15
3,organisation,default,local-authority-eng:OLD
3,entry-date,default,2020-12-15
4,organisation,default,local-authority-eng:OLD
4,entry-date,default,2020-12-15
5,organisation,default,local-authority-eng:OLD
5,entry-date,default,2020-12-15
6,organisation,default,local-authority-eng:OLD
6,entry-date,default,2020-12-15
7,organisation,default,local-authority-eng:OLD
7,entry-date,default,2020-12-15
8,organisation,default,local-authority-eng:OLD
8,entry-date,default,2020-12-15
9,organisation,default,local-authority-eng:OLD
9,entry-date,default,2020-12-15
10,organisation,default,local-authority-eng:OLD
10,entry-date,default,2020-12-15
11,organisation,default,local-authority-eng:OLD
11,entry-date,default,2020-12-15
12,organisation,default,local-authority-eng:OLD
12,entry-date,default,2020-12-15
13,organisation,default,local-authority-eng:OLD
13,entry-date,default,2020-12-15
14,organisation,default,local-authority-eng:OLD
14,entry-date,default,2020-12-15
15,organisation,default,local-authority-eng:OLD
15,entry-date,default,2020-12-15
16,organisation,default,local-authority-eng:OLD
16,entry-date,default,2020-12-15
17,organisation,default,local-authority-eng:OLD
17,entry-date,default,2020-12-15
18,organisation,default,local-authority-eng:OLD
18,entry-date,default,2020-12-15
19,organisation,default,local-authority-eng:OLD
19,entry-date,default,2020-12-15
20,organisation,default,local-authority-eng:OLD
20,entry-date,default,2020-12-15
21,organisation,default,local-authority-eng:OLD
21,entry-date,default,2020-12-15
22,organisation,default,local-authority-eng:OLD
22,entry-date,default,2020-12-15
23,organisation,default,local-authority-eng:OLD
23,entry-date,default,2020-12-15
24,organisation,default,local-authority-eng:OLD
24,entry-date,default,2020-12-15
25,organisation,default,local-authority-eng:OLD
25,entry-date,default,2020-12-15
26,organisation,default,local-authority-eng:OLD
26,entry-date,default,2020-12-15
27,organisation,default,local-authority-eng:OLD
27,entry-date,default,2020-12-15
28,organisation,default,local-authority-eng:OLD
28,entry-date,default,2020-12-15
29,organisation,default,local-authority-eng:OLD
29,entry-date,default,2020-12-15
30,organisation,default,local-authority-eng:OLD
30,entry-date,default,2020-12-15
31,organisation,default,local-authority-eng:OLD
31,entry-date,default,2020-12-15
32,organisation,default,local-authority-eng:OLD
32,entry-date,default,2020-12-15
33,organisation,default,local-authority-eng:OLD
33,entry-date,default,2020-12-15
34,organisation,default,local-authority-eng:OLD
34,entry-date,default,2020-12-15
35,organisation,default,local-authority-eng:OLD
35,entry-date,default,2020-12-15
36,organisation,default,local-authority-eng:OLD
36,entry-date,default,2020-12-15
