row-number,field,issue-type,value
1,reference,default,624654
1,organisation,default,local-authority-eng:LND
1,entry-date,default,2020-09-12
2,reference,default,624655
2,organisation,default,local-authority-eng:LND
2,entry-date,default,2020-09-12
3,reference,default,624656
3,organisation,default,local-authority-eng:LND
3,entry-date,default,2020-09-12
4,reference,default,624961
4,organisation,default,local-authority-eng:LND
4,entry-date,default,2020-09-12
5,reference,default,624962
5,organisation,default,local-authority-eng:LND
5,entry-date,default,2020-09-12
6,reference,default,624653
6,organisation,default,local-authority-eng:LND
6,entry-date,default,2020-09-12
7,reference,default,624967
7,organisation,default,local-authority-eng:LND
7,entry-date,default,2020-09-12
8,reference,default,624968
8,organisation,default,local-authority-eng:LND
8,entry-date,default,2020-09-12
9,reference,default,624969
9,organisation,default,local-authority-eng:LND
9,entry-date,default,2020-09-12
10,reference,default,624970
10,organisation,default,local-authority-eng:LND
10,entry-date,default,2020-09-12
11,reference,default,624963
11,organisation,default,local-authority-eng:LND
11,entry-date,default,2020-09-12
12,reference,default,624964
12,organisation,default,local-authority-eng:LND
12,entry-date,default,2020-09-12
13,reference,default,624965
13,organisation,default,local-authority-eng:LND
13,entry-date,default,2020-09-12
14,reference,default,624966
14,organisation,default,local-authority-eng:LND
14,entry-date,default,2020-09-12
15,reference,default,624971
15,organisation,default,local-authority-eng:LND
15,entry-date,default,2020-09-12
16,reference,default,624972
16,organisation,default,local-authority-eng:LND
16,entry-date,default,2020-09-12
17,reference,default,624976
17,organisation,default,local-authority-eng:LND
17,entry-date,default,2020-09-12
18,reference,default,624977
18,organisation,default,local-authority-eng:LND
18,entry-date,default,2020-09-12
19,reference,default,624973
19,organisation,default,local-authority-eng:LND
19,entry-date,default,2020-09-12
20,reference,default,624974
20,organisation,default,local-authority-eng:LND
20,entry-date,default,2020-09-12
21,reference,default,624975
21,organisation,default,local-authority-eng:LND
21,entry-date,default,2020-09-12
22,reference,default,624978
22,organisation,default,local-authority-eng:LND
22,entry-date,default,2020-09-12
23,reference,default,624979
23,organisation,default,local-authority-eng:LND
23,entry-date,default,2020-09-12
24,reference,default,624980
24,organisation,default,local-authority-eng:LND
24,entry-date,default,2020-09-12
25,reference,default,624981
25,organisation,default,local-authority-eng:LND
25,entry-date,default,2020-09-12
26,reference,default,624982
26,organisation,default,local-authority-eng:LND
26,entry-date,default,2020-09-12
27,reference,default,624983
27,organisation,default,local-authority-eng:LND
27,entry-date,default,2020-09-12
