row-number,field,issue-type,value
1,reference,default,649335
1,organisation,default,local-authority-eng:LND
1,entry-date,default,2021-01-07
2,reference,default,649336
2,organisation,default,local-authority-eng:LND
2,entry-date,default,2021-01-07
3,reference,default,649337
3,organisation,default,local-authority-eng:LND
3,entry-date,default,2021-01-07
4,reference,default,649338
4,organisation,default,local-authority-eng:LND
4,entry-date,default,2021-01-07
5,reference,default,649339
5,organisation,default,local-authority-eng:LND
5,entry-date,default,2021-01-07
6,reference,default,649340
6,organisation,default,local-authority-eng:LND
6,entry-date,default,2021-01-07
7,reference,default,649633
7,organisation,default,local-authority-eng:LND
7,entry-date,default,2021-01-07
8,reference,default,649634
8,organisation,default,local-authority-eng:LND
8,entry-date,default,2021-01-07
9,reference,default,649635
9,organisation,default,local-authority-eng:LND
9,entry-date,default,2021-01-07
10,reference,default,649636
10,organisation,default,local-authority-eng:LND
10,entry-date,default,2021-01-07
11,reference,default,649341
11,organisation,default,local-authority-eng:LND
11,entry-date,default,2021-01-07
12,reference,default,649342
12,organisation,default,local-authority-eng:LND
12,entry-date,default,2021-01-07
13,reference,default,649343
13,organisation,default,local-authority-eng:LND
13,entry-date,default,2021-01-07
14,reference,default,649344
14,organisation,default,local-authority-eng:LND
14,entry-date,default,2021-01-07
15,reference,default,649637
15,organisation,default,local-authority-eng:LND
15,entry-date,default,2021-01-07
16,reference,default,649638
16,organisation,default,local-authority-eng:LND
16,entry-date,default,2021-01-07
17,reference,default,649639
17,organisation,default,local-authority-eng:LND
17,entry-date,default,2021-01-07
18,reference,default,649640
18,organisation,default,local-authority-eng:LND
18,entry-date,default,2021-01-07
19,reference,default,649641
19,organisation,default,local-authority-eng:LND
19,entry-date,default,2021-01-07
20,reference,default,649642
20,organisation,default,local-authority-eng:LND
20,entry-date,default,2021-01-07
21,reference,default,649643
21,organisation,default,local-authority-eng:LND
21,entry-date,default,2021-01-07
22,reference,default,649644
22,organisation,default,local-authority-eng:LND
22,entry-date,default,2021-01-07
23,reference,default,649645
23,organisation,default,local-authority-eng:LND
23,entry-date,default,2021-01-07
24,reference,default,649646
24,organisation,default,local-authority-eng:LND
24,entry-date,default,2021-01-07
25,reference,default,649647
25,organisation,default,local-authority-eng:LND
25,entry-date,default,2021-01-07
26,reference,default,649648
26,organisation,default,local-authority-eng:LND
26,entry-date,default,2021-01-07
27,reference,default,649649
27,organisation,default,local-authority-eng:LND
27,entry-date,default,2021-01-07
