row-number,field,issue-type,value
1,organisation,default,local-authority-eng:LND
1,entry-date,default,2020-11-20
2,organisation,default,local-authority-eng:LND
2,entry-date,default,2020-11-20
3,organisation,default,local-authority-eng:LND
3,entry-date,default,2020-11-20
4,organisation,default,local-authority-eng:LND
4,entry-date,default,2020-11-20
5,organisation,default,local-authority-eng:LND
5,entry-date,default,2020-11-20
6,organisation,default,local-authority-eng:LND
6,entry-date,default,2020-11-20
7,organisation,default,local-authority-eng:LND
7,entry-date,default,2020-11-20
8,organisation,default,local-authority-eng:LND
8,entry-date,default,2020-11-20
9,organisation,default,local-authority-eng:LND
9,entry-date,default,2020-11-20
10,organisation,default,local-authority-eng:LND
10,entry-date,default,2020-11-20
11,organisation,default,local-authority-eng:LND
11,entry-date,default,2020-11-20
12,organisation,default,local-authority-eng:LND
12,entry-date,default,2020-11-20
13,organisation,default,local-authority-eng:LND
13,entry-date,default,2020-11-20
14,organisation,default,local-authority-eng:LND
14,entry-date,default,2020-11-20
15,organisation,default,local-authority-eng:LND
15,entry-date,default,2020-11-20
16,organisation,default,local-authority-eng:LND
16,entry-date,default,2020-11-20
17,organisation,default,local-authority-eng:LND
17,entry-date,default,2020-11-20
18,organisation,default,local-authority-eng:LND
18,entry-date,default,2020-11-20
19,organisation,default,local-authority-eng:LND
19,entry-date,default,2020-11-20
20,organisation,default,local-authority-eng:LND
20,entry-date,default,2020-11-20
21,organisation,default,local-authority-eng:LND
21,entry-date,default,2020-11-20
22,organisation,default,local-authority-eng:LND
22,entry-date,default,2020-11-20
23,organisation,default,local-authority-eng:LND
23,entry-date,default,2020-11-20
24,organisation,default,local-authority-eng:LND
24,entry-date,default,2020-11-20
25,organisation,default,local-authority-eng:LND
25,entry-date,default,2020-11-20
26,organisation,default,local-authority-eng:LND
26,entry-date,default,2020-11-20
27,organisation,default,local-authority-eng:LND
27,entry-date,default,2020-11-20
