row-number,field,issue-type,value
1,reference,default,659234
1,organisation,default,local-authority-eng:LND
1,entry-date,default,2021-02-24
2,reference,default,659233
2,organisation,default,local-authority-eng:LND
2,entry-date,default,2021-02-24
3,reference,default,659235
3,organisation,default,local-authority-eng:LND
3,entry-date,default,2021-02-24
4,reference,default,659236
4,organisation,default,local-authority-eng:LND
4,entry-date,default,2021-02-24
5,reference,default,659237
5,organisation,default,local-authority-eng:LND
5,entry-date,default,2021-02-24
6,reference,default,659238
6,organisation,default,local-authority-eng:LND
6,entry-date,default,2021-02-24
7,reference,default,659239
7,organisation,default,local-authority-eng:LND
7,entry-date,default,2021-02-24
8,reference,default,659240
8,organisation,default,local-authority-eng:LND
8,entry-date,default,2021-02-24
9,reference,default,659241
9,organisation,default,local-authority-eng:LND
9,entry-date,default,2021-02-24
10,reference,default,659242
10,organisation,default,local-authority-eng:LND
10,entry-date,default,2021-02-24
11,reference,default,659243
11,organisation,default,local-authority-eng:LND
11,entry-date,default,2021-02-24
12,reference,default,659244
12,organisation,default,local-authority-eng:LND
12,entry-date,default,2021-02-24
13,reference,default,659245
13,organisation,default,local-authority-eng:LND
13,entry-date,default,2021-02-24
14,reference,default,659246
14,organisation,default,local-authority-eng:LND
14,entry-date,default,2021-02-24
15,reference,default,659247
15,organisation,default,local-authority-eng:LND
15,entry-date,default,2021-02-24
16,reference,default,659248
16,organisation,default,local-authority-eng:LND
16,entry-date,default,2021-02-24
17,reference,default,659249
17,organisation,default,local-authority-eng:LND
17,entry-date,default,2021-02-24
18,reference,default,659250
18,organisation,default,local-authority-eng:LND
18,entry-date,default,2021-02-24
19,reference,default,659251
19,organisation,default,local-authority-eng:LND
19,entry-date,default,2021-02-24
20,reference,default,659252
20,organisation,default,local-authority-eng:LND
20,entry-date,default,2021-02-24
21,reference,default,659253
21,organisation,default,local-authority-eng:LND
21,entry-date,default,2021-02-24
22,reference,default,659254
22,organisation,default,local-authority-eng:LND
22,entry-date,default,2021-02-24
23,reference,default,658941
23,organisation,default,local-authority-eng:LND
23,entry-date,default,2021-02-24
24,reference,default,658942
24,organisation,default,local-authority-eng:LND
24,entry-date,default,2021-02-24
25,reference,default,658943
25,organisation,default,local-authority-eng:LND
25,entry-date,default,2021-02-24
26,reference,default,658944
26,organisation,default,local-authority-eng:LND
26,entry-date,default,2021-02-24
27,reference,default,658940
27,organisation,default,local-authority-eng:LND
27,entry-date,default,2021-02-24
