row-number,field,issue-type,value
1,reference,default,675878
1,organisation,default,local-authority-eng:LND
1,entry-date,default,2021-05-11
2,reference,default,675879
2,organisation,default,local-authority-eng:LND
2,entry-date,default,2021-05-11
3,reference,default,675880
3,organisation,default,local-authority-eng:LND
3,entry-date,default,2021-05-11
4,reference,default,675881
4,organisation,default,local-authority-eng:LND
4,entry-date,default,2021-05-11
5,reference,default,675882
5,organisation,default,local-authority-eng:LND
5,entry-date,default,2021-05-11
6,reference,default,675883
6,organisation,default,local-authority-eng:LND
6,entry-date,default,2021-05-11
7,reference,default,675877
7,organisation,default,local-authority-eng:LND
7,entry-date,default,2021-05-11
8,reference,default,675884
8,organisation,default,local-authority-eng:LND
8,entry-date,default,2021-05-11
9,reference,default,675885
9,organisation,default,local-authority-eng:LND
9,entry-date,default,2021-05-11
10,reference,default,675886
10,organisation,default,local-authority-eng:LND
10,entry-date,default,2021-05-11
11,reference,default,675887
11,organisation,default,local-authority-eng:LND
11,entry-date,default,2021-05-11
12,reference,default,675888
12,organisation,default,local-authority-eng:LND
12,entry-date,default,2021-05-11
13,reference,default,675889
13,organisation,default,local-authority-eng:LND
13,entry-date,default,2021-05-11
14,reference,default,675890
14,organisation,default,local-authority-eng:LND
14,entry-date,default,2021-05-11
15,reference,default,675891
15,organisation,default,local-authority-eng:LND
15,entry-date,default,2021-05-11
16,reference,default,675892
16,organisation,default,local-authority-eng:LND
16,entry-date,default,2021-05-11
17,reference,default,675893
17,organisation,default,local-authority-eng:LND
17,entry-date,default,2021-05-11
18,reference,default,675894
18,organisation,default,local-authority-eng:LND
18,entry-date,default,2021-05-11
19,reference,default,675895
19,organisation,default,local-authority-eng:LND
19,entry-date,default,2021-05-11
20,reference,default,675899
20,organisation,default,local-authority-eng:LND
20,entry-date,default,2021-05-11
21,reference,default,675896
21,organisation,default,local-authority-eng:LND
21,entry-date,default,2021-05-11
22,reference,default,675897
22,organisation,default,local-authority-eng:LND
22,entry-date,default,2021-05-11
23,reference,default,675898
23,organisation,default,local-authority-eng:LND
23,entry-date,default,2021-05-11
24,reference,default,675874
24,organisation,default,local-authority-eng:LND
24,entry-date,default,2021-05-11
25,reference,default,675875
25,organisation,default,local-authority-eng:LND
25,entry-date,default,2021-05-11
26,reference,default,675876
26,organisation,default,local-authority-eng:LND
26,entry-date,default,2021-05-11
27,reference,default,675873
27,organisation,default,local-authority-eng:LND
27,entry-date,default,2021-05-11
