row-number,field,issue-type,value
1,reference,default,1
1,organisation,default,local-authority-eng:EPS
1,entry-date,default,2020-09-06
2,reference,default,2
2,organisation,default,local-authority-eng:EPS
2,entry-date,default,2020-09-06
3,reference,default,3
3,organisation,default,local-authority-eng:EPS
3,entry-date,default,2020-09-06
4,reference,default,4
4,organisation,default,local-authority-eng:EPS
4,entry-date,default,2020-09-06
5,reference,default,29
5,organisation,default,local-authority-eng:EPS
5,entry-date,default,2020-09-06
6,reference,default,5
6,organisation,default,local-authority-eng:EPS
6,entry-date,default,2020-09-06
7,reference,default,6
7,organisation,default,local-authority-eng:EPS
7,entry-date,default,2020-09-06
8,reference,default,7
8,organisation,default,local-authority-eng:EPS
8,entry-date,default,2020-09-06
9,reference,default,8
9,organisation,default,local-authority-eng:EPS
9,entry-date,default,2020-09-06
10,reference,default,9
10,organisation,default,local-authority-eng:EPS
10,entry-date,default,2020-09-06
11,reference,default,10
11,organisation,default,local-authority-eng:EPS
11,entry-date,default,2020-09-06
12,reference,default,11
12,organisation,default,local-authority-eng:EPS
12,entry-date,default,2020-09-06
13,reference,default,12
13,organisation,default,local-authority-eng:EPS
13,entry-date,default,2020-09-06
14,reference,default,13
14,organisation,default,local-authority-eng:EPS
14,entry-date,default,2020-09-06
15,reference,default,14
15,organisation,default,local-authority-eng:EPS
15,entry-date,default,2020-09-06
16,reference,default,17
16,organisation,default,local-authority-eng:EPS
16,entry-date,default,2020-09-06
17,reference,default,15
17,organisation,default,local-authority-eng:EPS
17,entry-date,default,2020-09-06
18,reference,default,18
18,organisation,default,local-authority-eng:EPS
18,entry-date,default,2020-09-06
19,reference,default,19
19,organisation,default,local-authority-eng:EPS
19,entry-date,default,2020-09-06
20,reference,default,20
20,organisation,default,local-authority-eng:EPS
20,entry-date,default,2020-09-06
21,reference,default,16
21,organisation,default,local-authority-eng:EPS
21,entry-date,default,2020-09-06
22,reference,default,38
22,organisation,default,local-authority-eng:EPS
22,entry-date,default,2020-09-06
23,reference,default,21
23,organisation,default,local-authority-eng:EPS
23,entry-date,default,2020-09-06
24,reference,default,22
24,organisation,default,local-authority-eng:EPS
24,entry-date,default,2020-09-06
25,reference,default,23
25,organisation,default,local-authority-eng:EPS
25,entry-date,default,2020-09-06
26,reference,default,24
26,organisation,default,local-authority-eng:EPS
26,entry-date,default,2020-09-06
27,reference,default,25
27,organisation,default,local-authority-eng:EPS
27,entry-date,default,2020-09-06
28,reference,default,26
28,organisation,default,local-authority-eng:EPS
28,entry-date,default,2020-09-06
29,reference,default,27
29,organisation,default,local-authority-eng:EPS
29,entry-date,default,2020-09-06
30,reference,default,28
30,organisation,default,local-authority-eng:EPS
30,entry-date,default,2020-09-06
31,reference,default,31
31,organisation,default,local-authority-eng:EPS
31,entry-date,default,2020-09-06
32,reference,default,32
32,organisation,default,local-authority-eng:EPS
32,entry-date,default,2020-09-06
33,reference,default,33
33,organisation,default,local-authority-eng:EPS
33,entry-date,default,2020-09-06
34,reference,default,34
34,organisation,default,local-authority-eng:EPS
34,entry-date,default,2020-09-06
35,reference,default,35
35,organisation,default,local-authority-eng:EPS
35,entry-date,default,2020-09-06
36,reference,default,36
36,organisation,default,local-authority-eng:EPS
36,entry-date,default,2020-09-06
37,reference,default,37
37,organisation,default,local-authority-eng:EPS
37,entry-date,default,2020-09-06
38,reference,default,39
38,organisation,default,local-authority-eng:EPS
38,entry-date,default,2020-09-06
39,reference,default,40
39,organisation,default,local-authority-eng:EPS
39,entry-date,default,2020-09-06
40,reference,default,41
40,organisation,default,local-authority-eng:EPS
40,entry-date,default,2020-09-06
41,reference,default,42
41,organisation,default,local-authority-eng:EPS
41,entry-date,default,2020-09-06
42,reference,default,43
42,organisation,default,local-authority-eng:EPS
42,entry-date,default,2020-09-06
43,reference,default,44
43,organisation,default,local-authority-eng:EPS
43,entry-date,default,2020-09-06
44,reference,default,45
44,organisation,default,local-authority-eng:EPS
44,entry-date,default,2020-09-06
45,reference,default,46
45,organisation,default,local-authority-eng:EPS
45,entry-date,default,2020-09-06
