row-number,field,issue-type,value
1,reference,default,644847
1,organisation,default,local-authority-eng:LND
1,entry-date,default,2020-12-16
2,reference,default,644848
2,organisation,default,local-authority-eng:LND
2,entry-date,default,2020-12-16
3,reference,default,644849
3,organisation,default,local-authority-eng:LND
3,entry-date,default,2020-12-16
4,reference,default,644850
4,organisation,default,local-authority-eng:LND
4,entry-date,default,2020-12-16
5,reference,default,644851
5,organisation,default,local-authority-eng:LND
5,entry-date,default,2020-12-16
6,reference,default,644852
6,organisation,default,local-authority-eng:LND
6,entry-date,default,2020-12-16
7,reference,default,644853
7,organisation,default,local-authority-eng:LND
7,entry-date,default,2020-12-16
8,reference,default,644854
8,organisation,default,local-authority-eng:LND
8,entry-date,default,2020-12-16
9,reference,default,644541
9,organisation,default,local-authority-eng:LND
9,entry-date,default,2020-12-16
10,reference,default,644542
10,organisation,default,local-authority-eng:LND
10,entry-date,default,2020-12-16
11,reference,default,644543
11,organisation,default,local-authority-eng:LND
11,entry-date,default,2020-12-16
12,reference,default,644544
12,organisation,default,local-authority-eng:LND
12,entry-date,default,2020-12-16
13,reference,default,644833
13,organisation,default,local-authority-eng:LND
13,entry-date,default,2020-12-16
14,reference,default,644838
14,organisation,default,local-authority-eng:LND
14,entry-date,default,2020-12-16
15,reference,default,644540
15,organisation,default,local-authority-eng:LND
15,entry-date,default,2020-12-16
16,reference,default,644839
16,organisation,default,local-authority-eng:LND
16,entry-date,default,2020-12-16
17,reference,default,644840
17,organisation,default,local-authority-eng:LND
17,entry-date,default,2020-12-16
18,reference,default,644841
18,organisation,default,local-authority-eng:LND
18,entry-date,default,2020-12-16
19,reference,default,644834
19,organisation,default,local-authority-eng:LND
19,entry-date,default,2020-12-16
20,reference,default,644835
20,organisation,default,local-authority-eng:LND
20,entry-date,default,2020-12-16
21,reference,default,644836
21,organisation,default,local-authority-eng:LND
21,entry-date,default,2020-12-16
22,reference,default,644837
22,organisation,default,local-authority-eng:LND
22,entry-date,default,2020-12-16
23,reference,default,644842
23,organisation,default,local-authority-eng:LND
23,entry-date,default,2020-12-16
24,reference,default,644843
24,organisation,default,local-authority-eng:LND
24,entry-date,default,2020-12-16
25,reference,default,644844
25,organisation,default,local-authority-eng:LND
25,entry-date,default,2020-12-16
26,reference,default,644845
26,organisation,default,local-authority-eng:LND
26,entry-date,default,2020-12-16
27,reference,default,644846
27,organisation,default,local-authority-eng:LND
27,entry-date,default,2020-12-16
