row-number,field,issue-type,value
1,reference,default,HOLM
1,organisation,default,local-authority-eng:CAR
1,entry-date,default,2021-04-17
2,reference,default,VICT
2,organisation,default,local-authority-eng:CAR
2,entry-date,default,2021-04-17
3,reference,default,WOOD
3,organisation,default,local-authority-eng:CAR
3,entry-date,default,2021-04-17
4,reference,default,LBUR
4,organisation,default,local-authority-eng:CAR
4,entry-date,default,2021-04-17
5,reference,default,LONG
5,organisation,default,local-authority-eng:CAR
5,entry-date,default,2021-04-17
6,reference,default,BRAM
6,organisation,default,local-authority-eng:CAR
6,entry-date,default,2021-04-17
7,reference,default,GCOR
7,organisation,default,local-authority-eng:CAR
7,entry-date,default,2021-04-17
8,reference,default,RICK
8,organisation,default,local-authority-eng:CAR
8,entry-date,default,2021-04-17
9,reference,default,WAED
9,organisation,default,local-authority-eng:CAR
9,entry-date,default,2021-04-17
10,reference,default,SETT
10,organisation,default,local-authority-eng:CAR
10,entry-date,default,2021-04-17
11,reference,default,STAN
11,organisation,default,local-authority-eng:CAR
11,entry-date,default,2021-04-17
12,reference,default,DALS
12,organisation,default,local-authority-eng:CAR
12,entry-date,default,2021-04-17
13,reference,default,BOTC
13,organisation,default,local-authority-eng:CAR
13,entry-date,default,2021-04-17
14,reference,default,TARR
14,organisation,default,local-authority-eng:CAR
14,entry-date,default,2021-04-17
15,reference,default,CUMR
15,organisation,default,local-authority-eng:CAR
15,entry-date,default,2021-04-17
16,reference,default,CCEN
16,organisation,default,local-authority-eng:CAR
16,entry-date,default,2021-04-17
17,reference,default,WETH
17,organisation,default,local-authority-eng:CAR
17,entry-date,default,2021-04-17
18,reference,default,BURG
18,organisation,default,local-authority-eng:CAR
18,entry-date,default,2021-04-17
19,reference,default,PORT
19,organisation,default,local-authority-eng:CAR
19,entry-date,default,2021-04-17
20,reference,default,BRIS
20,organisation,default,local-authority-eng:CAR
20,entry-date,default,2021-04-17
