row-number,field,issue-type,value
1,reference,default,11
1,organisation,default,local-authority-eng:LBH
1,entry-date,default,2020-09-04
2,reference,default,12
2,organisation,default,local-authority-eng:LBH
2,entry-date,default,2020-09-04
3,reference,default,13
3,organisation,default,local-authority-eng:LBH
3,entry-date,default,2020-09-04
4,reference,default,14
4,organisation,default,local-authority-eng:LBH
4,entry-date,default,2020-09-04
5,reference,default,15
5,organisation,default,local-authority-eng:LBH
5,entry-date,default,2020-09-04
6,reference,default,16
6,organisation,default,local-authority-eng:LBH
6,entry-date,default,2020-09-04
7,reference,default,42
7,organisation,default,local-authority-eng:LBH
7,entry-date,default,2020-09-04
8,reference,default,43
8,organisation,default,local-authority-eng:LBH
8,entry-date,default,2020-09-04
9,reference,default,44
9,organisation,default,local-authority-eng:LBH
9,entry-date,default,2020-09-04
10,reference,default,45
10,organisation,default,local-authority-eng:LBH
10,entry-date,default,2020-09-04
11,reference,default,46
11,organisation,default,local-authority-eng:LBH
11,entry-date,default,2020-09-04
12,reference,default,47
12,organisation,default,local-authority-eng:LBH
12,entry-date,default,2020-09-04
13,reference,default,48
13,organisation,default,local-authority-eng:LBH
13,entry-date,default,2020-09-04
14,reference,default,49
14,organisation,default,local-authority-eng:LBH
14,entry-date,default,2020-09-04
15,reference,default,50
15,organisation,default,local-authority-eng:LBH
15,entry-date,default,2020-09-04
16,reference,default,51
16,organisation,default,local-authority-eng:LBH
16,entry-date,default,2020-09-04
17,reference,default,52
17,organisation,default,local-authority-eng:LBH
17,entry-date,default,2020-09-04
18,reference,default,17
18,organisation,default,local-authority-eng:LBH
18,entry-date,default,2020-09-04
19,reference,default,18
19,organisation,default,local-authority-eng:LBH
19,entry-date,default,2020-09-04
20,reference,default,19
20,organisation,default,local-authority-eng:LBH
20,entry-date,default,2020-09-04
21,reference,default,20
21,organisation,default,local-authority-eng:LBH
21,entry-date,default,2020-09-04
22,reference,default,21
22,organisation,default,local-authority-eng:LBH
22,entry-date,default,2020-09-04
23,reference,default,22
23,organisation,default,local-authority-eng:LBH
23,entry-date,default,2020-09-04
24,reference,default,23
24,organisation,default,local-authority-eng:LBH
24,entry-date,default,2020-09-04
25,reference,default,24
25,organisation,default,local-authority-eng:LBH
25,entry-date,default,2020-09-04
26,reference,default,25
26,organisation,default,local-authority-eng:LBH
26,entry-date,default,2020-09-04
27,reference,default,26
27,organisation,default,local-authority-eng:LBH
27,entry-date,default,2020-09-04
28,reference,default,27
28,organisation,default,local-authority-eng:LBH
28,entry-date,default,2020-09-04
29,reference,default,28
29,organisation,default,local-authority-eng:LBH
29,entry-date,default,2020-09-04
30,reference,default,29
30,organisation,default,local-authority-eng:LBH
30,entry-date,default,2020-09-04
31,reference,default,30
31,organisation,default,local-authority-eng:LBH
31,entry-date,default,2020-09-04
32,reference,default,31
32,organisation,default,local-authority-eng:LBH
32,entry-date,default,2020-09-04
33,reference,default,32
33,organisation,default,local-authority-eng:LBH
33,entry-date,default,2020-09-04
34,reference,default,33
34,organisation,default,local-authority-eng:LBH
34,entry-date,default,2020-09-04
35,reference,default,34
35,organisation,default,local-authority-eng:LBH
35,entry-date,default,2020-09-04
36,reference,default,35
36,organisation,default,local-authority-eng:LBH
36,entry-date,default,2020-09-04
37,reference,default,36
37,organisation,default,local-authority-eng:LBH
37,entry-date,default,2020-09-04
38,reference,default,37
38,organisation,default,local-authority-eng:LBH
38,entry-date,default,2020-09-04
39,reference,default,38
39,organisation,default,local-authority-eng:LBH
39,entry-date,default,2020-09-04
40,reference,default,39
40,organisation,default,local-authority-eng:LBH
40,entry-date,default,2020-09-04
41,reference,default,40
41,organisation,default,local-authority-eng:LBH
41,entry-date,default,2020-09-04
42,reference,default,41
42,organisation,default,local-authority-eng:LBH
42,entry-date,default,2020-09-04
43,reference,default,1
43,organisation,default,local-authority-eng:LBH
43,entry-date,default,2020-09-04
44,reference,default,2
44,organisation,default,local-authority-eng:LBH
44,entry-date,default,2020-09-04
45,reference,default,3
45,organisation,default,local-authority-eng:LBH
45,entry-date,default,2020-09-04
46,reference,default,4
46,organisation,default,local-authority-eng:LBH
46,entry-date,default,2020-09-04
47,reference,default,5
47,organisation,default,local-authority-eng:LBH
47,entry-date,default,2020-09-04
48,reference,default,6
48,organisation,default,local-authority-eng:LBH
48,entry-date,default,2020-09-04
49,reference,default,7
49,organisation,default,local-authority-eng:LBH
49,entry-date,default,2020-09-04
50,reference,default,8
50,organisation,default,local-authority-eng:LBH
50,entry-date,default,2020-09-04
51,reference,default,9
51,organisation,default,local-authority-eng:LBH
51,entry-date,default,2020-09-04
52,reference,default,10
52,organisation,default,local-authority-eng:LBH
52,entry-date,default,2020-09-04
53,reference,default,56
53,organisation,default,local-authority-eng:LBH
53,entry-date,default,2020-09-04
54,reference,default,57
54,organisation,default,local-authority-eng:LBH
54,entry-date,default,2020-09-04
55,reference,default,58
55,organisation,default,local-authority-eng:LBH
55,entry-date,default,2020-09-04
56,reference,default,59
56,organisation,default,local-authority-eng:LBH
56,entry-date,default,2020-09-04
57,reference,default,60
57,organisation,default,local-authority-eng:LBH
57,entry-date,default,2020-09-04
58,reference,default,61
58,organisation,default,local-authority-eng:LBH
58,entry-date,default,2020-09-04
59,reference,default,62
59,organisation,default,local-authority-eng:LBH
59,entry-date,default,2020-09-04
60,reference,default,53
60,organisation,default,local-authority-eng:LBH
60,entry-date,default,2020-09-04
61,reference,default,54
61,organisation,default,local-authority-eng:LBH
61,entry-date,default,2020-09-04
62,reference,default,55
62,organisation,default,local-authority-eng:LBH
62,entry-date,default,2020-09-04
