row-number,field,issue-type,value
1,reference,default,668215
1,organisation,default,local-authority-eng:LND
1,entry-date,default,2021-04-08
2,reference,default,668216
2,organisation,default,local-authority-eng:LND
2,entry-date,default,2021-04-08
3,reference,default,668217
3,organisation,default,local-authority-eng:LND
3,entry-date,default,2021-04-08
4,reference,default,668218
4,organisation,default,local-authority-eng:LND
4,entry-date,default,2021-04-08
5,reference,default,668219
5,organisation,default,local-authority-eng:LND
5,entry-date,default,2021-04-08
6,reference,default,668220
6,organisation,default,local-authority-eng:LND
6,entry-date,default,2021-04-08
7,reference,default,668221
7,organisation,default,local-authority-eng:LND
7,entry-date,default,2021-04-08
8,reference,default,668222
8,organisation,default,local-authority-eng:LND
8,entry-date,default,2021-04-08
9,reference,default,668223
9,organisation,default,local-authority-eng:LND
9,entry-date,default,2021-04-08
10,reference,default,668515
10,organisation,default,local-authority-eng:LND
10,entry-date,default,2021-04-08
11,reference,default,668516
11,organisation,default,local-authority-eng:LND
11,entry-date,default,2021-04-08
12,reference,default,668517
12,organisation,default,local-authority-eng:LND
12,entry-date,default,2021-04-08
13,reference,default,668224
13,organisation,default,local-authority-eng:LND
13,entry-date,default,2021-04-08
14,reference,default,668513
14,organisation,default,local-authority-eng:LND
14,entry-date,default,2021-04-08
15,reference,default,668514
15,organisation,default,local-authority-eng:LND
15,entry-date,default,2021-04-08
16,reference,default,668521
16,organisation,default,local-authority-eng:LND
16,entry-date,default,2021-04-08
17,reference,default,668518
17,organisation,default,local-authority-eng:LND
17,entry-date,default,2021-04-08
18,reference,default,668519
18,organisation,default,local-authority-eng:LND
18,entry-date,default,2021-04-08
19,reference,default,668520
19,organisation,default,local-authority-eng:LND
19,entry-date,default,2021-04-08
20,reference,default,668522
20,organisation,default,local-authority-eng:LND
20,entry-date,default,2021-04-08
21,reference,default,668523
21,organisation,default,local-authority-eng:LND
21,entry-date,default,2021-04-08
22,reference,default,668524
22,organisation,default,local-authority-eng:LND
22,entry-date,default,2021-04-08
23,reference,default,668528
23,organisation,default,local-authority-eng:LND
23,entry-date,default,2021-04-08
24,reference,default,668525
24,organisation,default,local-authority-eng:LND
24,entry-date,default,2021-04-08
25,reference,default,668526
25,organisation,default,local-authority-eng:LND
25,entry-date,default,2021-04-08
26,reference,default,668527
26,organisation,default,local-authority-eng:LND
26,entry-date,default,2021-04-08
27,reference,default,668529
27,organisation,default,local-authority-eng:LND
27,entry-date,default,2021-04-08
