dataset,resource,column,field
conservation-area,,wkt,geometry
conservation-area,420de5ea5ce36d3a33bf6e7213d7179382c4014c5738f30d9a7f786c30ef27c3,link,documentation-url
conservation-area,b9503f86a1e0c5e02c1fa5b42b8d84c63b1cca421813dfc44c0f1bf7b59e5d74,more_information,documentation-url
conservation-area,041560991f8c2e27de78b0e49e9e9f2282879bdad6564681568d5ddd2bd4de33,website,documentation-url
conservation-area,043fd72cc71429aad3fffa1a42a75d0c063f5946f5de88a65eb4bc9a71bfb54e,website,documentation-url
conservation-area,5eb471beca32e649428101a8329299bcebfb405772c3261ad4e202a3416dd752,website,documentation-url
conservation-area,be25f5cd4b940bb3ffe252252dc4291a969ea6cfeae9d75433180b59b5310a5d,website,documentation-url
conservation-area,f9114ac1b99928b5a5593fc106989b79a6c4453fa1dc345b2b4dcbae51f32d4e,website,documentation-url
conservation-area,feb3ba48b9b2b8ee245ce8c0c8bb6910384a83caf2564e038f442f6f922e4ffd,website,documentation-url
conservation-area,f617d13ef7ff061424ec50ed641f05779797ff03beb2cde6935f2a307c01ab44,removeddate,end-date
conservation-area,078ab364f8171439ecf6f8cb84db2496802693932ca21041bee5c1bdbf6649ca,amenddate,entry-date
conservation-area,a9c2c30058ccb3b565a9cc02b5b9a3b38b42f8db1b041bd313e1c9db06be6a87,amenddate,entry-date
conservation-area,1bc9974aede570bbd792f0390d62863a43eeb67cfd83b773e7a358b521b8add8,amenddate,entry-date
conservation-area,420de5ea5ce36d3a33bf6e7213d7179382c4014c5738f30d9a7f786c30ef27c3,amenddate,entry-date
conservation-area,70770698d9b484f4e5dec15e917df671ce6009d2f24942d3554894ac80701ac6,amenddate,entry-date
conservation-area,7d811dd70790c31f3783e673b8bcc5d6d1e7267466fdf25bd706476319a43802,amenddate,entry-date
conservation-area,de0b99137124fb1332b821c6f2f0a8f4af643c28bf2eb859e4ef5a38843446fc,amenddate,entry-date
conservation-area,043fd72cc71429aad3fffa1a42a75d0c063f5946f5de88a65eb4bc9a71bfb54e,create_dat,entry-date
conservation-area,083a55a37f8bcf36f3b51cbc7a7ea97bb60107478a6470f0c9fa9df13196ca63,date_updat,entry-date
