conservation-area,documentation-url,end-date,entry-date,geometry,name,organisation,start-date
dpd_conservation.1,,,2020-09-05,"MULTIPOLYGON (((-2.397516 53.604754, -2.397987 53.604708, -2.398192 53.604825, -2.398655 53.604953, -2.398940 53.604962, -2.399502 53.605076, -2.399666 53.604884, -2.399911 53.604991, -2.400330 53.604779, -2.400384 53.604792, -2.400740 53.604135, -2.400875 53.604183, -2.401039 53.604188, -2.401358 53.604258, -2.402072 53.604635, -2.402460 53.604910, -2.402689 53.604842, -2.403033 53.604995, -2.403498 53.605101, -2.403694 53.605016, -2.403767 53.605026, -2.404073 53.605353, -2.404091 53.605418, -2.404040 53.605456, -2.404124 53.605568, -2.404457 53.605871, -2.404382 53.605923, -2.404379 53.606130, -2.404334 53.606222, -2.404032 53.606659, -2.403863 53.606971, -2.403891 53.607080, -2.403999 53.607178, -2.403969 53.607254, -2.404108 53.607281, -2.403967 53.607548, -2.403897 53.607620, -2.403611 53.607534, -2.403274 53.607528, -2.403269 53.607653, -2.403353 53.607729, -2.403433 53.607889, -2.403322 53.608050, -2.403136 53.608095, -2.402982 53.608066, -2.402809 53.607988, -2.402698 53.607867, -2.402543 53.607858, -2.402578 53.607779, -2.402560 53.607709, -2.402268 53.607516, -2.401413 53.607412, -2.401370 53.607467, -2.401050 53.607470, -2.401052 53.607535, -2.400534 53.607551, -2.400503 53.607338, -2.400408 53.607328, -2.400329 53.607230, -2.400106 53.606780, -2.400045 53.606787, -2.399831 53.606648, -2.399510 53.606780, -2.399373 53.606662, -2.398913 53.606869, -2.398604 53.606900, -2.398528 53.606785, -2.398825 53.606579, -2.398894 53.606319, -2.398850 53.606306, -2.398999 53.606259, -2.399032 53.606228, -2.399063 53.606080, -2.399228 53.605972, -2.398906 53.605773, -2.398981 53.605707, -2.398624 53.605592, -2.398483 53.605795, -2.398308 53.605746, -2.398289 53.605772, -2.397822 53.605642, -2.397857 53.605600, -2.397725 53.605561, -2.397840 53.605415, -2.397796 53.605344, -2.396966 53.605099, -2.396995 53.604855, -2.397325 53.604821, -2.397389 53.604765, -2.397516 53.604754)))","Bradshaw Chapel, Bolton",local-authority-eng:BOL,
dpd_conservation.2,,,2020-09-05,"MULTIPOLYGON (((-2.442954 53.630911, -2.442978 53.630938, -2.443278 53.630853, -2.443353 53.630942, -2.444733 53.630536, -2.445047 53.630911, -2.445333 53.631128, -2.445578 53.631009, -2.445973 53.631655, -2.444533 53.632530, -2.444325 53.632790, -2.443999 53.632897, -2.444339 53.633259, -2.443939 53.633403, -2.443279 53.633095, -2.443401 53.633039, -2.443250 53.632871, -2.443178 53.632890, -2.443112 53.632810, -2.443221 53.632737, -2.442496 53.631966, -2.441411 53.632313, -2.440816 53.632052, -2.441021 53.631651, -2.440993 53.631213, -2.440471 53.630968, -2.440316 53.630602, -2.440971 53.630505, -2.441303 53.630547, -2.440976 53.630087, -2.441064 53.630062, -2.440999 53.629955, -2.440484 53.630185, -2.440123 53.629961, -2.439919 53.630025, -2.439264 53.629729, -2.437717 53.629499, -2.437589 53.629549, -2.437374 53.629555, -2.437135 53.629503, -2.436928 53.629414, -2.436929 53.629312, -2.437331 53.628357, -2.437280 53.628321, -2.437263 53.628249, -2.437287 53.628161, -2.438006 53.628008, -2.438189 53.627866, -2.438445 53.627747, -2.439192 53.627653, -2.439223 53.627560, -2.439184 53.627369, -2.439209 53.627272, -2.439257 53.627211, -2.439426 53.627174, -2.439358 53.627072, -2.439210 53.626829, -2.439168 53.626764, -2.439167 53.626762, -2.438812 53.626756, -2.438463 53.626813, -2.438153 53.626759, -2.437774 53.626638, -2.437349 53.626409, -2.437095 53.626227, -2.436713 53.626078, -2.437162 53.626054, -2.437704 53.625674, -2.437056 53.625201, -2.437367 53.624919, -2.436404 53.624177, -2.435766 53.623500, -2.435992 53.623355, -2.436065 53.623470, -2.436231 53.623571, -2.436237 53.623708, -2.438724 53.622456, -2.439369 53.622614, -2.439893 53.622693, -2.440108 53.622798, -2.440258 53.623002, -2.439307 53.623635, -2.438912 53.623978, -2.438750 53.624182, -2.438094 53.624556, -2.438062 53.624627, -2.438119 53.624706, -2.438500 53.624910, -2.438736 53.625222, -2.438991 53.625427, -2.439026 53.625491, -2.438995 53.625639, -2.439124 53.625671, -2.439252 53.625760, -2.439693 53.626186, -2.439714 53.626232, -2.439232 53.626457, -2.439965 53.626998, -2.440309 53.627085, -2.440550 53.627225, -2.440455 53.627542, -2.440054 53.627795, -2.440407 53.628354, -2.441196 53.628035, -2.441257 53.628115, -2.441289 53.628254, -2.441278 53.628371, -2.441342 53.628490, -2.441395 53.628745, -2.441526 53.628730, -2.441751 53.628641, -2.441729 53.628607, -2.441969 53.628577, -2.442016 53.628724, -2.441900 53.628849, -2.441965 53.628941, -2.441499 53.629010, -2.441676 53.629340, -2.441485 53.629378, -2.441869 53.629924, -2.441817 53.629934, -2.441991 53.630189, -2.441956 53.630233, -2.442055 53.630292, -2.442137 53.630411, -2.442482 53.630309, -2.442718 53.630525, -2.442635 53.630557, -2.442954 53.630911)))",Egerton,local-authority-eng:BOL,
dpd_conservation.3,,,2020-09-05,"MULTIPOLYGON (((-2.547371 53.599041, -2.547562 53.598966, -2.547918 53.599307, -2.547568 53.599434, -2.547454 53.599320, -2.547004 53.599493, -2.546959 53.599516, -2.546980 53.599561, -2.546655 53.599684, -2.547669 53.600493, -2.550939 53.601349, -2.551840 53.601564, -2.551869 53.601526, -2.552261 53.601630, -2.552238 53.601659, -2.552318 53.601678, -2.552303 53.601700, -2.553048 53.601859, -2.552977 53.602011, -2.553201 53.602040, -2.553349 53.601809, -2.553902 53.601884, -2.554176 53.601697, -2.554046 53.601572, -2.554413 53.601435, -2.554726 53.601723, -2.554709 53.601743, -2.555285 53.602132, -2.555249 53.602150, -2.555972 53.602620, -2.556323 53.603010, -2.556468 53.603220, -2.556130 53.603442, -2.556635 53.603660, -2.556442 53.603796, -2.556245 53.603805, -2.555953 53.603627, -2.555350 53.603879, -2.555231 53.603777, -2.555166 53.603807, -2.554396 53.603498, -2.554544 53.603372, -2.554900 53.602781, -2.553879 53.602639, -2.553923 53.602563, -2.553863 53.602459, -2.553658 53.602426, -2.553671 53.602396, -2.552116 53.602165, -2.551449 53.602021, -2.551431 53.602049, -2.551145 53.601985, -2.551131 53.602007, -2.550527 53.601873, -2.549694 53.602218, -2.549475 53.602055, -2.547945 53.601666, -2.548183 53.601327, -2.547602 53.601180, -2.547583 53.601198, -2.546618 53.600810, -2.546528 53.600884, -2.546516 53.600930, -2.546130 53.601223, -2.546027 53.601164, -2.545921 53.601047, -2.545705 53.601032, -2.545454 53.600892, -2.545859 53.600653, -2.545634 53.600551, -2.545148 53.600230, -2.545779 53.599962, -2.545063 53.599448, -2.544993 53.599401, -2.544918 53.599443, -2.544781 53.599427, -2.544761 53.599487, -2.544179 53.599414, -2.543477 53.599371, -2.543163 53.599208, -2.543652 53.599003, -2.544749 53.599127, -2.544858 53.598939, -2.544380 53.598826, -2.544597 53.598563, -2.544746 53.598578, -2.544992 53.598715, -2.545473 53.598916, -2.546047 53.599400, -2.547269 53.598950, -2.547371 53.599041)))",Horwich Town Centre,local-authority-eng:BOL,
dpd_conservation.4,,,2020-09-05,"MULTIPOLYGON (((-2.464300 53.574269, -2.464290 53.574170, -2.464330 53.574116, -2.465680 53.574308, -2.467103 53.574467, -2.469061 53.574850, -2.471378 53.575354, -2.474109 53.575801, -2.475260 53.575946, -2.477773 53.576098, -2.480041 53.576058, -2.482101 53.575953, -2.483899 53.575794, -2.486646 53.575395, -2.486710 53.575474, -2.487164 53.575432, -2.487600 53.575978, -2.487859 53.576402, -2.487996 53.576675, -2.488101 53.577066, -2.488112 53.577581, -2.487837 53.579331, -2.487466 53.579442, -2.487402 53.579601, -2.487364 53.580177, -2.487270 53.580624, -2.486811 53.581235, -2.486355 53.581612, -2.485752 53.581954, -2.482347 53.583520, -2.481936 53.583703, -2.481401 53.583847, -2.481146 53.583819, -2.480860 53.583742, -2.480176 53.583407, -2.479859 53.583314, -2.477049 53.583402, -2.477014 53.582378, -2.476045 53.581867, -2.475568 53.581806, -2.473445 53.580477, -2.468638 53.580822, -2.469146 53.582118, -2.467562 53.582059, -2.466297 53.581924, -2.465714 53.581740, -2.465032 53.581340, -2.464229 53.580992, -2.463897 53.580428, -2.463702 53.580206, -2.463425 53.579744, -2.464388 53.579730, -2.464344 53.577842, -2.464365 53.577067, -2.465362 53.576937, -2.465367 53.576836, -2.465184 53.576339, -2.464513 53.575107, -2.464359 53.574652, -2.464300 53.574269)))",Chorley New Road,local-authority-eng:BOL,
dpd_conservation.5,,,2020-09-05,"MULTIPOLYGON (((-2.535810 53.608164, -2.535830 53.608119, -2.535671 53.608085, -2.535306 53.608252, -2.535134 53.608284, -2.534712 53.608191, -2.534586 53.608141, -2.534244 53.607873, -2.534102 53.607797, -2.533201 53.607528, -2.532345 53.607124, -2.531931 53.607027, -2.531454 53.607070, -2.530488 53.606966, -2.530222 53.606963, -2.529740 53.607018, -2.529387 53.607018, -2.529105 53.607055, -2.528107 53.607311, -2.527798 53.607185, -2.527394 53.606947, -2.525551 53.605740, -2.523143 53.604832, -2.521147 53.603880, -2.519627 53.603108, -2.519382 53.602916, -2.519037 53.602532, -2.518711 53.602045, -2.518224 53.601139, -2.518092 53.600950, -2.516275 53.598764, -2.516228 53.597703, -2.516903 53.597907, -2.517580 53.597988, -2.518945 53.597928, -2.519562 53.597945, -2.519617 53.597807, -2.521106 53.597938, -2.521866 53.597952, -2.522170 53.597918, -2.522250 53.597862, -2.522228 53.597779, -2.522083 53.597581, -2.521834 53.597329, -2.521620 53.596985, -2.523086 53.596568, -2.523789 53.596301, -2.523760 53.596266, -2.525073 53.595463, -2.525832 53.595331, -2.526113 53.595141, -2.526197 53.595141, -2.527376 53.595238, -2.527864 53.595564, -2.528289 53.595745, -2.528829 53.595885, -2.528807 53.596022, -2.528964 53.596165, -2.529052 53.596059, -2.529599 53.596261, -2.529435 53.596351, -2.529229 53.596619, -2.529090 53.596685, -2.529422 53.596905, -2.529518 53.596851, -2.529793 53.597024, -2.530030 53.597085, -2.530107 53.597142, -2.530190 53.597306, -2.531051 53.597383, -2.531440 53.597492, -2.531835 53.597670, -2.532485 53.598081, -2.532840 53.598267, -2.534275 53.598882, -2.536348 53.598835, -2.536348 53.598538, -2.536897 53.598547, -2.536950 53.598074, -2.537048 53.597999, -2.537051 53.597913, -2.539229 53.597923, -2.539400 53.597624, -2.539765 53.597674, -2.540025 53.597652, -2.540149 53.597811, -2.541190 53.597586, -2.541183 53.598058, -2.541213 53.598154, -2.540990 53.598155, -2.541022 53.598786, -2.541788 53.598818, -2.543335 53.598964, -2.543101 53.599181, -2.543278 53.599296, -2.543368 53.599402, -2.542920 53.599533, -2.543077 53.599754, -2.541489 53.600129, -2.541392 53.600021, -2.539325 53.600427, -2.538967 53.600548, -2.538493 53.600841, -2.538166 53.600994, -2.537338 53.601187, -2.536864 53.601373, -2.536501 53.601359, -2.536165 53.601235, -2.535382 53.601331, -2.534307 53.601777, -2.533949 53.602099, -2.533675 53.602266, -2.532642 53.603106, -2.532979 53.603240, -2.532647 53.603550, -2.532633 53.603606, -2.532694 53.603629, -2.532668 53.603655, -2.533382 53.603917, -2.533554 53.603930, -2.534127 53.604107, -2.533313 53.605010, -2.533282 53.605172, -2.533499 53.605670, -2.533783 53.605917, -2.533885 53.605846, -2.534154 53.605948, -2.534073 53.606021, -2.534499 53.606220, -2.535504 53.606442, -2.535562 53.606487, -2.535612 53.606669, -2.535691 53.606790, -2.535798 53.606876, -2.535897 53.606910, -2.536473 53.606786, -2.536493 53.606679, -2.536897 53.606417, -2.536937 53.606322, -2.537061 53.606616, -2.537161 53.606709, -2.538508 53.607108, -2.537905 53.607548, -2.537708 53.607805, -2.537980 53.607944, -2.537657 53.608295, -2.537489 53.608594, -2.537415 53.608650, -2.536786 53.608501, -2.536236 53.608419, -2.535954 53.608215, -2.535810 53.608164)))",Wallsuches,local-authority-eng:BOL,
dpd_conservation.6,,,2020-09-05,"MULTIPOLYGON (((-2.433273 53.578451, -2.432559 53.578650, -2.432656 53.578782, -2.431300 53.579115, -2.430722 53.579151, -2.430726 53.579181, -2.430146 53.579284, -2.430192 53.579445, -2.429915 53.579467, -2.429777 53.579090, -2.429682 53.579107, -2.429639 53.578974, -2.429474 53.578997, -2.429462 53.578913, -2.429261 53.578930, -2.429166 53.578676, -2.429060 53.578688, -2.429032 53.578592, -2.429169 53.578574, -2.428973 53.578118, -2.428920 53.578125, -2.428789 53.577830, -2.429392 53.577735, -2.429372 53.577687, -2.429935 53.577609, -2.429869 53.577456, -2.430089 53.577422, -2.429991 53.577188, -2.432256 53.576818, -2.433273 53.578451)))",Town Hall,local-authority-eng:BOL,
dpd_conservation.7,,,2020-09-05,"MULTIPOLYGON (((-2.431847 53.579627, -2.431647 53.579645, -2.431567 53.579755, -2.431462 53.579808, -2.430684 53.579935, -2.430804 53.580317, -2.430856 53.580606, -2.431428 53.580561, -2.431498 53.580867, -2.431095 53.580891, -2.431106 53.580960, -2.431169 53.580956, -2.431219 53.581106, -2.431186 53.581111, -2.431400 53.581546, -2.430930 53.581619, -2.431018 53.581836, -2.428801 53.582197, -2.428709 53.581574, -2.428719 53.581097, -2.427430 53.581201, -2.427842 53.580196, -2.427262 53.580167, -2.427125 53.580439, -2.426468 53.580301, -2.426865 53.579607, -2.426849 53.579105, -2.426782 53.578781, -2.427240 53.578726, -2.427261 53.578804, -2.427172 53.578939, -2.427173 53.578997, -2.428125 53.578937, -2.428136 53.579048, -2.429462 53.578913, -2.429474 53.578997, -2.429639 53.578974, -2.429682 53.579107, -2.429777 53.579090, -2.429915 53.579467, -2.430192 53.579445, -2.430146 53.579284, -2.430726 53.579181, -2.430722 53.579151, -2.431300 53.579115, -2.432656 53.578782, -2.432559 53.578650, -2.433273 53.578451, -2.433456 53.578895, -2.433062 53.578988, -2.433315 53.579434, -2.433154 53.579467, -2.433114 53.579403, -2.432602 53.579520, -2.432533 53.579418, -2.431847 53.579627)))",Deansgate,local-authority-eng:BOL,
dpd_conservation.8,,,2020-09-05,"MULTIPOLYGON (((-2.431400 53.581546, -2.432647 53.581361, -2.432893 53.581938, -2.431835 53.582113, -2.431820 53.582157, -2.431740 53.582171, -2.431687 53.582136, -2.431234 53.582189, -2.431472 53.582779, -2.431568 53.582796, -2.431758 53.582758, -2.431834 53.582873, -2.431353 53.583007, -2.431292 53.582896, -2.430797 53.583009, -2.430621 53.582642, -2.429437 53.582826, -2.429445 53.583068, -2.429008 53.583089, -2.428933 53.582598, -2.428400 53.582699, -2.428430 53.582802, -2.428036 53.582879, -2.427981 53.582761, -2.427449 53.582846, -2.427312 53.582536, -2.426771 53.582612, -2.426569 53.582256, -2.426893 53.582167, -2.426713 53.581842, -2.427403 53.581680, -2.427445 53.581728, -2.427845 53.581677, -2.427828 53.581644, -2.427872 53.581638, -2.427630 53.581182, -2.428719 53.581097, -2.428709 53.581574, -2.428801 53.582197, -2.431018 53.581836, -2.430930 53.581619, -2.431400 53.581546)))",St.Georges (includes extension dated 10/01/2006),local-authority-eng:BOL,
dpd_conservation.9,,,2020-09-05,"MULTIPOLYGON (((-2.450595 53.579960, -2.450614 53.580022, -2.449489 53.580159, -2.448941 53.580169, -2.448928 53.580320, -2.448974 53.580322, -2.448954 53.580553, -2.448848 53.580544, -2.447540 53.580746, -2.447698 53.581117, -2.446114 53.581359, -2.446068 53.581325, -2.445914 53.581331, -2.445857 53.581358, -2.445848 53.581395, -2.444483 53.581602, -2.444327 53.581219, -2.442876 53.581419, -2.442818 53.581237, -2.442902 53.580995, -2.442475 53.580847, -2.442214 53.580669, -2.441593 53.580737, -2.441593 53.580626, -2.441657 53.580391, -2.440901 53.579820, -2.440496 53.579572, -2.440378 53.579589, -2.440191 53.579726, -2.440015 53.579794, -2.438984 53.579791, -2.438090 53.580085, -2.437759 53.580086, -2.437627 53.580024, -2.437701 53.579992, -2.437685 53.579870, -2.438042 53.579842, -2.438013 53.579200, -2.437461 53.579222, -2.436729 53.579178, -2.436883 53.578961, -2.437051 53.578810, -2.437452 53.578889, -2.438483 53.578770, -2.438582 53.579081, -2.438741 53.579081, -2.438991 53.579133, -2.439328 53.579130, -2.440310 53.578916, -2.440300 53.578839, -2.439319 53.578162, -2.439357 53.578150, -2.439254 53.578076, -2.440316 53.577721, -2.441813 53.577057, -2.442517 53.577581, -2.442969 53.577352, -2.442324 53.576826, -2.442891 53.576577, -2.443134 53.576542, -2.443231 53.576585, -2.443885 53.577116, -2.444291 53.577228, -2.444329 53.577272, -2.444484 53.577279, -2.444538 53.577241, -2.446455 53.577295, -2.446921 53.577590, -2.447270 53.577951, -2.447695 53.578204, -2.448143 53.577989, -2.448868 53.578543, -2.449856 53.579039, -2.450214 53.579288, -2.450481 53.579593, -2.450595 53.579960)))",Queens Park,local-authority-eng:BOL,
dpd_conservation.10,,,2020-09-05,"MULTIPOLYGON (((-2.406510 53.595856, -2.406807 53.595998, -2.407041 53.596037, -2.407920 53.595937, -2.407950 53.595977, -2.407192 53.596084, -2.406876 53.596064, -2.406868 53.596097, -2.407020 53.596344, -2.406916 53.596823, -2.407030 53.597189, -2.407170 53.597326, -2.407477 53.597344, -2.407684 53.597394, -2.407699 53.597418, -2.407625 53.597455, -2.407574 53.597444, -2.407565 53.597511, -2.407476 53.597542, -2.407500 53.597672, -2.407644 53.597791, -2.407162 53.598001, -2.405371 53.597408, -2.405020 53.597204, -2.404925 53.597043, -2.404923 53.596939, -2.405054 53.596636, -2.404296 53.596121, -2.403833 53.596113, -2.404893 53.595058, -2.405873 53.595343, -2.406024 53.595344, -2.406212 53.595533, -2.406162 53.595597, -2.406196 53.595644, -2.406111 53.595670, -2.406363 53.595749, -2.406510 53.595856)))",Firwood Fold,local-authority-eng:BOL,
