conservation-area,documentation-url,end-date,entry-date,geometry,name,organisation,start-date,slug
,,,2020-09-05,"MULTIPOLYGON (((-0.964612 53.415080,-0.964601 53.415116,-0.963331 53.414930,-0.963399 53.414611,-0.962638 53.414540,-0.962178 53.414460,-0.962162 53.414559,-0.962362 53.414637,-0.962377 53.414741,-0.962143 53.415281,-0.961429 53.415152,-0.961353 53.415125,-0.961358 53.415088,-0.961142 53.415081,-0.961201 53.414610,-0.960094 53.414561,-0.960085 53.414927,-0.959957 53.415107,-0.958283 53.415247,-0.958415 53.414548,-0.959531 53.414591,-0.959527 53.414273,-0.959296 53.414236,-0.959433 53.413842,-0.958566 53.413774,-0.958595 53.413674,-0.959427 53.413645,-0.959485 53.413589,-0.959506 53.413379,-0.960422 53.413444,-0.960528 53.413104,-0.961005 53.413148,-0.961080 53.412845,-0.961977 53.412904,-0.961986 53.412811,-0.962658 53.412864,-0.962892 53.412779,-0.963004 53.412803,-0.963017 53.412579,-0.963060 53.412459,-0.960790 53.412203,-0.960523 53.412812,-0.959845 53.412707,-0.959789 53.412662,-0.959767 53.412577,-0.959940 53.412067,-0.959993 53.412013,-0.960116 53.411972,-0.959277 53.411910,-0.959313 53.411746,-0.957678 53.411540,-0.957459 53.411477,-0.957942 53.410540,-0.956551 53.410184,-0.956404 53.410523,-0.955991 53.410448,-0.956143 53.410112,-0.956020 53.410092,-0.955980 53.409930,-0.956045 53.409565,-0.956274 53.409574,-0.956445 53.409560,-0.956446 53.409533,-0.956668 53.409555,-0.956713 53.409510,-0.957564 53.409546,-0.957583 53.409424,-0.957806 53.409431,-0.957794 53.409715,-0.957912 53.409747,-0.957821 53.409924,-0.957691 53.410083,-0.957841 53.410038,-0.958321 53.410181,-0.958521 53.409812,-0.959408 53.409910,-0.959367 53.410210,-0.959638 53.410255,-0.959415 53.410833,-0.960445 53.411135,-0.960587 53.411038,-0.960739 53.410605,-0.961291 53.410717,-0.961368 53.410460,-0.961557 53.410472,-0.961546 53.410529,-0.962491 53.410568,-0.962352 53.411119,-0.962231 53.411462,-0.962308 53.411573,-0.963430 53.411863,-0.964068 53.412072,-0.964177 53.412135,-0.965836 53.412505,-0.965772 53.412674,-0.965218 53.412618,-0.965211 53.412639,-0.964715 53.412537,-0.964745 53.412465,-0.964283 53.412394,-0.963801 53.412395,-0.963183 53.412345,-0.963133 53.412595,-0.963183 53.412653,-0.963141 53.412835,-0.963228 53.413135,-0.963749 53.413072,-0.964285 53.413112,-0.964398 53.413516,-0.964049 53.413463,-0.963581 53.413448,-0.963528 53.413768,-0.963517 53.414239,-0.963888 53.414324,-0.963946 53.414355,-0.963998 53.414439,-0.964726 53.414532,-0.964560 53.415070,-0.964612 53.415080)))",Everton,local-authority-eng:NGM,,
,,,2020-09-05,"MULTIPOLYGON (((-1.177661 52.945598,-1.179480 52.945553,-1.179506 52.945378,-1.180254 52.945345,-1.180295 52.946048,-1.179558 52.946079,-1.179570 52.946271,-1.179631 52.946625,-1.180091 52.946598,-1.180203 52.946868,-1.180023 52.946914,-1.180034 52.946942,-1.179723 52.946992,-1.179901 52.947241,-1.179972 52.947568,-1.180108 52.947885,-1.180446 52.947787,-1.180634 52.948002,-1.180109 52.948086,-1.180047 52.947943,-1.179648 52.948059,-1.179486 52.947676,-1.179369 52.947642,-1.179171 52.947299,-1.179073 52.947318,-1.178917 52.947053,-1.178887 52.947059,-1.178805 52.946924,-1.179182 52.946803,-1.179097 52.946676,-1.178983 52.946734,-1.178742 52.946434,-1.178263 52.946947,-1.178173 52.946955,-1.177871 52.947187,-1.177827 52.947302,-1.177706 52.947410,-1.177569 52.947329,-1.177385 52.946977,-1.177158 52.947024,-1.177054 52.946967,-1.177189 52.946957,-1.177046 52.946622,-1.177225 52.946607,-1.177259 52.946209,-1.176679 52.946258,-1.176329 52.945792,-1.177661 52.945598)))",Old Lenton,local-authority-eng:NGM,,
,,,2020-09-05,"MULTIPOLYGON (((-0.893425 53.002626,-0.894664 53.002756,-0.894655 53.002723,-0.895131 53.002722,-0.896428 53.002975,-0.896609 53.002916,-0.896746 53.002917,-0.897681 53.003022,-0.897948 53.002986,-0.897920 53.001487,-0.899926 53.001753,-0.900032 53.001651,-0.901984 53.000470,-0.903058 52.999078,-0.903130 52.999127,-0.904053 52.999407,-0.904358 52.999538,-0.907933 53.001257,-0.908995 53.001559,-0.910522 53.001852,-0.911399 53.002131,-0.913648 53.002763,-0.914802 53.003120,-0.915599 53.003416,-0.915710 53.003466,-0.916083 53.003742,-0.913419 53.006285,-0.908290 53.010869,-0.907269 53.011753,-0.907161 53.011813,-0.907013 53.011990,-0.905814 53.013065,-0.901026 53.010808,-0.900946 53.010759,-0.900940 53.010708,-0.899661 53.010125,-0.899383 53.009916,-0.898332 53.008621,-0.897221 53.009680,-0.896569 53.009497,-0.896478 53.009599,-0.895329 53.009260,-0.896579 53.007674,-0.895912 53.007503,-0.894857 53.007387,-0.894755 53.007575,-0.893833 53.007421,-0.893769 53.007518,-0.893610 53.007503,-0.892515 53.007260,-0.893477 53.006023,-0.892618 53.005778,-0.892912 53.005376,-0.892209 53.005152,-0.891915 53.005482,-0.891648 53.005389,-0.891085 53.005122,-0.889008 53.004325,-0.888839 53.004248,-0.888703 53.004135,-0.888212 53.003922,-0.888155 53.003984,-0.887113 53.003646,-0.887656 53.003072,-0.888247 53.003449,-0.888847 53.003610,-0.889627 53.002848,-0.890028 53.002379,-0.890147 53.002462,-0.890323 53.002526,-0.890843 53.002571,-0.891540 53.002597,-0.892550 53.002565,-0.893425 53.002626)))",Flintham Conservation Area,local-authority-eng:NGM,,
,,,2020-09-05,"MULTIPOLYGON (((-0.946710 53.081840,-0.946334 53.081663,-0.946469 53.081617,-0.946878 53.081797,-0.947476 53.081386,-0.947583 53.081276,-0.947642 53.081275,-0.947869 53.081117,-0.947431 53.080908,-0.947558 53.080810,-0.947371 53.080718,-0.947766 53.080438,-0.946168 53.079545,-0.945875 53.079404,-0.945802 53.079396,-0.945662 53.079294,-0.944954 53.078949,-0.944521 53.078787,-0.944668 53.078645,-0.944691 53.078456,-0.944741 53.078353,-0.944921 53.078151,-0.944938 53.078082,-0.945100 53.077982,-0.945055 53.077915,-0.945080 53.077735,-0.945351 53.077602,-0.945381 53.077424,-0.945471 53.077410,-0.945757 53.077468,-0.945849 53.077420,-0.945710 53.077362,-0.945758 53.077258,-0.945554 53.077192,-0.946093 53.076446,-0.945280 53.076286,-0.945123 53.076220,-0.945201 53.076102,-0.944743 53.075956,-0.944643 53.075894,-0.944922 53.075649,-0.945034 53.075315,-0.945011 53.075248,-0.945055 53.075033,-0.945026 53.074726,-0.944928 53.074564,-0.944138 53.074194,-0.943234 53.073843,-0.943122 53.073946,-0.942436 53.073850,-0.942646 53.073505,-0.942873 53.073577,-0.943358 53.073636,-0.943456 53.073585,-0.943594 53.073627,-0.943741 53.073468,-0.944398 53.073628,-0.945438 53.073803,-0.946583 53.073920,-0.947705 53.074195,-0.947545 53.074331,-0.947382 53.075045,-0.947343 53.075042,-0.947311 53.075213,-0.947344 53.075216,-0.947343 53.075309,-0.947527 53.075605,-0.947549 53.075734,-0.947628 53.075842,-0.947624 53.076045,-0.948420 53.076080,-0.948641 53.075767,-0.949129 53.075216,-0.949264 53.075258,-0.950201 53.074476,-0.950384 53.074358,-0.950519 53.074393,-0.951020 53.074654,-0.951162 53.074759,-0.951497 53.074401,-0.951763 53.074407,-0.951972 53.074356,-0.952136 53.074222,-0.952379 53.074117,-0.952418 53.074046,-0.952542 53.073993,-0.952697 53.073872,-0.952996 53.073905,-0.953362 53.073862,-0.953679 53.073813,-0.954039 53.073665,-0.954852 53.073538,-0.955163 53.073562,-0.956312 53.073436,-0.957222 53.073007,-0.957593 53.073100,-0.957594 53.073147,-0.957749 53.073138,-0.958344 53.072882,-0.958396 53.072904,-0.958467 53.072885,-0.960225 53.072319,-0.960634 53.072151,-0.960874 53.072322,-0.961018 53.072357,-0.961152 53.072640,-0.961169 53.072725,-0.961071 53.072814,-0.961018 53.073104,-0.962136 53.073195,-0.962140 53.072990,-0.963346 53.073038,-0.963285 53.073617,-0.963052 53.073631,-0.962816 53.074668,-0.963899 53.074767,-0.963922 53.074663,-0.964701 53.074671,-0.964893 53.074172,-0.964290 53.074090,-0.964217 53.073977,-0.964450 53.073929,-0.964709 53.073956,-0.965548 53.073901,-0.966198 53.073936,-0.967361 53.074133,-0.967805 53.074138,-0.968270 53.074278,-0.968560 53.074279,-0.970577 53.073844,-0.970747 53.073752,-0.970988 53.073556,-0.971019 53.073453,-0.970967 53.073248,-0.970992 53.073216,-0.971462 53.073087,-0.971743 53.072944,-0.972245 53.072949,-0.972929 53.072876,-0.973405 53.072939,-0.973546 53.073018,-0.973928 53.073048,-0.975100 53.072850,-0.975553 53.072820,-0.975918 53.072708,-0.976850 53.072598,-0.977624 53.072318,-0.977964 53.072308,-0.978182 53.072252,-0.978520 53.072094,-0.978816 53.072273,-0.978104 53.072734,-0.977971 53.072847,-0.977922 53.072943,-0.977879 53.073141,-0.977840 53.073724,-0.977845 53.074096,-0.977879 53.074210,-0.977960 53.074323,-0.978346 53.074354,-0.979554 53.074298,-0.979654 53.074677,-0.978666 53.074878,-0.977969 53.074918,-0.978058 53.075719,-0.978041 53.076234,-0.978000 53.076439,-0.978015 53.076690,-0.978142 53.076791,-0.978522 53.076798,-0.978536 53.076977,-0.978166 53.077045,-0.977413 53.077117,-0.976753 53.077309,-0.975810 53.077677,-0.975270 53.077811,-0.974801 53.077874,-0.974117 53.077871,-0.972790 53.077739,-0.972148 53.077610,-0.971731 53.077613,-0.971681 53.077511,-0.971732 53.077510,-0.971327 53.077428,-0.971276 53.077466,-0.970450 53.077545,-0.970734 53.077067,-0.970025 53.076534,-0.969446 53.076218,-0.969001 53.076131,-0.968596 53.076099,-0.968586 53.076139,-0.968411 53.076124,-0.968438 53.075841,-0.967180 53.075637,-0.967113 53.075794,-0.967123 53.076010,-0.967182 53.076232,-0.967383 53.076251,-0.967355 53.076567,-0.967232 53.076636,-0.967196 53.076896,-0.966963 53.076945,-0.966541 53.076920,-0.966776 53.075565,-0.966410 53.075495,-0.966292 53.075562,-0.965525 53.075516,-0.965409 53.076087,-0.965047 53.076066,-0.965162 53.075360,-0.963699 53.075219,-0.963631 53.075797,-0.963155 53.075747,-0.963173 53.075626,-0.962462 53.075610,-0.962482 53.075301,-0.961887 53.075276,-0.961770 53.075201,-0.961439 53.075187,-0.961416 53.075474,-0.960727 53.075468,-0.960658 53.075619,-0.960116 53.075872,-0.959466 53.076357,-0.959285 53.076144,-0.959108 53.075853,-0.958510 53.076056,-0.958324 53.075984,-0.957716 53.076336,-0.957636 53.076300,-0.957508 53.076397,-0.957313 53.076647,-0.958751 53.077053,-0.958685 53.077126,-0.958779 53.077161,-0.958528 53.077475,-0.958417 53.077781,-0.958189 53.078086,-0.958018 53.078210,-0.957766 53.078706,-0.957662 53.078735,-0.957590 53.078902,-0.958426 53.079125,-0.959462 53.079287,-0.959398 53.079385,-0.959134 53.080467,-0.959007 53.080500,-0.958739 53.080145,-0.957787 53.080056,-0.957829 53.079944,-0.958163 53.079943,-0.958102 53.079784,-0.958165 53.079760,-0.958087 53.079724,-0.958100 53.079607,-0.957834 53.079538,-0.957277 53.079482,-0.957372 53.079327,-0.957014 53.079239,-0.957135 53.079115,-0.956190 53.078942,-0.955544 53.079246,-0.955338 53.079272,-0.955071 53.079353,-0.954569 53.079185,-0.954041 53.079169,-0.953830 53.079072,-0.953774 53.079095,-0.953775 53.079162,-0.953818 53.079200,-0.953407 53.079476,-0.953168 53.079705,-0.953465 53.079766,-0.953191 53.079919,-0.953264 53.079943,-0.953097 53.080146,-0.952806 53.080098,-0.952563 53.080282,-0.952416 53.080319,-0.951764 53.080608,-0.951244 53.080919,-0.950326 53.081538,-0.949538 53.081183,-0.949278 53.081418,-0.949047 53.081290,-0.948770 53.081474,-0.948727 53.081459,-0.948631 53.081546,-0.948296 53.081383,-0.947550 53.081904,-0.947673 53.081968,-0.947376 53.082165,-0.947221 53.082442,-0.946377 53.082935,-0.945794 53.082625,-0.946153 53.082377,-0.946433 53.082088,-0.946775 53.081872,-0.946710 53.081840)))",Southwell,local-authority-eng:NGM,,
,,,2020-09-05,"MULTIPOLYGON (((-1.228553 52.907159,-1.227430 52.906664,-1.227826 52.906404,-1.227764 52.906372,-1.228863 52.905612,-1.228725 52.905582,-1.227613 52.905144,-1.227294 52.905433,-1.226803 52.905274,-1.226159 52.905823,-1.227080 52.906137,-1.226730 52.906485,-1.225856 52.906192,-1.225618 52.906453,-1.224857 52.906187,-1.224696 52.905975,-1.224874 52.905862,-1.224977 52.905724,-1.225029 52.905578,-1.225051 52.905270,-1.225075 52.905243,-1.225045 52.905187,-1.225100 52.905071,-1.225227 52.904913,-1.225445 52.904769,-1.225452 52.904705,-1.225390 52.904551,-1.225336 52.904272,-1.225352 52.904179,-1.225426 52.904107,-1.225137 52.903991,-1.225125 52.903842,-1.225067 52.903754,-1.225072 52.903658,-1.224698 52.903539,-1.224606 52.903446,-1.224627 52.903378,-1.224975 52.903303,-1.225235 52.903195,-1.225740 52.903054,-1.226318 52.902959,-1.226529 52.902850,-1.226539 52.902816,-1.226486 52.902752,-1.226534 52.902719,-1.226730 52.902729,-1.227651 52.902467,-1.227751 52.902565,-1.227737 52.902619,-1.227490 52.902747,-1.227062 52.902871,-1.226998 52.902977,-1.227144 52.903116,-1.227348 52.903244,-1.227607 52.903486,-1.227926 52.903581,-1.228320 52.903796,-1.228657 52.903620,-1.228829 52.903358,-1.229044 52.903196,-1.229355 52.903064,-1.229784 52.902769,-1.229932 52.902725,-1.230069 52.902765,-1.230353 52.902928,-1.230703 52.902967,-1.230674 52.903001,-1.230395 52.903060,-1.230347 52.903141,-1.230922 52.903533,-1.232038 52.903931,-1.231972 52.904133,-1.231638 52.904560,-1.231365 52.904490,-1.231233 52.904637,-1.230677 52.905064,-1.230182 52.905510,-1.230241 52.905552,-1.230841 52.905655,-1.230711 52.905817,-1.230112 52.905608,-1.230038 52.905656,-1.229600 52.905491,-1.229092 52.905873,-1.229419 52.906015,-1.229138 52.906286,-1.229036 52.906250,-1.228534 52.906543,-1.228616 52.907072,-1.228610 52.907187,-1.228553 52.907159)))",Attenborough,local-authority-eng:NGM,,
,,,2020-09-05,"MULTIPOLYGON (((-0.979505 53.115564,-0.979287 53.115172,-0.979477 53.114953,-0.979706 53.114802,-0.979856 53.114419,-0.980002 53.114249,-0.980005 53.114129,-0.979973 53.114036,-0.979914 53.113990,-0.979571 53.113976,-0.979253 53.113897,-0.979050 53.113764,-0.979022 53.113651,-0.979154 53.113498,-0.979375 53.113458,-0.979640 53.113136,-0.980359 53.113260,-0.980524 53.113021,-0.980507 53.112942,-0.980871 53.112626,-0.981329 53.112045,-0.981401 53.111922,-0.980785 53.111735,-0.980254 53.111618,-0.980603 53.111314,-0.980792 53.111047,-0.981012 53.111100,-0.980927 53.111226,-0.981748 53.111410,-0.982519 53.111283,-0.983236 53.111441,-0.983006 53.111815,-0.983892 53.111908,-0.984517 53.111818,-0.984615 53.111601,-0.984683 53.111534,-0.984682 53.111490,-0.984572 53.111329,-0.984317 53.111348,-0.984144 53.111174,-0.984380 53.110984,-0.984249 53.110904,-0.984254 53.110768,-0.984402 53.110689,-0.984353 53.110527,-0.984378 53.110506,-0.985661 53.110588,-0.986227 53.109866,-0.987418 53.109956,-0.987295 53.110215,-0.987147 53.110697,-0.988796 53.111236,-0.988952 53.110963,-0.989164 53.110737,-0.989340 53.110400,-0.988972 53.110305,-0.989556 53.109432,-0.989575 53.109356,-0.989684 53.109313,-0.989945 53.109297,-0.990567 53.109318,-0.990792 53.108799,-0.991077 53.108815,-0.991143 53.108732,-0.991112 53.108728,-0.991165 53.108611,-0.991639 53.108080,-0.992411 53.108339,-0.992499 53.108360,-0.992527 53.108315,-0.992667 53.108356,-0.992803 53.108221,-0.993014 53.108222,-0.993057 53.107777,-0.994962 53.107635,-0.995002 53.107962,-0.995117 53.108064,-0.995430 53.108086,-0.996060 53.107998,-0.996160 53.108344,-0.994785 53.108477,-0.994459 53.108534,-0.994498 53.108579,-0.994405 53.108603,-0.994080 53.108571,-0.993999 53.109034,-0.993153 53.109192,-0.992873 53.109883,-0.992273 53.109774,-0.992221 53.109906,-0.992013 53.109875,-0.991914 53.110053,-0.992381 53.110143,-0.991968 53.110723,-0.991875 53.110898,-0.991205 53.111705,-0.990344 53.111610,-0.989793 53.111771,-0.990520 53.112202,-0.990555 53.112183,-0.990686 53.112259,-0.990089 53.112669,-0.989515 53.112291,-0.989444 53.112368,-0.989052 53.112579,-0.988875 53.112464,-0.988970 53.112409,-0.988826 53.112334,-0.988921 53.112274,-0.988626 53.112225,-0.988398 53.112275,-0.987861 53.112528,-0.987283 53.112573,-0.987284 53.112595,-0.986805 53.112595,-0.986808 53.112559,-0.986643 53.112554,-0.986580 53.112580,-0.986039 53.112566,-0.986044 53.112542,-0.985796 53.112585,-0.985257 53.112429,-0.983490 53.113421,-0.982993 53.113814,-0.982655 53.114031,-0.982645 53.114248,-0.982586 53.114452,-0.982418 53.114722,-0.981882 53.115276,-0.981700 53.115314,-0.980762 53.115323,-0.979505 53.115564)))",Kirklington,local-authority-eng:NGM,,
,,,2020-09-05,"MULTIPOLYGON (((-1.308065 53.059745,-1.307851 53.059659,-1.307765 53.059698,-1.307591 53.060199,-1.306587 53.059868,-1.306608 53.059732,-1.306339 53.059704,-1.306247 53.059790,-1.306077 53.059766,-1.305535 53.059442,-1.305440 53.059496,-1.304854 53.060034,-1.304200 53.060700,-1.303955 53.061016,-1.303288 53.060999,-1.302786 53.060929,-1.302763 53.061157,-1.302627 53.061520,-1.302237 53.062194,-1.301962 53.062808,-1.301842 53.062970,-1.301827 53.063084,-1.301696 53.063333,-1.301621 53.063393,-1.300020 53.063355,-1.299988 53.063238,-1.299707 53.063239,-1.298514 53.063356,-1.298158 53.061530,-1.298236 53.061327,-1.298437 53.061053,-1.298760 53.060215,-1.297425 53.060077,-1.296033 53.060442,-1.294739 53.060595,-1.294489 53.059973,-1.294041 53.060156,-1.293766 53.059460,-1.293506 53.059435,-1.294183 53.058203,-1.294541 53.058427,-1.295236 53.058335,-1.295430 53.058249,-1.296018 53.058963,-1.295993 53.058759,-1.296621 53.058553,-1.297136 53.058999,-1.297157 53.059041,-1.297133 53.059077,-1.297201 53.059089,-1.297496 53.059010,-1.297713 53.058884,-1.298077 53.058875,-1.298160 53.058682,-1.298262 53.058733,-1.299314 53.058658,-1.299493 53.058872,-1.299466 53.059006,-1.300150 53.059221,-1.300395 53.059233,-1.300719 53.059203,-1.301347 53.058984,-1.302448 53.058407,-1.302393 53.058169,-1.302413 53.057998,-1.302685 53.057936,-1.302866 53.057972,-1.302952 53.057907,-1.303562 53.057883,-1.303669 53.057774,-1.303689 53.057603,-1.304785 53.057626,-1.305031 53.057225,-1.305059 53.057028,-1.305564 53.057057,-1.305506 53.057183,-1.305463 53.057442,-1.305427 53.057891,-1.308568 53.057393,-1.310220 53.057350,-1.310998 53.057258,-1.312046 53.057042,-1.311970 53.056817,-1.312450 53.056746,-1.312531 53.056894,-1.313164 53.056746,-1.313751 53.056885,-1.314017 53.056628,-1.314390 53.056555,-1.314445 53.056558,-1.315404 53.057104,-1.314974 53.057387,-1.313193 53.058199,-1.312690 53.058363,-1.313530 53.059535,-1.313481 53.059599,-1.313761 53.060014,-1.313775 53.060149,-1.313330 53.060158,-1.313047 53.059994,-1.312878 53.059996,-1.312677 53.059935,-1.312518 53.059959,-1.312349 53.059884,-1.312114 53.059919,-1.311986 53.059789,-1.311722 53.059884,-1.311412 53.059770,-1.311093 53.059824,-1.310697 53.059732,-1.310304 53.059708,-1.309983 53.059742,-1.309480 53.059619,-1.309351 53.059638,-1.309171 53.059745,-1.309078 53.059766,-1.308332 53.059775,-1.308065 53.059745),(-1.305496 53.059447,-1.305496 53.059447,-1.305469 53.059470,-1.305496 53.059447)))",Lower Bagthorpe,local-authority-eng:NGM,,
,,,2020-09-05,"MULTIPOLYGON (((-0.947390 52.948854,-0.947483 52.948662,-0.947791 52.947506,-0.948877 52.947529,-0.948476 52.948870,-0.952025 52.949064,-0.956179 52.949340,-0.956171 52.949365,-0.956372 52.949508,-0.956529 52.949697,-0.957180 52.949759,-0.957142 52.949940,-0.956553 52.949866,-0.956521 52.950001,-0.955843 52.950007,-0.955832 52.950172,-0.955598 52.950163,-0.955595 52.950208,-0.955328 52.950191,-0.955329 52.949936,-0.954885 52.949923,-0.954740 52.949883,-0.954405 52.949866,-0.954405 52.949839,-0.953499 52.949798,-0.953516 52.949593,-0.953025 52.949556,-0.952968 52.950504,-0.953338 52.950512,-0.953346 52.950418,-0.954379 52.950438,-0.954324 52.951104,-0.954339 52.951249,-0.955043 52.951261,-0.955135 52.950764,-0.955554 52.950768,-0.955542 52.950918,-0.956198 52.950929,-0.956285 52.950980,-0.956255 52.951206,-0.956179 52.951404,-0.956053 52.951438,-0.956022 52.951748,-0.955834 52.951753,-0.955817 52.951897,-0.954883 52.951991,-0.954920 52.952384,-0.954911 52.952674,-0.955060 52.952670,-0.955054 52.952617,-0.956298 52.952606,-0.956271 52.952736,-0.956405 52.952791,-0.956718 52.952814,-0.956693 52.953117,-0.956424 52.953117,-0.956430 52.952962,-0.955654 52.953013,-0.955613 52.953058,-0.955660 52.953062,-0.955665 52.953104,-0.955389 52.953123,-0.955182 52.953181,-0.955219 52.953388,-0.954684 52.953405,-0.954614 52.953096,-0.954198 52.953098,-0.954077 52.952872,-0.953953 52.952869,-0.953965 52.953056,-0.953888 52.953059,-0.953897 52.953213,-0.953848 52.953216,-0.953804 52.953196,-0.953794 52.953140,-0.953744 52.953144,-0.953657 52.952860,-0.953355 52.952861,-0.953150 52.953000,-0.953077 52.953167,-0.952359 52.953177,-0.952210 52.953760,-0.952275 52.953764,-0.952174 52.954163,-0.950579 52.954109,-0.950516 52.954077,-0.948336 52.954010,-0.948795 52.952917,-0.947944 52.952816,-0.948095 52.952078,-0.948149 52.952007,-0.947629 52.951987,-0.947659 52.951678,-0.947609 52.951677,-0.947620 52.951573,-0.947215 52.951588,-0.947209 52.951623,-0.946994 52.951618,-0.947066 52.951057,-0.946851 52.951047,-0.946899 52.950607,-0.946585 52.950572,-0.946623 52.950539,-0.946682 52.950357,-0.946777 52.950364,-0.946796 52.950298,-0.947021 52.950317,-0.947032 52.950180,-0.946962 52.949882,-0.946701 52.949570,-0.946544 52.949474,-0.946737 52.949245,-0.947194 52.949316,-0.947390 52.948854)))",Bingham Conservation Area,local-authority-eng:NGM,,
,,,2020-09-05,"MULTIPOLYGON (((-1.225557 52.926691,-1.225447 52.926712,-1.224792 52.926216,-1.223860 52.925355,-1.223552 52.925119,-1.223347 52.925082,-1.223257 52.925007,-1.223335 52.924968,-1.223222 52.924863,-1.223284 52.924824,-1.223058 52.924649,-1.222990 52.924682,-1.222321 52.924219,-1.222412 52.924162,-1.221733 52.923802,-1.222078 52.923593,-1.221799 52.923420,-1.221875 52.923372,-1.221694 52.923261,-1.221493 52.923369,-1.221334 52.923231,-1.221297 52.923247,-1.220996 52.922917,-1.220599 52.922600,-1.221166 52.922313,-1.221591 52.922638,-1.222555 52.922144,-1.222085 52.921821,-1.222620 52.921555,-1.223474 52.922204,-1.223625 52.922131,-1.224280 52.922610,-1.225360 52.923325,-1.225581 52.923398,-1.227049 52.924251,-1.226776 52.924481,-1.227475 52.924856,-1.228233 52.925327,-1.227574 52.925680,-1.227763 52.925837,-1.227693 52.925898,-1.226455 52.926482,-1.226145 52.926578,-1.225557 52.926691)))",Chilwell Cottage Grove,local-authority-eng:NGM,,
,,,2020-09-05,"MULTIPOLYGON (((-1.192632 53.161323,-1.193077 53.160687,-1.194053 53.160588,-1.194459 53.160622,-1.194629 53.161417,-1.194705 53.161409,-1.194817 53.162040,-1.194768 53.162044,-1.194793 53.162156,-1.194936 53.162147,-1.194982 53.162362,-1.194917 53.162368,-1.194938 53.162483,-1.196722 53.162333,-1.196713 53.162395,-1.197240 53.162350,-1.197292 53.162431,-1.197613 53.162406,-1.197747 53.162614,-1.197452 53.162681,-1.197767 53.163166,-1.197735 53.163175,-1.198180 53.163591,-1.197814 53.163745,-1.197860 53.163785,-1.197788 53.163815,-1.197749 53.163779,-1.197692 53.163805,-1.197530 53.163680,-1.196130 53.164177,-1.196558 53.164525,-1.196034 53.164724,-1.196066 53.164756,-1.195799 53.164855,-1.195719 53.164757,-1.195722 53.164702,-1.195582 53.164600,-1.195479 53.164632,-1.195544 53.164681,-1.195175 53.164828,-1.194798 53.164923,-1.195124 53.165439,-1.195299 53.165463,-1.194614 53.165701,-1.194642 53.165750,-1.194216 53.165892,-1.194310 53.166020,-1.194069 53.166094,-1.194204 53.166250,-1.193981 53.166319,-1.193670 53.165945,-1.193534 53.166045,-1.192696 53.166201,-1.192375 53.166305,-1.192234 53.166397,-1.192268 53.166336,-1.192094 53.166031,-1.192054 53.166044,-1.192014 53.165982,-1.192072 53.165972,-1.192024 53.165862,-1.191449 53.165933,-1.191477 53.165983,-1.191129 53.166060,-1.191351 53.166388,-1.191162 53.166435,-1.191017 53.166212,-1.190665 53.166279,-1.190729 53.166394,-1.190632 53.166412,-1.190600 53.166366,-1.190480 53.166397,-1.190466 53.166376,-1.189907 53.166532,-1.188953 53.166703,-1.189622 53.167660,-1.190246 53.168290,-1.189069 53.168663,-1.188114 53.167566,-1.188071 53.167580,-1.187983 53.167467,-1.188020 53.167455,-1.187752 53.167150,-1.187454 53.166932,-1.187339 53.166863,-1.186921 53.167134,-1.186783 53.167169,-1.186764 53.167045,-1.186655 53.166860,-1.186828 53.166292,-1.186535 53.166060,-1.186870 53.165907,-1.186750 53.165811,-1.187230 53.165565,-1.186674 53.165448,-1.186728 53.165156,-1.186634 53.165157,-1.186654 53.165096,-1.186582 53.164938,-1.187577 53.164662,-1.187762 53.164877,-1.188084 53.165160,-1.188566 53.164995,-1.188481 53.164855,-1.189027 53.164720,-1.189246 53.165032,-1.189975 53.164845,-1.189547 53.164135,-1.187953 53.164556,-1.187907 53.164505,-1.187579 53.164591,-1.186866 53.164149,-1.186641 53.164058,-1.187058 53.163785,-1.187138 53.163849,-1.187597 53.163600,-1.187254 53.163375,-1.187135 53.163432,-1.187006 53.163356,-1.187514 53.163048,-1.187647 53.163134,-1.187942 53.162965,-1.187965 53.162938,-1.187939 53.162897,-1.188067 53.162834,-1.188495 53.163079,-1.189135 53.162537,-1.190390 53.163740,-1.192151 53.163218,-1.192024 53.162969,-1.192390 53.162897,-1.192310 53.162780,-1.192225 53.162367,-1.192387 53.162315,-1.192669 53.162297,-1.192437 53.161495,-1.192311 53.161412,-1.192127 53.161381,-1.192632 53.161323)))","Woodhouse, Mansfield",local-authority-eng:NGM,,
