conservation-area,documentation-url,end-date,entry-date,geometry,name,organisation,start-date
conservation_areas.1,,,2020-12-01,"MULTIPOLYGON (((-2.614721 53.457216,-2.613989 53.457179,-2.614026 53.456788,-2.613807 53.456773,-2.613858 53.456221,-2.613713 53.456208,-2.613816 53.455721,-2.614260 53.455711,-2.614414 53.455747,-2.614632 53.455744,-2.614563 53.455647,-2.615226 53.455574,-2.615586 53.455562,-2.615622 53.455585,-2.615646 53.455537,-2.615602 53.455486,-2.615625 53.455296,-2.615692 53.455133,-2.615745 53.455131,-2.615765 53.454950,-2.616746 53.454896,-2.617208 53.454969,-2.617121 53.455098,-2.617138 53.455170,-2.617094 53.455246,-2.618165 53.455458,-2.618299 53.455284,-2.618538 53.455349,-2.618195 53.455794,-2.618706 53.455934,-2.618503 53.456198,-2.620398 53.456715,-2.620192 53.457028,-2.621556 53.457402,-2.621367 53.457647,-2.622028 53.457843,-2.622084 53.457786,-2.622256 53.457829,-2.622244 53.457859,-2.622377 53.457869,-2.622511 53.457916,-2.622493 53.457939,-2.622837 53.458034,-2.623263 53.457486,-2.623436 53.457331,-2.623796 53.457445,-2.623605 53.457635,-2.623250 53.458107,-2.623086 53.458273,-2.624043 53.458433,-2.623778 53.458808,-2.623704 53.458773,-2.623428 53.458985,-2.623316 53.458981,-2.623260 53.459017,-2.622860 53.458825,-2.622670 53.458843,-2.622243 53.458738,-2.622129 53.459014,-2.621998 53.459012,-2.621631 53.458954,-2.621774 53.458642,-2.621634 53.458579,-2.621577 53.458662,-2.620693 53.458446,-2.620719 53.458403,-2.619482 53.458019,-2.618845 53.457844,-2.618347 53.457753,-2.617914 53.457606,-2.617594 53.457564,-2.617205 53.457453,-2.617235 53.457360,-2.616572 53.457201,-2.616227 53.457091,-2.616242 53.457043,-2.615713 53.456891,-2.615673 53.456963,-2.615315 53.456908,-2.615357 53.456826,-2.615323 53.456793,-2.614887 53.456670,-2.614721 53.457216)))",High Street,local-authority-eng:SHN,
conservation_areas.2,,,2020-12-01,"MULTIPOLYGON (((-2.615694 53.455133,-2.615625 53.455296,-2.615603 53.455488,-2.615646 53.455537,-2.615621 53.455588,-2.615584 53.455587,-2.615585 53.455562,-2.615340 53.455569,-2.614563 53.455647,-2.614632 53.455744,-2.614414 53.455747,-2.614260 53.455711,-2.613816 53.455721,-2.613713 53.456208,-2.613858 53.456221,-2.613807 53.456773,-2.614026 53.456789,-2.613989 53.457179,-2.614758 53.457236,-2.614628 53.457692,-2.614253 53.458359,-2.613832 53.458939,-2.613453 53.459206,-2.612421 53.459614,-2.612184 53.459780,-2.611909 53.460057,-2.611294 53.460828,-2.611164 53.461155,-2.611086 53.461552,-2.610277 53.461588,-2.609535 53.461362,-2.609174 53.461306,-2.609172 53.461093,-2.609110 53.460988,-2.608513 53.461207,-2.608287 53.461204,-2.608257 53.460972,-2.608150 53.460808,-2.608293 53.460328,-2.608658 53.459992,-2.609141 53.459797,-2.609175 53.459308,-2.609326 53.459231,-2.608888 53.459093,-2.608376 53.458836,-2.608725 53.458427,-2.608800 53.458406,-2.608704 53.458387,-2.608749 53.458304,-2.608087 53.457957,-2.608276 53.456799,-2.608274 53.455880,-2.607348 53.455888,-2.605719 53.456003,-2.605262 53.456091,-2.604961 53.456101,-2.604851 53.456071,-2.605231 53.455688,-2.605270 53.455610,-2.605822 53.455541,-2.607322 53.455475,-2.609908 53.455463,-2.609965 53.455208,-2.609732 53.454966,-2.610594 53.454291,-2.610915 53.454369,-2.611285 53.454380,-2.611276 53.454452,-2.611308 53.454466,-2.611532 53.454486,-2.611604 53.454411,-2.611873 53.454363,-2.611966 53.454422,-2.612284 53.454525,-2.612392 53.454506,-2.612552 53.454353,-2.612631 53.454347,-2.612612 53.454170,-2.612793 53.454163,-2.613157 53.454061,-2.613191 53.453806,-2.613154 53.453769,-2.613228 53.453755,-2.613281 53.453542,-2.613447 53.453367,-2.613328 53.453343,-2.613251 53.452997,-2.613736 53.452964,-2.613927 53.452986,-2.614039 53.453048,-2.614557 53.453034,-2.614607 53.452975,-2.614989 53.452801,-2.616919 53.452843,-2.617968 53.452808,-2.617987 53.452861,-2.618126 53.452854,-2.618154 53.453041,-2.617766 53.453060,-2.617576 53.453352,-2.617508 53.453336,-2.617111 53.453964,-2.614606 53.454087,-2.614689 53.454978,-2.614237 53.455001,-2.614235 53.455049,-2.614344 53.455183,-2.615694 53.455133)))",Willow Park,local-authority-eng:SHN,
conservation_areas.3,,,2020-12-01,"MULTIPOLYGON (((-2.626323 53.440246,-2.625342 53.440500,-2.625243 53.440514,-2.625116 53.440414,-2.624788 53.440469,-2.624422 53.440604,-2.624288 53.440547,-2.624336 53.440529,-2.624145 53.440471,-2.624077 53.440417,-2.624043 53.440345,-2.624238 53.440153,-2.624129 53.440112,-2.624244 53.439970,-2.624209 53.439928,-2.624219 53.439603,-2.624322 53.438562,-2.624500 53.438287,-2.624689 53.438097,-2.624831 53.438044,-2.625231 53.438774,-2.625436 53.439087,-2.625744 53.439529,-2.626323 53.440246)))",Vulcan Village,local-authority-eng:SHN,
conservation_areas.4,,,2020-12-01,"MULTIPOLYGON (((-2.769570 53.416764,-2.769433 53.416806,-2.769296 53.417094,-2.768346 53.416934,-2.767984 53.416974,-2.765073 53.417494,-2.764961 53.417316,-2.763616 53.417580,-2.763470 53.417618,-2.763495 53.417672,-2.763077 53.417756,-2.763024 53.417644,-2.763145 53.417625,-2.763100 53.417552,-2.763149 53.417523,-2.763066 53.417256,-2.763392 53.417210,-2.763292 53.416924,-2.764748 53.416794,-2.764697 53.416525,-2.764141 53.416572,-2.762873 53.416511,-2.762672 53.416641,-2.762389 53.416286,-2.762184 53.416102,-2.762295 53.416030,-2.762063 53.415947,-2.762439 53.415652,-2.761010 53.415094,-2.761168 53.414913,-2.761226 53.414910,-2.761299 53.414837,-2.761875 53.415049,-2.761982 53.415120,-2.762854 53.415306,-2.763109 53.414878,-2.763926 53.415069,-2.763712 53.415422,-2.763736 53.415428,-2.763720 53.415453,-2.765008 53.415760,-2.765026 53.415584,-2.766467 53.415859,-2.766301 53.416174,-2.766625 53.416244,-2.766450 53.416552,-2.768316 53.416928,-2.769605 53.416725,-2.769570 53.416764)))",Rainhill Area 1,local-authority-eng:SHN,
conservation_areas.5,,,2020-12-01,"MULTIPOLYGON (((-2.787585 53.502452,-2.786799 53.502526,-2.786718 53.502449,-2.786667 53.502282,-2.786549 53.502155,-2.787845 53.501898,-2.787624 53.501458,-2.787636 53.501397,-2.787597 53.501402,-2.787488 53.501194,-2.787428 53.501207,-2.787331 53.501138,-2.787142 53.500841,-2.786443 53.500996,-2.786369 53.500903,-2.786514 53.500835,-2.786540 53.500678,-2.785227 53.499752,-2.785096 53.499821,-2.784891 53.499680,-2.784582 53.499839,-2.784280 53.499622,-2.784728 53.499278,-2.784014 53.498784,-2.784310 53.498659,-2.783831 53.498316,-2.783780 53.498333,-2.783158 53.497413,-2.782843 53.497053,-2.782759 53.496894,-2.783521 53.496662,-2.783435 53.496565,-2.783478 53.496517,-2.784025 53.496508,-2.784752 53.497446,-2.785176 53.497334,-2.785895 53.497436,-2.785504 53.498410,-2.787371 53.498683,-2.787465 53.499279,-2.788332 53.499935,-2.788338 53.500603,-2.788831 53.500424,-2.789297 53.501026,-2.788920 53.501209,-2.789439 53.501748,-2.788788 53.502167,-2.788826 53.502284,-2.788363 53.502446,-2.787818 53.502713,-2.787704 53.502625,-2.787753 53.502601,-2.787734 53.502550,-2.787585 53.502452)))",Rainford Area 1,local-authority-eng:SHN,
conservation_areas.6,,,2020-12-01,"MULTIPOLYGON (((-2.783339 53.496421,-2.783001 53.496400,-2.782882 53.496305,-2.782898 53.496274,-2.782635 53.496082,-2.782386 53.495959,-2.782281 53.495986,-2.782040 53.496270,-2.781935 53.496204,-2.781142 53.495987,-2.781149 53.495869,-2.780911 53.495863,-2.780875 53.495830,-2.780639 53.495802,-2.780660 53.495656,-2.780499 53.495650,-2.780496 53.495561,-2.780589 53.495326,-2.780548 53.495311,-2.780587 53.495260,-2.780751 53.495311,-2.780868 53.495253,-2.780751 53.495004,-2.780676 53.495014,-2.780559 53.494718,-2.780501 53.494690,-2.780465 53.494596,-2.780522 53.494553,-2.780524 53.494229,-2.779661 53.493721,-2.779885 53.493544,-2.780247 53.493705,-2.780280 53.493676,-2.780325 53.493695,-2.780497 53.493473,-2.780533 53.493468,-2.780692 53.493518,-2.780631 53.493778,-2.780820 53.493804,-2.781178 53.493788,-2.781233 53.494042,-2.781344 53.494034,-2.781361 53.494227,-2.781336 53.494275,-2.781174 53.494299,-2.781150 53.494663,-2.781034 53.494664,-2.781031 53.494742,-2.781113 53.494806,-2.782130 53.495450,-2.782854 53.495231,-2.782979 53.495375,-2.783999 53.496002,-2.783456 53.496422,-2.783339 53.496421)))",Rainford Area 2,local-authority-eng:SHN,
conservation_areas.7,,,2020-12-01,"MULTIPOLYGON (((-2.733044 53.454106,-2.731177 53.453724,-2.731695 53.453372,-2.730964 53.453348,-2.730710 53.453882,-2.730221 53.453799,-2.730658 53.452889,-2.730437 53.452812,-2.730284 53.452946,-2.730251 53.452938,-2.730294 53.452887,-2.729925 53.452787,-2.730284 53.452352,-2.730351 53.452371,-2.730313 53.452489,-2.730463 53.452474,-2.730516 53.452518,-2.730728 53.452560,-2.730820 53.452479,-2.730908 53.452368,-2.731096 53.451991,-2.731091 53.451515,-2.731219 53.451472,-2.731552 53.451379,-2.731818 53.451361,-2.732201 53.451414,-2.732375 53.451402,-2.732640 53.451528,-2.733633 53.451696,-2.733685 53.451765,-2.733285 53.452184,-2.732909 53.452479,-2.732910 53.452506,-2.732824 53.452543,-2.732044 53.453166,-2.732342 53.453243,-2.732321 53.453291,-2.732390 53.453302,-2.732307 53.453512,-2.734094 53.453757,-2.733781 53.454250,-2.733044 53.454106)))",George Street Quarter,local-authority-eng:SHN,
conservation_areas.8,,,2020-12-01,"MULTIPOLYGON (((-2.758884 53.413648,-2.757857 53.412795,-2.758476 53.412353,-2.759090 53.411849,-2.758812 53.411720,-2.759477 53.411175,-2.760182 53.411495,-2.760890 53.410876,-2.761658 53.411159,-2.762129 53.410739,-2.762478 53.410894,-2.762588 53.410889,-2.762112 53.411448,-2.760977 53.411029,-2.760870 53.411037,-2.760647 53.411232,-2.761160 53.411437,-2.760497 53.412043,-2.760688 53.412122,-2.760122 53.412608,-2.759921 53.412531,-2.759786 53.412648,-2.759960 53.412717,-2.759665 53.412956,-2.760149 53.413149,-2.759741 53.413533,-2.759246 53.413336,-2.758884 53.413648)))",Rainhill Area 3,local-authority-eng:SHN,
conservation_areas.9,,,2020-12-01,"MULTIPOLYGON (((-2.768106 53.411135,-2.767509 53.410877,-2.766708 53.411621,-2.767174 53.411767,-2.767021 53.411971,-2.767511 53.412097,-2.767838 53.411769,-2.768137 53.411871,-2.767848 53.412277,-2.767734 53.412376,-2.767656 53.412513,-2.767613 53.412503,-2.767573 53.412565,-2.766258 53.412253,-2.766193 53.412297,-2.765996 53.412650,-2.765895 53.412907,-2.765763 53.412882,-2.765467 53.413448,-2.766208 53.413568,-2.766097 53.413806,-2.765586 53.413727,-2.765613 53.413938,-2.765433 53.414335,-2.764598 53.414230,-2.764619 53.414173,-2.764553 53.414164,-2.764603 53.414029,-2.764542 53.414020,-2.764590 53.413884,-2.765422 53.414016,-2.765376 53.413819,-2.765307 53.413725,-2.764037 53.413302,-2.763997 53.413369,-2.763105 53.413113,-2.763808 53.412074,-2.764587 53.412364,-2.766441 53.410159,-2.765636 53.409906,-2.766355 53.409119,-2.765943 53.408731,-2.765823 53.408684,-2.765442 53.409015,-2.764977 53.408812,-2.765097 53.408707,-2.764934 53.408643,-2.765175 53.408435,-2.765083 53.408335,-2.765228 53.408258,-2.765364 53.408316,-2.765426 53.408280,-2.765558 53.408354,-2.767452 53.410130,-2.767894 53.410603,-2.768335 53.410903,-2.768106 53.411135)))",Rainhill Area 2,local-authority-eng:SHN,
conservation_areas.10,,,2020-12-01,"MULTIPOLYGON (((-2.736460 53.454407,-2.736359 53.454436,-2.736146 53.454809,-2.734410 53.454446,-2.734666 53.453992,-2.734275 53.453916,-2.734552 53.453393,-2.734635 53.453303,-2.735070 53.453370,-2.735199 53.453208,-2.735346 53.453261,-2.735445 53.453165,-2.735103 53.453039,-2.735401 53.452809,-2.735525 53.452849,-2.735581 53.452797,-2.735649 53.452823,-2.735689 53.452799,-2.736046 53.452399,-2.736095 53.452412,-2.736038 53.452482,-2.736323 53.452606,-2.736276 53.452629,-2.736491 53.452698,-2.736251 53.452929,-2.736374 53.452984,-2.736293 53.453052,-2.736180 53.453010,-2.736084 53.453095,-2.736167 53.453149,-2.736005 53.453291,-2.737076 53.453920,-2.736933 53.453959,-2.736647 53.454125,-2.736842 53.454232,-2.736521 53.454433,-2.736460 53.454407)))",Victoria Square,local-authority-eng:SHN,
