conservation-area,documentation-url,end-date,entry-date,geometry,name,organisation,start-date,slug
idb5db342c-97f4-4cb6-b582-54214cc07720,,,2020-09-06,"MULTIPOLYGON (((-1.771884 54.904393,-1.772310 54.904742,-1.772328 54.904866,-1.772500 54.905102,-1.772931 54.905544,-1.772947 54.905462,-1.773566 54.905458,-1.773567 54.905487,-1.773442 54.905517,-1.773316 54.905606,-1.773350 54.905793,-1.773292 54.905892,-1.773224 54.905932,-1.773048 54.905957,-1.773156 54.906009,-1.774952 54.906200,-1.774852 54.906343,-1.774765 54.906368,-1.774772 54.906571,-1.775254 54.907248,-1.775505 54.907383,-1.775757 54.907471,-1.776116 54.907517,-1.776371 54.907482,-1.776556 54.907541,-1.776641 54.907604,-1.776672 54.907639,-1.776602 54.907660,-1.776736 54.907767,-1.776903 54.908989,-1.777204 54.909294,-1.777502 54.909471,-1.777852 54.909629,-1.778311 54.909738,-1.778821 54.909956,-1.779029 54.910011,-1.779645 54.910325,-1.778738 54.910541,-1.778553 54.910703,-1.777752 54.910422,-1.777282 54.910315,-1.776401 54.910051,-1.776252 54.910217,-1.776712 54.910357,-1.776515 54.910606,-1.774987 54.910534,-1.774368 54.910601,-1.773922 54.910700,-1.773312 54.911108,-1.772986 54.911284,-1.772765 54.911355,-1.772582 54.911557,-1.772028 54.911908,-1.771695 54.912012,-1.771496 54.912040,-1.770597 54.911751,-1.770439 54.911649,-1.770205 54.911567,-1.769760 54.911345,-1.769042 54.911185,-1.768746 54.911080,-1.768632 54.911080,-1.768084 54.910951,-1.767762 54.910765,-1.767410 54.910506,-1.766855 54.910332,-1.766579 54.910286,-1.766478 54.910327,-1.766771 54.910534,-1.766874 54.910703,-1.766951 54.910921,-1.766978 54.911179,-1.766889 54.911609,-1.766838 54.911745,-1.766708 54.911929,-1.766570 54.912020,-1.766617 54.912045,-1.766176 54.912321,-1.766092 54.912332,-1.765385 54.912184,-1.764839 54.912022,-1.764562 54.911900,-1.763804 54.911457,-1.763170 54.910909,-1.762830 54.910820,-1.761978 54.910929,-1.761581 54.910700,-1.760997 54.910476,-1.760089 54.910308,-1.760143 54.909843,-1.758848 54.909400,-1.758317 54.909157,-1.759636 54.908520,-1.759995 54.908377,-1.760272 54.908188,-1.760933 54.907867,-1.761732 54.907563,-1.762415 54.907231,-1.763808 54.906625,-1.764280 54.906507,-1.764567 54.906274,-1.764676 54.906134,-1.764808 54.906065,-1.765516 54.905945,-1.766850 54.905495,-1.768051 54.905151,-1.768110 54.905253,-1.768188 54.905655,-1.768112 54.905900,-1.768696 54.905845,-1.769199 54.905471,-1.769675 54.905339,-1.770551 54.905238,-1.770488 54.904853,-1.770541 54.904535,-1.770512 54.904479,-1.770397 54.904453,-1.769475 54.904451,-1.769310 54.904284,-1.769103 54.903930,-1.769906 54.903612,-1.770265 54.903329,-1.770562 54.903187,-1.770656 54.903244,-1.770711 54.903371,-1.770810 54.903422,-1.771008 54.903600,-1.771195 54.903654,-1.771214 54.903739,-1.771321 54.903868,-1.771477 54.903991,-1.771523 54.904136,-1.771725 54.904250,-1.771884 54.904393)))",Lintzford,local-authority-eng:DUR,,/conservation-area/local-authority-eng/DUR/idb5db342c-97f4-4cb6-b582-54214cc07720
id08984bf7-bd1a-4523-a359-1894d04f6cea,,,2020-09-06,"MULTIPOLYGON (((-1.730034 54.906911,-1.730701 54.906982,-1.731875 54.907044,-1.731989 54.906983,-1.732284 54.906518,-1.733446 54.906329,-1.733684 54.906833,-1.733669 54.906849,-1.733768 54.907058,-1.733743 54.907102,-1.732460 54.907296,-1.731878 54.907319,-1.731949 54.907602,-1.731597 54.907633,-1.731624 54.907734,-1.731572 54.907743,-1.731583 54.907838,-1.731641 54.907980,-1.730875 54.908087,-1.729575 54.908349,-1.729349 54.907928,-1.728425 54.908189,-1.728427 54.908316,-1.728347 54.908507,-1.728359 54.908590,-1.728620 54.908871,-1.728813 54.909050,-1.729020 54.909173,-1.729020 54.909202,-1.729339 54.909370,-1.729347 54.909403,-1.730382 54.909933,-1.731507 54.910608,-1.732281 54.911270,-1.731790 54.911221,-1.731569 54.911168,-1.731395 54.911186,-1.730889 54.911069,-1.730262 54.911023,-1.729646 54.911118,-1.729487 54.911185,-1.728158 54.911468,-1.728026 54.911573,-1.728029 54.911434,-1.727893 54.911374,-1.727822 54.911279,-1.727836 54.911090,-1.727787 54.911009,-1.727765 54.910774,-1.727780 54.910583,-1.727713 54.910490,-1.727458 54.910298,-1.727475 54.910095,-1.726983 54.910203,-1.726304 54.909966,-1.725851 54.909693,-1.725791 54.909605,-1.725705 54.909311,-1.725660 54.909253,-1.725484 54.909180,-1.725487 54.909021,-1.725843 54.908947,-1.726070 54.908958,-1.726220 54.908928,-1.726409 54.908848,-1.726483 54.908754,-1.726635 54.908718,-1.726745 54.908529,-1.726781 54.908385,-1.726873 54.908372,-1.726770 54.908202,-1.726558 54.908088,-1.726322 54.908057,-1.726018 54.908078,-1.725604 54.908134,-1.725631 54.908203,-1.725256 54.908257,-1.725246 54.908443,-1.725040 54.908444,-1.725004 54.908773,-1.724935 54.908813,-1.724496 54.908527,-1.724426 54.908534,-1.724282 54.908410,-1.723552 54.908184,-1.723649 54.907993,-1.722210 54.907499,-1.720761 54.907359,-1.719032 54.907280,-1.718135 54.907298,-1.717578 54.907380,-1.718266 54.907076,-1.718796 54.906895,-1.719486 54.906716,-1.719607 54.906658,-1.719676 54.906583,-1.721933 54.905984,-1.723549 54.905453,-1.725599 54.904460,-1.725826 54.904310,-1.726540 54.904558,-1.726468 54.904696,-1.726017 54.904879,-1.726188 54.905004,-1.726442 54.905161,-1.727635 54.905520,-1.727235 54.905967,-1.728417 54.906559,-1.728605 54.906517,-1.728753 54.906340,-1.729587 54.906424,-1.729531 54.906646,-1.729920 54.906714,-1.729868 54.906897,-1.730034 54.906911)))",Burnopfield,local-authority-eng:DUR,,/conservation-area/local-authority-eng/DUR/id08984bf7-bd1a-4523-a359-1894d04f6cea
id781e2150-8a3a-4cd3-9f83-f21c0386a0ac,,,2020-09-06,"MULTIPOLYGON (((-1.829779 54.900690,-1.829849 54.900915,-1.829973 54.901148,-1.830033 54.901466,-1.830011 54.901582,-1.829872 54.901817,-1.829770 54.901785,-1.829368 54.901821,-1.828101 54.902566,-1.826252 54.903115,-1.826089 54.903223,-1.825817 54.903342,-1.825746 54.903430,-1.824335 54.903779,-1.824350 54.903997,-1.824198 54.904007,-1.824100 54.903849,-1.823889 54.903663,-1.823651 54.903537,-1.823274 54.903145,-1.822843 54.903217,-1.822477 54.902828,-1.822232 54.902874,-1.822192 54.902475,-1.822460 54.901823,-1.822641 54.901825,-1.822765 54.901881,-1.822995 54.902146,-1.825440 54.901658,-1.825443 54.901820,-1.825332 54.901904,-1.825737 54.902258,-1.825695 54.902278,-1.826192 54.902578,-1.828676 54.901328,-1.829779 54.900690)))",Low Westwood,local-authority-eng:DUR,,/conservation-area/local-authority-eng/DUR/id781e2150-8a3a-4cd3-9f83-f21c0386a0ac
idbd89d766-0a4e-43a7-b7f1-4881e062a6fd,,,2020-09-06,"MULTIPOLYGON (((-1.844476 54.893056,-1.844474 54.893217,-1.844541 54.893460,-1.845231 54.894679,-1.845481 54.895435,-1.845775 54.895808,-1.845862 54.896021,-1.845878 54.896144,-1.845844 54.896397,-1.845568 54.896820,-1.845266 54.897000,-1.845068 54.897054,-1.844651 54.897135,-1.843899 54.897220,-1.843368 54.897228,-1.842649 54.897288,-1.841766 54.897280,-1.840779 54.897178,-1.839886 54.897244,-1.839873 54.897111,-1.839951 54.897071,-1.839954 54.896955,-1.840067 54.896864,-1.840015 54.896776,-1.840032 54.896716,-1.840293 54.896610,-1.840462 54.896424,-1.840748 54.896274,-1.840869 54.896072,-1.841104 54.895948,-1.841226 54.895825,-1.840968 54.895798,-1.840798 54.895738,-1.840466 54.895398,-1.840342 54.895223,-1.839918 54.895060,-1.840074 54.894946,-1.839738 54.894771,-1.839579 54.894880,-1.838302 54.894197,-1.838554 54.894070,-1.838601 54.893993,-1.838060 54.893765,-1.837695 54.893648,-1.836860 54.893199,-1.836463 54.892950,-1.836397 54.892858,-1.836389 54.892696,-1.836724 54.892679,-1.836711 54.892613,-1.836857 54.892458,-1.837189 54.892305,-1.837775 54.892480,-1.837906 54.892474,-1.838074 54.892395,-1.838315 54.892107,-1.838580 54.891383,-1.838403 54.891365,-1.838572 54.890874,-1.838447 54.890880,-1.838442 54.890668,-1.838677 54.890653,-1.838673 54.890580,-1.838894 54.890568,-1.839247 54.890295,-1.839311 54.890223,-1.839326 54.890128,-1.839875 54.890026,-1.840127 54.890431,-1.840107 54.890505,-1.840542 54.890640,-1.841403 54.890765,-1.841379 54.890942,-1.841193 54.891582,-1.840698 54.892128,-1.840860 54.892259,-1.841173 54.892400,-1.841452 54.892475,-1.841835 54.892425,-1.842133 54.892496,-1.842604 54.891861,-1.843032 54.891963,-1.843186 54.891723,-1.843907 54.891886,-1.843515 54.892620,-1.843609 54.893060,-1.844476 54.893056)))",Ebchester,local-authority-eng:DUR,,/conservation-area/local-authority-eng/DUR/idbd89d766-0a4e-43a7-b7f1-4881e062a6fd
id0884a525-6b66-430b-b3c0-97898748c25d,,,2020-09-06,"MULTIPOLYGON (((-1.705386 54.891662,-1.705738 54.892319,-1.705909 54.892573,-1.706251 54.892833,-1.706636 54.892941,-1.707661 54.893011,-1.707100 54.892510,-1.708033 54.892185,-1.707980 54.892131,-1.708967 54.891820,-1.709411 54.892265,-1.708489 54.892554,-1.709120 54.892994,-1.709154 54.893117,-1.709501 54.893108,-1.709728 54.893151,-1.709976 54.893152,-1.709985 54.893268,-1.710439 54.893297,-1.710431 54.893342,-1.710704 54.893358,-1.711554 54.893223,-1.711614 54.893291,-1.712384 54.893108,-1.712518 54.893283,-1.713616 54.892982,-1.714152 54.892795,-1.714435 54.893151,-1.713029 54.893536,-1.713061 54.893454,-1.713038 54.893337,-1.712965 54.893245,-1.711569 54.893587,-1.711698 54.893765,-1.711341 54.893851,-1.711315 54.893940,-1.711072 54.894003,-1.710878 54.894094,-1.710373 54.894204,-1.710347 54.894184,-1.709907 54.894226,-1.709897 54.894192,-1.709510 54.894228,-1.709625 54.894533,-1.708097 54.894655,-1.707854 54.894551,-1.707907 54.894184,-1.707877 54.894141,-1.706601 54.894147,-1.706047 54.893210,-1.705529 54.893179,-1.705349 54.893108,-1.705197 54.892834,-1.704744 54.892344,-1.705133 54.891692,-1.705386 54.891662)))",Tanfield,local-authority-eng:DUR,,/conservation-area/local-authority-eng/DUR/id0884a525-6b66-430b-b3c0-97898748c25d
ida9425b66-a210-404a-89a7-128c6567a89b,,,2020-09-06,"MULTIPOLYGON (((-1.686412 54.883429,-1.686612 54.883448,-1.686627 54.883664,-1.686688 54.883703,-1.687050 54.883594,-1.687611 54.883590,-1.688243 54.883509,-1.688306 54.884953,-1.688286 54.886325,-1.688164 54.886652,-1.688258 54.887740,-1.688165 54.889026,-1.687993 54.889606,-1.687956 54.890140,-1.687704 54.890707,-1.687604 54.891090,-1.687374 54.891055,-1.687325 54.891236,-1.686632 54.891169,-1.686594 54.891304,-1.686550 54.891341,-1.685969 54.891318,-1.685279 54.891392,-1.684736 54.891883,-1.684411 54.892109,-1.684343 54.892231,-1.683858 54.892197,-1.683794 54.892097,-1.683705 54.891675,-1.683330 54.891717,-1.683423 54.892198,-1.683290 54.892736,-1.683161 54.893172,-1.682821 54.893647,-1.681518 54.893394,-1.680425 54.893258,-1.680401 54.893363,-1.680215 54.893632,-1.679093 54.893541,-1.678787 54.893617,-1.678731 54.893548,-1.678028 54.893767,-1.676078 54.894020,-1.675443 54.894082,-1.674826 54.894078,-1.673728 54.894147,-1.672966 54.894147,-1.671426 54.892436,-1.671238 54.891998,-1.671244 54.891941,-1.671177 54.891938,-1.671295 54.890998,-1.671507 54.889844,-1.671475 54.889839,-1.671271 54.888960,-1.670505 54.889149,-1.668895 54.889462,-1.668690 54.889377,-1.667524 54.887766,-1.667963 54.887649,-1.667844 54.887446,-1.668428 54.887249,-1.669202 54.887115,-1.669386 54.887130,-1.672174 54.886720,-1.672208 54.886772,-1.676450 54.885991,-1.675023 54.884000,-1.675049 54.883595,-1.676522 54.883734,-1.678106 54.883783,-1.679385 54.884116,-1.679904 54.884308,-1.680301 54.884378,-1.680392 54.883860,-1.680556 54.883552,-1.682526 54.884072,-1.683075 54.884101,-1.683386 54.884312,-1.683680 54.884109,-1.684404 54.883734,-1.684636 54.883812,-1.684645 54.883967,-1.685175 54.883743,-1.685116 54.883978,-1.685339 54.884031,-1.685593 54.883995,-1.685762 54.883913,-1.685921 54.883886,-1.686412 54.883429)))",Beamish Burn,local-authority-eng:DUR,,/conservation-area/local-authority-eng/DUR/ida9425b66-a210-404a-89a7-128c6567a89b
idf4c5bb56-20f3-46fc-9a57-acd9e8db8e61,,,2020-09-06,"MULTIPOLYGON (((-1.817703 54.882858,-1.817900 54.883089,-1.816878 54.883390,-1.817407 54.884470,-1.816781 54.884651,-1.817509 54.885321,-1.815308 54.885922,-1.815445 54.886136,-1.813265 54.886899,-1.813134 54.886987,-1.812037 54.886290,-1.811539 54.886299,-1.811500 54.886344,-1.810999 54.886563,-1.811014 54.886624,-1.809857 54.886467,-1.809675 54.886798,-1.809241 54.886984,-1.808778 54.887133,-1.808158 54.887405,-1.807769 54.887473,-1.807846 54.887662,-1.807811 54.887922,-1.807747 54.888088,-1.807233 54.888099,-1.804932 54.887925,-1.805011 54.887512,-1.805916 54.887227,-1.805635 54.886721,-1.807647 54.886181,-1.807635 54.886155,-1.808341 54.885917,-1.808274 54.885833,-1.809553 54.885367,-1.810369 54.884952,-1.811667 54.884051,-1.813089 54.882872,-1.813674 54.883196,-1.813911 54.883255,-1.814247 54.883288,-1.814704 54.883132,-1.814989 54.883418,-1.815393 54.883291,-1.815148 54.883019,-1.815359 54.882890,-1.815478 54.882867,-1.816006 54.883403,-1.816410 54.883183,-1.816626 54.882903,-1.816992 54.882973,-1.817004 54.883042,-1.817703 54.882858)))",Medomsley,local-authority-eng:DUR,,/conservation-area/local-authority-eng/DUR/idf4c5bb56-20f3-46fc-9a57-acd9e8db8e61
idb984b386-cb99-4aff-b4fc-6ded52ecb1a1,,,2020-09-06,"MULTIPOLYGON (((-1.869832 54.860887,-1.869787 54.861207,-1.869468 54.861799,-1.869006 54.862166,-1.868197 54.862673,-1.867573 54.863126,-1.867494 54.863240,-1.867135 54.863570,-1.866633 54.863939,-1.866222 54.864172,-1.865755 54.864201,-1.865522 54.864181,-1.865021 54.864325,-1.863751 54.864891,-1.862636 54.865663,-1.862417 54.865674,-1.862303 54.865756,-1.861996 54.865894,-1.861881 54.866048,-1.861280 54.866455,-1.861033 54.866701,-1.860897 54.866930,-1.860944 54.866951,-1.860876 54.867082,-1.860650 54.867277,-1.860590 54.867397,-1.860553 54.867628,-1.860398 54.867778,-1.860385 54.867848,-1.860326 54.867882,-1.860180 54.868125,-1.860176 54.868250,-1.860116 54.868370,-1.859979 54.868494,-1.859975 54.868574,-1.859888 54.868722,-1.859831 54.868917,-1.859836 54.869227,-1.859941 54.869375,-1.860062 54.869361,-1.860074 54.869508,-1.860835 54.870662,-1.860673 54.870711,-1.860791 54.871118,-1.860596 54.871465,-1.860149 54.871906,-1.860027 54.872149,-1.859938 54.872604,-1.859938 54.872808,-1.860052 54.873493,-1.859981 54.874413,-1.860134 54.874425,-1.860107 54.874769,-1.860047 54.875065,-1.860129 54.875296,-1.860253 54.875871,-1.860281 54.876180,-1.860270 54.876373,-1.860028 54.877200,-1.860035 54.877805,-1.860097 54.877984,-1.859154 54.878315,-1.858608 54.878612,-1.858195 54.878916,-1.857804 54.879364,-1.854982 54.879739,-1.854139 54.879909,-1.853785 54.879859,-1.852733 54.879524,-1.852657 54.879449,-1.853352 54.878849,-1.854175 54.878194,-1.853652 54.878042,-1.853371 54.877924,-1.853250 54.878079,-1.852838 54.878004,-1.851884 54.877754,-1.851273 54.877780,-1.852181 54.875931,-1.852182 54.875718,-1.852087 54.875316,-1.851882 54.874872,-1.850949 54.874993,-1.850726 54.875036,-1.850743 54.875061,-1.850492 54.875125,-1.850432 54.875125,-1.850410 54.875065,-1.850314 54.875026,-1.848804 54.875225,-1.848661 54.875130,-1.848609 54.874881,-1.846299 54.875256,-1.845355 54.874580,-1.845237 54.874257,-1.845152 54.874159,-1.844237 54.874212,-1.842710 54.874371,-1.842520 54.874337,-1.841449 54.875012,-1.841697 54.876265,-1.841461 54.876297,-1.841402 54.876182,-1.840905 54.876264,-1.840438 54.875610,-1.840395 54.875482,-1.840089 54.875115,-1.841602 54.874339,-1.842340 54.874051,-1.842221 54.873837,-1.843090 54.873641,-1.843083 54.873587,-1.843281 54.873573,-1.843485 54.873967,-1.843999 54.873913,-1.844548 54.873904,-1.844541 54.873869,-1.844893 54.873844,-1.844913 54.873888,-1.845134 54.873890,-1.844922 54.873055,-1.846388 54.872911,-1.846506 54.873370,-1.846769 54.873350,-1.846921 54.873860,-1.847211 54.873828,-1.847999 54.873628,-1.847845 54.873330,-1.848269 54.872949,-1.848577 54.873056,-1.849624 54.872690,-1.849510 54.872472,-1.849358 54.872466,-1.849116 54.872371,-1.848198 54.872115,-1.847933 54.871987,-1.847853 54.871897,-1.847965 54.871893,-1.848027 54.871806,-1.847888 54.871489,-1.847923 54.871314,-1.847885 54.871204,-1.847692 54.871008,-1.847703 54.870916,-1.847622 54.870822,-1.847616 54.870743,-1.847952 54.870712,-1.848056 54.870858,-1.848324 54.870970,-1.848662 54.871305,-1.848852 54.871249,-1.848741 54.871166,-1.848794 54.870909,-1.849334 54.870816,-1.849578 54.870877,-1.849871 54.871130,-1.849875 54.871234,-1.849330 54.871560,-1.849499 54.871646,-1.849830 54.871887,-1.850104 54.871954,-1.850507 54.872350,-1.850708 54.872380,-1.850881 54.872637,-1.851045 54.872759,-1.851619 54.872826,-1.852403 54.872727,-1.853973 54.872311,-1.854016 54.872246,-1.853991 54.872197,-1.853719 54.872030,-1.855570 54.870867,-1.855313 54.870680,-1.855688 54.870405,-1.856068 54.870564,-1.856461 54.870272,-1.855979 54.870066,-1.856185 54.869840,-1.856317 54.869638,-1.856318 54.869587,-1.856027 54.869509,-1.856632 54.869078,-1.856661 54.869019,-1.856641 54.868937,-1.856214 54.868749,-1.856458 54.868553,-1.856498 54.868453,-1.855477 54.868422,-1.854656 54.868183,-1.854514 54.868270,-1.854257 54.868510,-1.853836 54.868400,-1.853994 54.868129,-1.854372 54.868209,-1.854529 54.868069,-1.854549 54.868015,-1.854692 54.867915,-1.854174 54.867698,-1.854863 54.867042,-1.853336 54.866203,-1.853981 54.865803,-1.855139 54.866430,-1.855182 54.866417,-1.855312 54.865965,-1.855377 54.865585,-1.855314 54.865083,-1.855277 54.864935,-1.855238 54.864907,-1.855944 54.864772,-1.856017 54.864898,-1.856130 54.865596,-1.855979 54.866318,-1.858510 54.866621,-1.859658 54.866320,-1.859606 54.866408,-1.859060 54.866883,-1.858744 54.867273,-1.858510 54.867803,-1.858676 54.867839,-1.858433 54.868205,-1.858471 54.868215,-1.858372 54.868366,-1.858434 54.868382,-1.858378 54.868458,-1.858212 54.868926,-1.858244 54.869327,-1.858840 54.869329,-1.858838 54.869293,-1.859361 54.869286,-1.859393 54.868823,-1.860251 54.867631,-1.860832 54.866682,-1.860306 54.866539,-1.860301 54.866369,-1.860488 54.866372,-1.860489 54.866346,-1.860543 54.866347,-1.860575 54.866068,-1.860459 54.866068,-1.860205 54.865647,-1.860297 54.865640,-1.860170 54.865466,-1.859925 54.865234,-1.858430 54.865462,-1.857920 54.864983,-1.859241 54.864633,-1.858979 54.864456,-1.859294 54.864272,-1.859771 54.864529,-1.860200 54.864838,-1.860629 54.865333,-1.860858 54.865682,-1.860929 54.865851,-1.860957 54.866161,-1.860928 54.866516,-1.861115 54.866212,-1.861815 54.865794,-1.862153 54.865448,-1.863141 54.864956,-1.864011 54.864471,-1.864174 54.864338,-1.864390 54.864261,-1.865040 54.863897,-1.864523 54.863695,-1.864728 54.863507,-1.864863 54.863560,-1.865161 54.863381,-1.865281 54.863230,-1.865344 54.863239,-1.865382 54.863172,-1.865649 54.863194,-1.865903 54.862675,-1.866471 54.862447,-1.866597 54.862359,-1.867828 54.862129,-1.867801 54.862077,-1.867820 54.861779,-1.868142 54.861750,-1.868251 54.861689,-1.868311 54.860992,-1.868300 54.860809,-1.869541 54.860852,-1.869495 54.860465,-1.869358 54.860230,-1.869041 54.859931,-1.868700 54.859803,-1.868832 54.859097,-1.868845 54.858863,-1.868895 54.858851,-1.868960 54.859019,-1.868953 54.859115,-1.869048 54.859237,-1.869083 54.859343,-1.869055 54.859411,-1.869184 54.859508,-1.869396 54.859774,-1.869596 54.860094,-1.869832 54.860887)))",Shotley Bridge,local-authority-eng:DUR,,/conservation-area/local-authority-eng/DUR/idb984b386-cb99-4aff-b4fc-6ded52ecb1a1
idd769b55f-97ff-47d5-bd9b-cf778fb88d3b,,,2020-09-06,"MULTIPOLYGON (((-1.845067 54.860832,-1.845235 54.860869,-1.845136 54.862937,-1.844973 54.863546,-1.844703 54.864137,-1.844546 54.864399,-1.843987 54.864405,-1.843525 54.864518,-1.843356 54.864593,-1.842128 54.863991,-1.842016 54.861498,-1.842404 54.861374,-1.842404 54.861023,-1.842426 54.861022,-1.842448 54.860753,-1.842438 54.860175,-1.842018 54.860170,-1.842014 54.858846,-1.841939 54.858846,-1.841940 54.858567,-1.835108 54.858083,-1.835101 54.857997,-1.835123 54.857994,-1.835095 54.857960,-1.835056 54.857568,-1.834472 54.857590,-1.834353 54.856456,-1.834454 54.855799,-1.834612 54.855244,-1.835042 54.855153,-1.835241 54.855171,-1.835062 54.855740,-1.835111 54.855759,-1.835142 54.855854,-1.835250 54.855936,-1.835277 54.856167,-1.835410 54.856304,-1.835796 54.856390,-1.836834 54.856756,-1.837116 54.856794,-1.837606 54.856788,-1.838395 54.856185,-1.840044 54.856882,-1.840965 54.857184,-1.841491 54.857298,-1.842353 54.857368,-1.842409 54.857248,-1.842425 54.857025,-1.843351 54.857049,-1.843356 54.856968,-1.844723 54.856996,-1.844744 54.857021,-1.844712 54.857396,-1.846033 54.857423,-1.846032 54.857678,-1.846284 54.857684,-1.846067 54.857997,-1.846170 54.857998,-1.846083 54.858119,-1.845700 54.858115,-1.845669 54.858864,-1.845524 54.859407,-1.845438 54.859527,-1.845203 54.859484,-1.844856 54.859484,-1.844858 54.860598,-1.844899 54.860669,-1.845067 54.860696,-1.845067 54.860832)))",Blackhill,local-authority-eng:DUR,,/conservation-area/local-authority-eng/DUR/idd769b55f-97ff-47d5-bd9b-cf778fb88d3b
id6f64877b-cfc6-4a35-a2be-745272f21b4a,,,2020-09-06,"MULTIPOLYGON (((-1.785585 54.847019,-1.787031 54.847229,-1.787700 54.847478,-1.788064 54.847561,-1.788097 54.847524,-1.788814 54.847692,-1.788943 54.847479,-1.790545 54.847329,-1.790509 54.847582,-1.789814 54.847728,-1.790132 54.847955,-1.790141 54.848088,-1.790216 54.848186,-1.788573 54.848508,-1.788505 54.848657,-1.788415 54.848652,-1.787889 54.848405,-1.786950 54.848411,-1.785938 54.848487,-1.785856 54.848306,-1.784613 54.848374,-1.784378 54.848416,-1.784398 54.848465,-1.783767 54.848566,-1.783795 54.848622,-1.781998 54.848961,-1.781253 54.849225,-1.781205 54.849183,-1.781065 54.849273,-1.780868 54.849312,-1.780563 54.849573,-1.779884 54.849744,-1.779844 54.849729,-1.779642 54.849419,-1.779484 54.849261,-1.779536 54.849014,-1.779583 54.848959,-1.779901 54.848908,-1.779761 54.848684,-1.779728 54.848274,-1.780310 54.848201,-1.780829 54.848215,-1.782375 54.847942,-1.782561 54.847897,-1.782279 54.847511,-1.783343 54.847374,-1.783763 54.847451,-1.783955 54.847195,-1.784157 54.847140,-1.784955 54.847109,-1.784949 54.847066,-1.785006 54.847063,-1.785000 54.847035,-1.785585 54.847019)))",Iveston,local-authority-eng:DUR,,/conservation-area/local-authority-eng/DUR/id6f64877b-cfc6-4a35-a2be-745272f21b4a
