name,conservation-area,organisation,documentation-url,geometry,entry-date,start-date,end-date,slug
Ashton Upon Mersey,,local-authority-eng:TRF,,"MULTIPOLYGON (((-2.341971 53.433846,-2.341693 53.433484,-2.341568 53.433383,-2.342184 53.433201,-2.342506 53.433139,-2.341998 53.432549,-2.342237 53.432434,-2.342816 53.432264,-2.342451 53.431868,-2.343626 53.431524,-2.344267 53.432735,-2.345226 53.432591,-2.346085 53.433430,-2.345344 53.433733,-2.345158 53.433777,-2.344540 53.433869,-2.344466 53.433782,-2.343862 53.433920,-2.343903 53.433985,-2.343222 53.434071,-2.342824 53.434086,-2.342084 53.433817,-2.341971 53.433846)))",2020-09-06,,,
Ashley Heath,,local-authority-eng:TRF,,"MULTIPOLYGON (((-2.346218 53.371938,-2.345837 53.371761,-2.345787 53.371580,-2.345736 53.371559,-2.345762 53.371518,-2.345378 53.370932,-2.345331 53.370933,-2.345071 53.370493,-2.344946 53.370210,-2.344968 53.370204,-2.344699 53.369738,-2.345107 53.369620,-2.345481 53.369486,-2.345570 53.369427,-2.346821 53.369082,-2.347127 53.368913,-2.347734 53.368722,-2.348069 53.368554,-2.348124 53.368487,-2.348860 53.369113,-2.349427 53.369903,-2.349591 53.370084,-2.350458 53.369930,-2.350448 53.370230,-2.350557 53.370246,-2.350466 53.370341,-2.350408 53.370359,-2.350242 53.370853,-2.350321 53.370950,-2.351020 53.371263,-2.351194 53.371297,-2.351409 53.371215,-2.351409 53.371167,-2.351320 53.371125,-2.351275 53.371052,-2.351321 53.370968,-2.351405 53.370928,-2.351379 53.370757,-2.351400 53.370709,-2.351523 53.370634,-2.351834 53.370569,-2.352025 53.370434,-2.352186 53.370545,-2.352079 53.370648,-2.352112 53.370661,-2.352806 53.370696,-2.352895 53.370725,-2.352923 53.370832,-2.353051 53.370817,-2.353190 53.370856,-2.354181 53.370509,-2.354727 53.370236,-2.354826 53.370373,-2.352957 53.371021,-2.352926 53.371071,-2.353873 53.371878,-2.353323 53.372133,-2.352911 53.371891,-2.352696 53.371823,-2.352024 53.371985,-2.351684 53.371869,-2.351628 53.371845,-2.351803 53.371761,-2.351397 53.371397,-2.350995 53.371558,-2.350298 53.371946,-2.351041 53.372559,-2.351869 53.372697,-2.352156 53.372913,-2.352725 53.372830,-2.352818 53.372863,-2.352993 53.373265,-2.353516 53.373207,-2.353619 53.373290,-2.353696 53.373699,-2.353980 53.373723,-2.353764 53.374610,-2.353719 53.374695,-2.353585 53.374746,-2.353303 53.374983,-2.352257 53.374651,-2.351694 53.374521,-2.350686 53.374395,-2.350164 53.374282,-2.350359 53.374044,-2.349870 53.373883,-2.349727 53.374028,-2.349312 53.373917,-2.349372 53.373828,-2.349706 53.373606,-2.349296 53.373407,-2.349101 53.373374,-2.348706 53.373157,-2.348636 53.373244,-2.347051 53.372592,-2.346601 53.372579,-2.346348 53.372082,-2.346381 53.372023,-2.346218 53.371938)))",2020-09-06,,,
Barton Upon Irwell,,local-authority-eng:TRF,,"MULTIPOLYGON (((-2.353270 53.474118,-2.353463 53.474408,-2.352145 53.474718,-2.351144 53.474069,-2.351429 53.473847,-2.351881 53.473650,-2.351717 53.473289,-2.351811 53.473030,-2.351877 53.473170,-2.351958 53.473257,-2.352799 53.472863,-2.353247 53.473187,-2.353350 53.473138,-2.353438 53.473146,-2.353548 53.473230,-2.353918 53.472753,-2.354655 53.472552,-2.356119 53.473253,-2.355636 53.473332,-2.355399 53.473403,-2.355423 53.473474,-2.355305 53.473452,-2.354820 53.473571,-2.354763 53.473637,-2.354430 53.473734,-2.353993 53.473919,-2.353270 53.474118)))",2020-09-06,,,
Bowdon,,local-authority-eng:TRF,,"MULTIPOLYGON (((-2.360778 53.380705,-2.360611 53.380775,-2.360344 53.380555,-2.360019 53.380882,-2.359037 53.380921,-2.359057 53.380987,-2.358320 53.380991,-2.358365 53.381612,-2.357465 53.381637,-2.357279 53.381679,-2.357039 53.381622,-2.356025 53.381227,-2.355593 53.381099,-2.355398 53.381074,-2.354339 53.381085,-2.352979 53.381048,-2.352823 53.380286,-2.352328 53.380310,-2.352284 53.380184,-2.353933 53.380204,-2.354029 53.379962,-2.353658 53.379927,-2.353511 53.379840,-2.353327 53.379796,-2.353138 53.379581,-2.352493 53.379548,-2.352116 53.379563,-2.352045 53.379007,-2.351749 53.378304,-2.351582 53.378013,-2.351563 53.377782,-2.351849 53.376908,-2.352767 53.377172,-2.353764 53.376721,-2.353051 53.376118,-2.353491 53.375925,-2.353725 53.376121,-2.354168 53.375927,-2.353886 53.375689,-2.354417 53.375460,-2.354565 53.375487,-2.354315 53.375238,-2.353983 53.374972,-2.354034 53.374837,-2.354106 53.374779,-2.354051 53.374741,-2.353719 53.374695,-2.353764 53.374610,-2.354095 53.373239,-2.354269 53.373226,-2.354260 53.373184,-2.355247 53.373083,-2.355921 53.372963,-2.356756 53.372873,-2.357734 53.372780,-2.357782 53.372855,-2.358401 53.372813,-2.358444 53.373052,-2.358781 53.373036,-2.359096 53.373884,-2.359134 53.374065,-2.359249 53.374156,-2.359172 53.374179,-2.359237 53.374453,-2.359605 53.374450,-2.359605 53.374496,-2.359713 53.374496,-2.359775 53.374479,-2.359772 53.374441,-2.360102 53.374434,-2.360102 53.374395,-2.360489 53.374393,-2.360507 53.374641,-2.361553 53.374648,-2.361648 53.374527,-2.362640 53.374824,-2.362912 53.374457,-2.363065 53.374483,-2.363208 53.374169,-2.363597 53.374205,-2.363711 53.373660,-2.364344 53.373691,-2.364284 53.374208,-2.365098 53.374298,-2.365196 53.374256,-2.365316 53.373128,-2.365389 53.373023,-2.366119 53.373035,-2.365924 53.373191,-2.365876 53.373321,-2.365845 53.373764,-2.365749 53.374185,-2.365714 53.374543,-2.365554 53.374897,-2.364629 53.374890,-2.364620 53.374922,-2.364527 53.374900,-2.364480 53.374825,-2.364037 53.374762,-2.363992 53.374919,-2.364055 53.374931,-2.363890 53.375408,-2.364581 53.375633,-2.364446 53.375826,-2.364969 53.375965,-2.365044 53.375793,-2.365516 53.375904,-2.365782 53.375898,-2.365969 53.376052,-2.366227 53.376132,-2.366818 53.376117,-2.366593 53.376680,-2.366564 53.376896,-2.366643 53.377216,-2.366933 53.377675,-2.366907 53.377721,-2.366069 53.378801,-2.365625 53.378624,-2.365173 53.379066,-2.364855 53.379506,-2.364770 53.379479,-2.364258 53.379970,-2.364103 53.379932,-2.364015 53.380055,-2.364135 53.380078,-2.363665 53.380675,-2.363508 53.380836,-2.362938 53.381262,-2.363412 53.381497,-2.363351 53.381536,-2.363027 53.381627,-2.362675 53.381656,-2.361733 53.381517,-2.361414 53.381360,-2.360778 53.380705)))",2020-09-06,,,
Flixton,,local-authority-eng:TRF,,"MULTIPOLYGON (((-2.383656 53.442817,-2.383595 53.442642,-2.383248 53.442682,-2.383221 53.442533,-2.382542 53.442440,-2.382450 53.442715,-2.381874 53.442620,-2.381839 53.442590,-2.381832 53.442304,-2.380659 53.442089,-2.380945 53.441095,-2.382075 53.441250,-2.382326 53.441509,-2.382368 53.441516,-2.383678 53.441533,-2.384297 53.441607,-2.384403 53.441950,-2.384676 53.442497,-2.384541 53.442506,-2.384390 53.442828,-2.384315 53.442880,-2.383951 53.442865,-2.383683 53.442892,-2.383656 53.442817)))",2020-09-06,,,
George Street,,local-authority-eng:TRF,,"MULTIPOLYGON (((-2.352400 53.386016,-2.350906 53.387357,-2.350227 53.387160,-2.350195 53.387191,-2.349668 53.387059,-2.350642 53.386207,-2.350698 53.386180,-2.351096 53.386287,-2.351793 53.385709,-2.352400 53.386016)))",2020-09-06,,,
Goose Green,,local-authority-eng:TRF,,"MULTIPOLYGON (((-2.350969 53.385345,-2.350953 53.385390,-2.350795 53.385367,-2.350761 53.385427,-2.350682 53.385436,-2.350645 53.385582,-2.350560 53.385605,-2.350539 53.385665,-2.350332 53.385636,-2.350238 53.385670,-2.350059 53.385614,-2.349948 53.385711,-2.349635 53.385581,-2.349870 53.385366,-2.349554 53.385241,-2.349628 53.385159,-2.349853 53.385250,-2.350426 53.385169,-2.350439 53.385198,-2.350532 53.385198,-2.350561 53.385261,-2.350969 53.385345)))",2020-09-06,,,
Hale Station,,local-authority-eng:TRF,,"MULTIPOLYGON (((-2.351724 53.378256,-2.352036 53.379016,-2.352069 53.379212,-2.351292 53.379199,-2.351339 53.379132,-2.350808 53.378989,-2.350879 53.378876,-2.350839 53.378868,-2.350856 53.378843,-2.350700 53.378808,-2.350592 53.378909,-2.349944 53.378885,-2.349940 53.378941,-2.349437 53.378918,-2.347789 53.379044,-2.347867 53.379146,-2.347838 53.379167,-2.347193 53.379223,-2.347206 53.379371,-2.346783 53.379376,-2.346766 53.379497,-2.346285 53.379438,-2.346394 53.379300,-2.346380 53.379170,-2.346272 53.378850,-2.345356 53.378972,-2.345489 53.378823,-2.344336 53.378418,-2.346008 53.377620,-2.345496 53.377214,-2.344917 53.376820,-2.344170 53.376444,-2.344024 53.376540,-2.343616 53.376338,-2.343349 53.376144,-2.342921 53.375918,-2.343311 53.375712,-2.343652 53.375864,-2.343996 53.375610,-2.344337 53.375794,-2.344422 53.375765,-2.344846 53.375945,-2.344931 53.376030,-2.345441 53.375803,-2.345918 53.376163,-2.345250 53.376495,-2.345683 53.376812,-2.345896 53.376709,-2.346399 53.377084,-2.346654 53.376961,-2.346831 53.377541,-2.347290 53.377496,-2.347372 53.377976,-2.347825 53.377950,-2.347992 53.377568,-2.347580 53.377546,-2.347436 53.376851,-2.348121 53.376788,-2.348123 53.376987,-2.348697 53.376992,-2.348700 53.376748,-2.350086 53.376731,-2.349892 53.377501,-2.350540 53.377497,-2.350643 53.377839,-2.351030 53.377798,-2.351148 53.378335,-2.351724 53.378256)))",2020-09-06,,,
Linotype,,local-authority-eng:TRF,,"MULTIPOLYGON (((-2.360936 53.396374,-2.358295 53.396988,-2.357793 53.396190,-2.356560 53.396512,-2.355419 53.396712,-2.354730 53.395343,-2.354694 53.394784,-2.354715 53.394673,-2.354850 53.394423,-2.354370 53.394332,-2.354854 53.393416,-2.355376 53.393510,-2.355534 53.393192,-2.355688 53.393217,-2.355553 53.393505,-2.355547 53.393577,-2.355577 53.393648,-2.355721 53.393775,-2.355951 53.393905,-2.356317 53.394044,-2.356907 53.394154,-2.357030 53.394293,-2.357085 53.394491,-2.357329 53.394811,-2.357490 53.395082,-2.357608 53.395448,-2.357601 53.395658,-2.358557 53.395407,-2.357602 53.395658,-2.358557 53.395407,-2.358846 53.395848,-2.360364 53.395506,-2.360936 53.396374)))",2020-09-06,,,
Old Market Place,,local-authority-eng:TRF,,"MULTIPOLYGON (((-2.357444 53.387842,-2.357356 53.387916,-2.356944 53.387767,-2.356643 53.387723,-2.356428 53.387814,-2.356159 53.387868,-2.356131 53.387817,-2.356055 53.387831,-2.355435 53.387957,-2.355418 53.387982,-2.355299 53.387983,-2.353712 53.388311,-2.353809 53.388598,-2.353890 53.388690,-2.354660 53.389123,-2.355378 53.389622,-2.355669 53.389790,-2.356561 53.389625,-2.356763 53.389857,-2.357469 53.389538,-2.357034 53.389813,-2.356496 53.390032,-2.356521 53.390160,-2.356693 53.390418,-2.356342 53.390522,-2.356068 53.390561,-2.356008 53.390470,-2.354965 53.389724,-2.353841 53.389024,-2.353359 53.389064,-2.353334 53.389044,-2.352858 53.389207,-2.352554 53.389023,-2.352268 53.388919,-2.352160 53.388950,-2.351882 53.389175,-2.352343 53.389510,-2.351789 53.389708,-2.351806 53.389751,-2.352128 53.389994,-2.352092 53.390003,-2.352519 53.390301,-2.352420 53.390558,-2.352429 53.390723,-2.352059 53.390786,-2.351737 53.390870,-2.351627 53.390928,-2.352493 53.391898,-2.352646 53.391867,-2.353519 53.391408,-2.354034 53.391071,-2.354166 53.390944,-2.354532 53.391089,-2.354030 53.391510,-2.353364 53.391867,-2.353441 53.391914,-2.353074 53.392127,-2.353449 53.392328,-2.353288 53.392425,-2.353594 53.392555,-2.353531 53.392610,-2.353225 53.392526,-2.352554 53.392233,-2.352435 53.392313,-2.352367 53.392056,-2.352292 53.391970,-2.351856 53.392171,-2.350991 53.391209,-2.350849 53.391141,-2.350224 53.390360,-2.349870 53.390463,-2.349710 53.390241,-2.349491 53.390285,-2.349444 53.390271,-2.349350 53.390123,-2.349261 53.390148,-2.349162 53.390117,-2.348991 53.390119,-2.348788 53.390174,-2.348756 53.390131,-2.348378 53.390218,-2.348418 53.390264,-2.347970 53.390364,-2.347852 53.390212,-2.347960 53.390185,-2.347698 53.389721,-2.348047 53.389681,-2.347948 53.389396,-2.347895 53.389382,-2.347831 53.389307,-2.347234 53.389389,-2.347406 53.389310,-2.347595 53.389160,-2.347625 53.389169,-2.347652 53.389140,-2.347637 53.389117,-2.347820 53.388982,-2.347888 53.389007,-2.348040 53.388927,-2.348176 53.389011,-2.348850 53.388768,-2.349638 53.388571,-2.349792 53.388339,-2.350464 53.388483,-2.350654 53.388234,-2.350893 53.388101,-2.351026 53.387968,-2.350959 53.387945,-2.351169 53.387719,-2.350901 53.387628,-2.351080 53.387436,-2.350889 53.387370,-2.352481 53.385940,-2.352975 53.386136,-2.353179 53.385953,-2.353470 53.386061,-2.353746 53.386167,-2.353569 53.386368,-2.354933 53.386818,-2.357444 53.387842)))",2020-09-06,,,
