conservation-area,documentation-url,end-date,entry-date,geometry,name,organisation,start-date
rdc_conservation_areas,,,2020-09-09,"MULTIPOLYGON (((0.806391 51.595769,0.806244 51.595099,0.806149 51.595027,0.806125 51.594973,0.806124 51.594916,0.806212 51.594863,0.806158 51.594573,0.805026 51.594639,0.805027 51.594794,0.804719 51.594797,0.804737 51.595177,0.803113 51.595245,0.803196 51.595807,0.803166 51.595808,0.803175 51.595857,0.802959 51.595873,0.802978 51.595975,0.802268 51.596054,0.801402 51.596079,0.801382 51.596683,0.801603 51.596778,0.802345 51.596758,0.804716 51.596560,0.804808 51.596904,0.806067 51.596837,0.806043 51.596649,0.806007 51.596651,0.805908 51.595832,0.805938 51.595803,0.806391 51.595769)))",Paglesham East End CA,local-authority-eng:ROC,
rdc_conservation_areas,,,2020-09-09,"MULTIPOLYGON (((0.747249 51.617014,0.746684 51.617007,0.746688 51.617112,0.746395 51.617086,0.746370 51.617202,0.745831 51.617162,0.745774 51.617376,0.745507 51.617365,0.744549 51.617446,0.744539 51.617319,0.744442 51.617323,0.744437 51.617291,0.744334 51.617272,0.743708 51.617282,0.742878 51.617376,0.742439 51.617367,0.742056 51.617412,0.742096 51.617716,0.743253 51.617622,0.743561 51.617690,0.744200 51.617655,0.744224 51.617803,0.744711 51.617776,0.744724 51.618069,0.744650 51.618184,0.744735 51.618235,0.744899 51.618179,0.745539 51.618169,0.745494 51.617490,0.747205 51.617419,0.747249 51.617014)))",Canewdon CA,local-authority-eng:ROC,
rdc_conservation_areas,,,2020-09-09,"MULTIPOLYGON (((0.737876 51.617617,0.737822 51.617960,0.737875 51.618059,0.738009 51.618166,0.738722 51.618122,0.739044 51.617947,0.739071 51.617821,0.739259 51.617825,0.739262 51.617720,0.739942 51.617735,0.739949 51.617500,0.739915 51.617499,0.739783 51.617312,0.739234 51.617171,0.739209 51.616871,0.739184 51.616868,0.739050 51.616237,0.738495 51.616334,0.738202 51.616303,0.738195 51.616280,0.737918 51.616309,0.737977 51.616771,0.737841 51.617415,0.737773 51.617521,0.737754 51.617616,0.737876 51.617617)))",Canewdon Church CA,local-authority-eng:ROC,
rdc_conservation_areas,,,2020-09-09,"MULTIPOLYGON (((0.603298 51.588439,0.603519 51.588749,0.603665 51.588846,0.604053 51.588907,0.604313 51.588870,0.604565 51.589225,0.605134 51.589057,0.605172 51.589130,0.605695 51.589039,0.605806 51.589119,0.606041 51.589159,0.606340 51.589272,0.606468 51.589162,0.606819 51.588593,0.606947 51.588475,0.607001 51.588345,0.607130 51.588353,0.607604 51.588739,0.608061 51.588506,0.609319 51.588243,0.609259 51.588110,0.609484 51.588155,0.609724 51.588330,0.610024 51.588173,0.610427 51.588025,0.610261 51.587859,0.610169 51.587808,0.610227 51.587753,0.610104 51.587466,0.609486 51.587403,0.609283 51.587263,0.609194 51.587088,0.608861 51.587156,0.608669 51.586718,0.609104 51.586549,0.609616 51.586292,0.610055 51.586018,0.610573 51.585601,0.610720 51.585549,0.610632 51.585429,0.610290 51.585128,0.609568 51.584716,0.608376 51.584296,0.607791 51.584157,0.607708 51.584148,0.607425 51.584319,0.606902 51.584535,0.607255 51.584906,0.607268 51.584968,0.607223 51.585030,0.606416 51.585384,0.606241 51.585432,0.606225 51.585318,0.605602 51.585555,0.605210 51.585288,0.605326 51.585208,0.605062 51.585053,0.604908 51.584895,0.604314 51.585164,0.604204 51.585249,0.603924 51.585526,0.604120 51.585725,0.603839 51.585926,0.604682 51.586333,0.605061 51.586579,0.605195 51.586729,0.604975 51.586819,0.605379 51.587290,0.604347 51.587487,0.604383 51.587555,0.603587 51.587690,0.603056 51.587877,0.602951 51.587956,0.602852 51.588162,0.602874 51.588341,0.603298 51.588439)))",Rayleigh CA,local-authority-eng:ROC,
rdc_conservation_areas,,,2020-09-09,"MULTIPOLYGON (((0.778064 51.604561,0.779198 51.604007,0.779287 51.604100,0.779387 51.604122,0.779923 51.603996,0.780330 51.604083,0.780844 51.603895,0.780713 51.603579,0.781648 51.603409,0.781267 51.602890,0.781544 51.602814,0.780980 51.602397,0.780363 51.602457,0.780331 51.602595,0.779847 51.602762,0.779815 51.602815,0.779825 51.602899,0.779906 51.602969,0.778510 51.603728,0.778350 51.603864,0.777756 51.604141,0.777724 51.604216,0.777756 51.604288,0.778064 51.604561)))",Paglesham Church End CA,local-authority-eng:ROC,
rdc_conservation_areas,,,2020-09-09,"MULTIPOLYGON (((0.737919 51.562358,0.738452 51.562355,0.738456 51.562235,0.738359 51.561772,0.738316 51.561692,0.737686 51.561838,0.737919 51.562358)))",Shopland Church Yard CA,local-authority-eng:ROC,
rdc_conservation_areas,,,2020-09-09,"MULTIPOLYGON (((0.696484 51.580300,0.696414 51.580533,0.696443 51.580532,0.696425 51.580812,0.696312 51.582031,0.698580 51.582073,0.700330 51.582147,0.701033 51.582430,0.701200 51.582627,0.701088 51.582810,0.701022 51.582846,0.701141 51.582865,0.700339 51.583622,0.701063 51.583818,0.701195 51.583668,0.703725 51.584399,0.703875 51.584410,0.705404 51.584123,0.706167 51.584065,0.706180 51.584312,0.706242 51.584406,0.706224 51.584615,0.706666 51.584618,0.706739 51.584386,0.707042 51.584379,0.707060 51.584287,0.707731 51.584164,0.707616 51.583753,0.709183 51.583446,0.709455 51.582897,0.709303 51.582866,0.709411 51.582659,0.709389 51.582654,0.709512 51.582014,0.709334 51.582046,0.708428 51.581327,0.708077 51.581012,0.708027 51.580595,0.707789 51.580604,0.707871 51.580091,0.707726 51.580118,0.707755 51.579922,0.707770 51.579890,0.707807 51.579893,0.707825 51.579778,0.707774 51.579571,0.707768 51.579356,0.706833 51.579343,0.706654 51.579375,0.706595 51.579232,0.704452 51.579117,0.704153 51.579532,0.703809 51.579370,0.702883 51.579158,0.702771 51.579025,0.702675 51.578982,0.702613 51.578892,0.702535 51.578890,0.702407 51.579015,0.702196 51.578900,0.701941 51.578912,0.701696 51.578793,0.701384 51.578739,0.701338 51.578845,0.701221 51.578982,0.700863 51.579248,0.699491 51.579772,0.699395 51.579873,0.699308 51.580168,0.698076 51.580199,0.698079 51.580244,0.697276 51.580239,0.696484 51.580300)))",Rochford CA,local-authority-eng:ROC,
rdc_conservation_areas,,,2020-09-09,"MULTIPOLYGON (((0.890724 51.603229,0.890557 51.602974,0.890470 51.602748,0.890457 51.602628,0.890541 51.602424,0.890780 51.602249,0.890826 51.602283,0.892686 51.602144,0.893942 51.601827,0.894101 51.602384,0.895081 51.602274,0.895986 51.602264,0.895868 51.601542,0.895798 51.601419,0.895337 51.601486,0.895040 51.601483,0.895134 51.600577,0.895066 51.600480,0.894770 51.600332,0.894807 51.600189,0.894746 51.600094,0.894392 51.599947,0.894291 51.599772,0.894185 51.599682,0.893849 51.599573,0.893553 51.599572,0.893166 51.599685,0.893188 51.599802,0.892400 51.599952,0.891996 51.599072,0.892067 51.599062,0.892016 51.598918,0.891904 51.598854,0.891735 51.598445,0.891393 51.598502,0.890959 51.598006,0.891071 51.597764,0.890736 51.597689,0.889598 51.596585,0.889395 51.596662,0.889432 51.596907,0.889410 51.596946,0.889266 51.597015,0.889478 51.597223,0.889555 51.597885,0.889490 51.597909,0.889514 51.598093,0.889601 51.598232,0.889504 51.598325,0.889524 51.599609,0.889445 51.599716,0.889578 51.599996,0.889410 51.600301,0.889563 51.600609,0.889481 51.600798,0.889488 51.600853,0.889638 51.601201,0.889736 51.601307,0.889462 51.601766,0.889091 51.601918,0.889793 51.603310,0.890840 51.603359,0.890724 51.603229)),((0.891049 51.603406,0.891046 51.603407,0.891049 51.603406,0.891049 51.603406)))",Foulness Church End CA,local-authority-eng:ROC,
rdc_conservation_areas,,,2020-09-09,"MULTIPOLYGON (((0.795536 51.553529,0.795566 51.553621,0.796714 51.553483,0.798127 51.553375,0.798174 51.553647,0.798983 51.553656,0.799397 51.553624,0.799838 51.553512,0.800173 51.553471,0.800464 51.553475,0.801763 51.553377,0.801850 51.553629,0.801493 51.553617,0.801484 51.553877,0.802473 51.553918,0.802501 51.553722,0.802973 51.553739,0.802950 51.553395,0.802909 51.553397,0.802896 51.553302,0.803409 51.553229,0.803778 51.553288,0.803831 51.553166,0.804230 51.553150,0.804235 51.553183,0.804405 51.553216,0.804441 51.553135,0.804700 51.553202,0.804661 51.553270,0.804657 51.553616,0.805628 51.553656,0.805646 51.553495,0.806174 51.553517,0.806157 51.553683,0.806707 51.553705,0.806742 51.553883,0.807201 51.553871,0.807237 51.553598,0.806969 51.553579,0.806980 51.553359,0.807008 51.553364,0.807013 51.553321,0.807450 51.553370,0.807452 51.553392,0.808670 51.553509,0.808659 51.553428,0.808704 51.553352,0.809344 51.553406,0.809674 51.553534,0.809841 51.553403,0.810333 51.553902,0.810580 51.554020,0.810589 51.554224,0.810620 51.554258,0.810294 51.554593,0.811498 51.554658,0.811489 51.553934,0.811457 51.553935,0.811448 51.553848,0.811456 51.553483,0.811309 51.553410,0.811206 51.552154,0.810075 51.552112,0.810311 51.552361,0.809798 51.552604,0.809069 51.552573,0.808046 51.552706,0.807606 51.552698,0.806568 51.552650,0.804895 51.552468,0.804323 51.552453,0.804330 51.552392,0.803194 51.552401,0.803201 51.552468,0.802734 51.552629,0.802178 51.552675,0.801516 51.552699,0.801508 51.552677,0.799365 51.552840,0.799353 51.552765,0.798613 51.552801,0.798605 51.553013,0.798455 51.553017,0.798462 51.553070,0.798115 51.553093,0.798120 51.552977,0.797369 51.552937,0.797337 51.552952,0.797336 51.553145,0.796968 51.553191,0.796962 51.553130,0.796888 51.553132,0.796884 51.553032,0.796323 51.553031,0.796328 51.552827,0.795709 51.552823,0.795581 51.553157,0.795524 51.553398,0.795536 51.553529)))",Great Wakering CA,local-authority-eng:ROC,
rdc_conservation_areas,,,2020-09-09,"MULTIPOLYGON (((0.566164 51.622748,0.566302 51.623064,0.566177 51.623507,0.567865 51.623725,0.569175 51.623990,0.569089 51.624154,0.569512 51.624260,0.569477 51.624311,0.569915 51.624417,0.570119 51.624109,0.570176 51.623884,0.570858 51.623929,0.570930 51.623840,0.571464 51.624074,0.571853 51.623586,0.572019 51.623666,0.572317 51.623545,0.572634 51.623350,0.573191 51.623326,0.573495 51.623422,0.574232 51.622974,0.574427 51.622587,0.574414 51.621890,0.574564 51.621889,0.574563 51.621667,0.573538 51.621541,0.573602 51.621138,0.572781 51.621111,0.572763 51.621199,0.572787 51.621301,0.572733 51.621372,0.571885 51.621623,0.572059 51.620080,0.569986 51.619992,0.569951 51.620003,0.569905 51.621154,0.569795 51.621097,0.569628 51.621070,0.569210 51.621071,0.569172 51.621422,0.568269 51.621279,0.568193 51.621292,0.566869 51.621060,0.566766 51.621099,0.566681 51.621250,0.566164 51.622748)))",Battlesbridge CA,local-authority-eng:ROC,
