conservation-area,documentation-url,end-date,entry-date,geometry,name,organisation,start-date
Conservation_Areas.2.1,,,2020-12-15,"MULTIPOLYGON (((-2.116652 53.518989,-2.117143 53.518900,-2.118144 53.518899,-2.119064 53.518952,-2.119386 53.519022,-2.119960 53.519065,-2.120103 53.519108,-2.120246 53.519227,-2.120690 53.519462,-2.121020 53.519600,-2.122038 53.519817,-2.122531 53.520040,-2.122764 53.520091,-2.122764 53.520328,-2.122708 53.520418,-2.122794 53.520614,-2.122699 53.520816,-2.122652 53.521082,-2.122369 53.521565,-2.122434 53.521723,-2.122429 53.521827,-2.122893 53.522161,-2.122836 53.522266,-2.122926 53.522269,-2.122982 53.522746,-2.121578 53.522983,-2.121283 53.523170,-2.120362 53.524250,-2.119830 53.524086,-2.120150 53.523747,-2.119984 53.523684,-2.119900 53.523588,-2.120172 53.523489,-2.120141 53.523257,-2.120263 53.523119,-2.119877 53.522843,-2.119611 53.522359,-2.119307 53.521994,-2.118738 53.521584,-2.118546 53.521361,-2.118591 53.520605,-2.118582 53.520214,-2.118614 53.519923,-2.118717 53.519532,-2.117802 53.519432,-2.117797 53.519456,-2.117439 53.519419,-2.117016 53.519465,-2.116652 53.518989)))",Polygon,local-authority-eng:OLD,
Conservation_Areas.2.2,,,2020-12-15,"MULTIPOLYGON (((-2.075657 53.536665,-2.075811 53.536384,-2.076598 53.536841,-2.076288 53.537089,-2.076626 53.537306,-2.075602 53.537640,-2.074905 53.537810,-2.074150 53.537946,-2.074163 53.538580,-2.073894 53.538579,-2.073912 53.538332,-2.073297 53.538283,-2.073236 53.538613,-2.072744 53.538575,-2.072783 53.538384,-2.072465 53.538361,-2.072273 53.539015,-2.071857 53.538895,-2.071569 53.539090,-2.071303 53.538966,-2.071312 53.538939,-2.071918 53.538428,-2.071458 53.538266,-2.071361 53.538361,-2.071142 53.538284,-2.071389 53.538049,-2.070732 53.537810,-2.070636 53.537756,-2.070568 53.537660,-2.069893 53.537639,-2.069545 53.537674,-2.069658 53.538097,-2.069582 53.538239,-2.069381 53.538246,-2.069351 53.538153,-2.069272 53.538107,-2.069188 53.537760,-2.069243 53.537754,-2.069164 53.537465,-2.069246 53.537144,-2.069112 53.537131,-2.068864 53.537044,-2.068552 53.536916,-2.068373 53.536792,-2.068266 53.536678,-2.068130 53.536171,-2.068586 53.535939,-2.068695 53.535812,-2.068971 53.535681,-2.068997 53.535709,-2.069056 53.535683,-2.069319 53.535885,-2.069292 53.535947,-2.069358 53.535958,-2.069404 53.536007,-2.069376 53.536097,-2.070040 53.536444,-2.070519 53.536781,-2.070681 53.536843,-2.070826 53.536735,-2.071214 53.536289,-2.071702 53.536313,-2.072006 53.536285,-2.072033 53.536324,-2.072276 53.536247,-2.072583 53.536307,-2.072796 53.536100,-2.073653 53.536423,-2.073769 53.536352,-2.075064 53.536409,-2.075095 53.536441,-2.075074 53.536646,-2.075657 53.536665)))",Polygon,local-authority-eng:OLD,
Conservation_Areas.2.3,,,2020-12-15,"MULTIPOLYGON (((-2.045896 53.548206,-2.046272 53.550114,-2.045124 53.550310,-2.042597 53.550634,-2.042576 53.550558,-2.042109 53.550641,-2.041623 53.549648,-2.041443 53.549459,-2.041725 53.549334,-2.041623 53.549054,-2.041994 53.548896,-2.041883 53.548423,-2.041749 53.547598,-2.044560 53.547600,-2.044717 53.548406,-2.045896 53.548206)))",Polygon,local-authority-eng:OLD,
Conservation_Areas.2.4,,,2020-12-15,"MULTIPOLYGON (((-2.135539 53.550996,-2.135531 53.551025,-2.132762 53.550356,-2.133042 53.549919,-2.132688 53.549832,-2.133111 53.549209,-2.133132 53.549101,-2.133737 53.548200,-2.134217 53.548315,-2.134632 53.547736,-2.134944 53.547808,-2.134569 53.548425,-2.135449 53.548639,-2.135599 53.548640,-2.136268 53.547625,-2.136371 53.547527,-2.137841 53.547870,-2.137415 53.548167,-2.135539 53.550996)))",Polygon,local-authority-eng:OLD,
Conservation_Areas.2.5,,,2020-12-15,"MULTIPOLYGON (((-2.157733 53.513564,-2.157797 53.512546,-2.156999 53.512766,-2.156899 53.512758,-2.156795 53.512685,-2.156711 53.512159,-2.156109 53.512058,-2.155875 53.512524,-2.155826 53.512686,-2.155102 53.512603,-2.154941 53.513347,-2.153852 53.513236,-2.153612 53.513094,-2.154734 53.512341,-2.153453 53.511661,-2.153673 53.511547,-2.153843 53.511642,-2.153953 53.511573,-2.154193 53.511704,-2.154800 53.511299,-2.154475 53.511133,-2.154469 53.511011,-2.154272 53.510906,-2.154582 53.510785,-2.154813 53.510981,-2.155071 53.510699,-2.154923 53.510600,-2.155626 53.510394,-2.155076 53.509717,-2.155477 53.509589,-2.155808 53.509574,-2.155915 53.509749,-2.155927 53.509829,-2.156235 53.510195,-2.156249 53.510262,-2.156203 53.510490,-2.156454 53.510509,-2.156638 53.510824,-2.156722 53.510809,-2.156788 53.510871,-2.157345 53.510744,-2.157685 53.510629,-2.157601 53.510507,-2.158515 53.510126,-2.158724 53.510304,-2.158724 53.510341,-2.158358 53.510491,-2.158791 53.510871,-2.158591 53.510902,-2.158414 53.512454,-2.158444 53.512669,-2.158748 53.512906,-2.158708 53.512989,-2.157733 53.513564)))",Polygon,local-authority-eng:OLD,
Conservation_Areas.2.6,,,2020-12-15,"MULTIPOLYGON (((-1.989394 53.555210,-1.988775 53.555080,-1.988521 53.554983,-1.987920 53.554643,-1.987413 53.554476,-1.987548 53.554302,-1.987597 53.554142,-1.987306 53.553630,-1.987424 53.553474,-1.987714 53.552944,-1.987881 53.552789,-1.988157 53.552689,-1.988310 53.552667,-1.988605 53.552676,-1.989217 53.552768,-1.990135 53.552653,-1.991068 53.552694,-1.991095 53.552758,-1.991965 53.553453,-1.991670 53.553734,-1.991450 53.553996,-1.991494 53.554062,-1.991465 53.554146,-1.991334 53.554370,-1.991056 53.554694,-1.990785 53.554751,-1.990569 53.554953,-1.990145 53.555025,-1.989649 53.554999,-1.989520 53.555076,-1.989394 53.555210)))",Polygon,local-authority-eng:OLD,
Conservation_Areas.2.7,,,2020-12-15,"MULTIPOLYGON (((-2.005782 53.535458,-2.005764 53.535477,-2.006302 53.535799,-2.006544 53.535739,-2.006626 53.535866,-2.006636 53.535974,-2.006556 53.535999,-2.006318 53.535924,-2.005890 53.536387,-2.005178 53.536160,-2.005225 53.536044,-2.005332 53.535925,-2.005054 53.535834,-2.004853 53.536094,-2.004900 53.536124,-2.004894 53.536241,-2.005003 53.536256,-2.004985 53.536575,-2.004461 53.536384,-2.004391 53.536396,-2.004414 53.536052,-2.004199 53.536083,-2.003928 53.535448,-2.003723 53.535333,-2.004119 53.535094,-2.004303 53.535196,-2.004566 53.535052,-2.004712 53.535141,-2.004970 53.534493,-2.005613 53.534043,-2.006301 53.533897,-2.006287 53.533871,-2.006377 53.533851,-2.006391 53.533873,-2.006833 53.533783,-2.007226 53.533572,-2.007752 53.533516,-2.007745 53.533464,-2.008316 53.533440,-2.008329 53.533464,-2.008953 53.533551,-2.009047 53.533703,-2.008592 53.533963,-2.008564 53.534026,-2.008576 53.534145,-2.008776 53.534223,-2.009537 53.535025,-2.008272 53.535417,-2.007911 53.535255,-2.007582 53.535447,-2.007143 53.535108,-2.006304 53.535295,-2.005823 53.535475,-2.005782 53.535458)))",Polygon,local-authority-eng:OLD,
Conservation_Areas.2.8,,,2020-12-15,"MULTIPOLYGON (((-2.002301 53.549073,-2.002290 53.548491,-2.002378 53.547807,-2.002462 53.547434,-2.002688 53.547407,-2.003009 53.547536,-2.003078 53.547327,-2.003287 53.547207,-2.004492 53.547055,-2.005113 53.546882,-2.005304 53.546626,-2.005072 53.546427,-2.005368 53.546431,-2.005406 53.546224,-2.005860 53.545935,-2.006584 53.545866,-2.006835 53.545741,-2.007177 53.545677,-2.007999 53.545593,-2.008171 53.545341,-2.008188 53.545241,-2.008118 53.544643,-2.008157 53.544207,-2.008460 53.543422,-2.008603 53.543271,-2.008655 53.543140,-2.009919 53.543356,-2.009926 53.543426,-2.009349 53.545303,-2.009311 53.545303,-2.009345 53.545383,-2.009345 53.545598,-2.009273 53.545965,-2.009276 53.546270,-2.009121 53.547036,-2.009053 53.547566,-2.008803 53.548776,-2.008663 53.549592,-2.008691 53.549633,-2.008660 53.549813,-2.008324 53.551467,-2.008348 53.551471,-2.008318 53.551613,-2.008426 53.551705,-2.008337 53.552199,-2.008224 53.552629,-2.008029 53.553124,-2.007739 53.553707,-2.007512 53.554030,-2.007402 53.554018,-2.007495 53.553878,-2.006622 53.553775,-2.006339 53.553808,-2.006322 53.553864,-2.005930 53.553858,-2.006018 53.553631,-2.005995 53.553399,-2.006029 53.552514,-2.005930 53.552420,-2.005950 53.552412,-2.005745 53.552141,-2.005347 53.552122,-2.004935 53.552037,-2.003469 53.551086,-2.003503 53.551061,-2.003490 53.550939,-2.003564 53.550908,-2.003567 53.550682,-2.003377 53.550671,-2.003402 53.550451,-2.002157 53.550504,-2.002324 53.549444,-2.002301 53.549073)))",Polygon,local-authority-eng:OLD,
Conservation_Areas.2.9,,,2020-12-15,"MULTIPOLYGON (((-2.024098 53.566819,-2.024579 53.566832,-2.025140 53.566773,-2.025665 53.566660,-2.026899 53.566556,-2.027831 53.566589,-2.028465 53.566675,-2.028926 53.566626,-2.028599 53.567141,-2.028397 53.567194,-2.028262 53.567312,-2.028117 53.567350,-2.027809 53.567834,-2.027981 53.567958,-2.027911 53.568010,-2.027914 53.568041,-2.028205 53.568302,-2.028205 53.568411,-2.028064 53.568435,-2.027545 53.568982,-2.025754 53.568775,-2.025397 53.569725,-2.025110 53.569934,-2.024977 53.570088,-2.023213 53.570119,-2.022645 53.569845,-2.022410 53.570021,-2.021861 53.569770,-2.021818 53.569803,-2.020675 53.569325,-2.021248 53.568814,-2.020532 53.568528,-2.020697 53.568410,-2.021449 53.568014,-2.021042 53.567519,-2.020764 53.567575,-2.020194 53.567021,-2.020022 53.566475,-2.020194 53.566465,-2.020134 53.566247,-2.020373 53.566159,-2.020485 53.566258,-2.021997 53.565982,-2.021418 53.565595,-2.021152 53.565327,-2.021012 53.565105,-2.021192 53.565043,-2.021235 53.565080,-2.021448 53.565108,-2.021945 53.564919,-2.022427 53.565186,-2.022547 53.565033,-2.022760 53.565161,-2.022889 53.565196,-2.022996 53.565378,-2.023083 53.565377,-2.023153 53.565581,-2.023309 53.565778,-2.024054 53.566234,-2.024306 53.566339,-2.024098 53.566819)))",Polygon,local-authority-eng:OLD,
Conservation_Areas.2.10,,,2020-12-15,"MULTIPOLYGON (((-2.040489 53.594333,-2.039852 53.594256,-2.039777 53.594439,-2.038907 53.594304,-2.038558 53.593799,-2.038667 53.593673,-2.038031 53.593460,-2.037511 53.593339,-2.037484 53.593294,-2.037543 53.592891,-2.037744 53.592095,-2.037107 53.592171,-2.036500 53.592200,-2.036445 53.592105,-2.036245 53.591460,-2.036198 53.591144,-2.036154 53.591046,-2.036030 53.590908,-2.035884 53.590851,-2.035766 53.591025,-2.035604 53.591102,-2.035448 53.591098,-2.035164 53.590992,-2.034982 53.591108,-2.034890 53.591094,-2.034911 53.590542,-2.034794 53.590444,-2.033834 53.590433,-2.033220 53.590497,-2.033202 53.590164,-2.033542 53.589944,-2.033485 53.589873,-2.033474 53.589794,-2.034414 53.589660,-2.034664 53.589569,-2.035101 53.589580,-2.035738 53.589461,-2.035965 53.589548,-2.036472 53.589660,-2.036772 53.589670,-2.036926 53.589725,-2.037145 53.589715,-2.037449 53.589622,-2.038000 53.589513,-2.038610 53.589442,-2.038760 53.589380,-2.039002 53.589178,-2.039160 53.589255,-2.039215 53.589381,-2.039495 53.589230,-2.039889 53.588864,-2.040413 53.588995,-2.040723 53.589030,-2.040345 53.589665,-2.040321 53.589766,-2.040444 53.590352,-2.040474 53.590404,-2.041122 53.590488,-2.041210 53.590730,-2.041196 53.590853,-2.041339 53.591054,-2.041251 53.591211,-2.041156 53.591217,-2.040992 53.591403,-2.041620 53.591738,-2.041742 53.591838,-2.041879 53.591848,-2.041868 53.591873,-2.041984 53.592033,-2.042127 53.592121,-2.042143 53.592183,-2.042058 53.592343,-2.042111 53.592519,-2.042412 53.592657,-2.042549 53.592745,-2.042560 53.592783,-2.042507 53.593040,-2.042449 53.593090,-2.040489 53.594333)))",Polygon,local-authority-eng:OLD,
