name,conservation-area,organisation,documentation-url,geometry,entry-date,start-date,end-date,slug
Adelphi Road,conservationareas,local-authority-eng:EPS,,"MULTIPOLYGON (((-0.265286 51.334694,-0.266491 51.334809,-0.267033 51.334830,-0.266411 51.335099,-0.265728 51.335518,-0.264902 51.335140,-0.264255 51.335376,-0.264309 51.335480,-0.264000 51.335556,-0.263961 51.335521,-0.263887 51.335551,-0.263796 51.335471,-0.263519 51.335641,-0.263205 51.335431,-0.263697 51.335171,-0.263359 51.334952,-0.263685 51.334607,-0.263970 51.334590,-0.265286 51.334694)))",2020-09-06,,,/conservation-area/local-authority-eng/EPS/conservationareas
Long Grove,conservationareas,local-authority-eng:EPS,,"MULTIPOLYGON (((-0.285409 51.350058,-0.285439 51.350059,-0.284975 51.350385,-0.284908 51.350473,-0.284951 51.350567,-0.284937 51.350630,-0.284801 51.350733,-0.284716 51.350756,-0.284172 51.350725,-0.284055 51.350690,-0.283994 51.350658,-0.283952 51.350559,-0.283525 51.350373,-0.283369 51.350347,-0.283140 51.350199,-0.283457 51.349943,-0.283989 51.349273,-0.283558 51.349148,-0.284183 51.348466,-0.284526 51.347916,-0.284757 51.347616,-0.284933 51.347275,-0.286627 51.347489,-0.286605 51.347713,-0.286464 51.347834,-0.286809 51.347940,-0.286831 51.347953,-0.286825 51.348027,-0.287047 51.348057,-0.287139 51.348181,-0.287151 51.348263,-0.287544 51.348363,-0.287610 51.348446,-0.287574 51.348576,-0.287387 51.348756,-0.287094 51.348965,-0.286710 51.348942,-0.286468 51.349010,-0.286370 51.349077,-0.286127 51.348940,-0.285882 51.349118,-0.285822 51.349071,-0.285602 51.349210,-0.285674 51.349252,-0.285424 51.349439,-0.285647 51.349565,-0.285531 51.349681,-0.285493 51.349763,-0.285509 51.349968,-0.285409 51.350058)))",2020-09-06,,,/conservation-area/local-authority-eng/EPS/conservationareas
Manor (Epsom),conservationareas,local-authority-eng:EPS,,"MULTIPOLYGON (((-0.292204 51.340341,-0.291771 51.340904,-0.291367 51.340768,-0.291781 51.340258,-0.291134 51.340024,-0.290767 51.340085,-0.290220 51.340023,-0.290188 51.340237,-0.290096 51.340392,-0.289994 51.340466,-0.289580 51.340408,-0.289522 51.340215,-0.288910 51.340040,-0.289020 51.339885,-0.288483 51.339716,-0.288607 51.339598,-0.287832 51.339331,-0.288135 51.338966,-0.287950 51.338902,-0.287863 51.338675,-0.288180 51.338240,-0.288932 51.338456,-0.289038 51.338554,-0.289833 51.338438,-0.289892 51.338376,-0.290041 51.338590,-0.290664 51.337741,-0.290935 51.337875,-0.292252 51.339027,-0.292508 51.339035,-0.292637 51.339330,-0.292641 51.339613,-0.292539 51.339853,-0.292204 51.340341)))",2020-09-06,,,/conservation-area/local-authority-eng/EPS/conservationareas
St Ebbas (Epsom),conservationareas,local-authority-eng:EPS,,"MULTIPOLYGON (((-0.273872 51.349496,-0.274201 51.349412,-0.274591 51.349656,-0.274502 51.349822,-0.274497 51.350000,-0.274753 51.350382,-0.274818 51.350543,-0.274870 51.350844,-0.274851 51.351037,-0.274550 51.351259,-0.274195 51.351097,-0.274036 51.351081,-0.273990 51.351113,-0.273799 51.351001,-0.273526 51.351148,-0.273131 51.351193,-0.272889 51.351092,-0.272567 51.350872,-0.272231 51.350803,-0.272006 51.350696,-0.273583 51.349655,-0.273872 51.349496)))",2020-09-06,,,/conservation-area/local-authority-eng/EPS/conservationareas
Ewell Village (primary retail frontages only),conservationareas,local-authority-eng:EPS,,"MULTIPOLYGON (((-0.250229 51.347908,-0.250061 51.347810,-0.250253 51.347523,-0.250135 51.347477,-0.250249 51.347384,-0.250328 51.347418,-0.250558 51.347723,-0.250229 51.347908),(-0.250334 51.347440,-0.250314 51.347419,-0.250307 51.347425,-0.250329 51.347435,-0.250334 51.347440)),((-0.250275 51.346697,-0.250335 51.346617,-0.250394 51.346676,-0.250445 51.346617,-0.250537 51.346689,-0.250340 51.346915,-0.250247 51.346951,-0.250147 51.346942,-0.250083 51.346870,-0.250167 51.346840,-0.250275 51.346697)),((-0.250644 51.347064,-0.250764 51.346916,-0.251094 51.347024,-0.250937 51.347208,-0.250644 51.347064)),((-0.249687 51.347394,-0.250040 51.347162,-0.250114 51.347241,-0.250090 51.347270,-0.250113 51.347277,-0.249904 51.347494,-0.249687 51.347394)),((-0.250461 51.347365,-0.250431 51.347299,-0.250536 51.347187,-0.250682 51.347222,-0.250549 51.347363,-0.250496 51.347387,-0.250461 51.347365)))",2020-09-06,,,/conservation-area/local-authority-eng/EPS/conservationareas
Epsom Town Centre,conservationareas,local-authority-eng:EPS,,"MULTIPOLYGON (((-0.267431 51.332616,-0.267083 51.332662,-0.267110 51.332891,-0.267299 51.332877,-0.267352 51.333065,-0.267486 51.333052,-0.267501 51.333097,-0.267733 51.333049,-0.267732 51.332952,-0.267873 51.332978,-0.267833 51.332885,-0.267892 51.332874,-0.267857 51.332786,-0.268022 51.332764,-0.268074 51.332896,-0.268688 51.332740,-0.268733 51.332802,-0.268723 51.332751,-0.268868 51.332731,-0.268875 51.332768,-0.269192 51.332723,-0.269182 51.332685,-0.269749 51.332615,-0.269735 51.332573,-0.269797 51.332565,-0.269785 51.332528,-0.269965 51.332500,-0.269991 51.332579,-0.270118 51.332561,-0.270136 51.332608,-0.270272 51.332614,-0.270323 51.332416,-0.270423 51.332409,-0.270401 51.332311,-0.270430 51.332055,-0.270478 51.332048,-0.270510 51.331840,-0.270480 51.331728,-0.270597 51.331618,-0.270553 51.331530,-0.270574 51.331523,-0.270415 51.331552,-0.270388 51.331495,-0.270426 51.331481,-0.270413 51.331439,-0.270360 51.331437,-0.270339 51.331405,-0.270647 51.331348,-0.270847 51.331654,-0.271223 51.331582,-0.271286 51.331681,-0.271086 51.331729,-0.271104 51.331927,-0.271177 51.331922,-0.271204 51.332004,-0.271317 51.332126,-0.271502 51.332518,-0.272192 51.332449,-0.272243 51.332603,-0.273123 51.332508,-0.272995 51.332719,-0.272819 51.332832,-0.272962 51.332970,-0.271552 51.333518,-0.271495 51.333496,-0.271648 51.333263,-0.271612 51.333257,-0.271632 51.333214,-0.271542 51.333198,-0.271542 51.333135,-0.271451 51.333109,-0.271126 51.333097,-0.271181 51.333267,-0.270861 51.333348,-0.270970 51.333574,-0.270664 51.333633,-0.270628 51.333638,-0.270596 51.333569,-0.270454 51.333188,-0.270209 51.333218,-0.270230 51.333298,-0.270082 51.333314,-0.270072 51.333283,-0.269539 51.333346,-0.269579 51.333480,-0.269415 51.333502,-0.269325 51.333491,-0.269314 51.333458,-0.269034 51.333501,-0.269014 51.333458,-0.268899 51.333480,-0.268936 51.333572,-0.268814 51.333599,-0.268869 51.333692,-0.268725 51.333714,-0.268711 51.333678,-0.268520 51.333706,-0.268480 51.333601,-0.268315 51.333467,-0.268029 51.333513,-0.268043 51.333564,-0.267943 51.333576,-0.267965 51.333639,-0.267814 51.333662,-0.267747 51.333518,-0.267542 51.333550,-0.267648 51.333816,-0.267307 51.333859,-0.267258 51.333739,-0.266842 51.333801,-0.264999 51.334330,-0.264717 51.334365,-0.264386 51.334334,-0.264375 51.334358,-0.264303 51.334360,-0.264245 51.334449,-0.262568 51.334550,-0.261307 51.334697,-0.261264 51.334589,-0.261702 51.334524,-0.261716 51.334496,-0.261673 51.334405,-0.262807 51.334229,-0.262669 51.333834,-0.262704 51.333779,-0.262962 51.333823,-0.263217 51.333588,-0.263788 51.333888,-0.264061 51.333675,-0.264141 51.333690,-0.264104 51.333718,-0.264187 51.333764,-0.264414 51.333637,-0.264809 51.333581,-0.264865 51.333617,-0.265074 51.333477,-0.265005 51.333420,-0.265216 51.333234,-0.265437 51.333298,-0.266175 51.333224,-0.266135 51.333082,-0.266430 51.333071,-0.266420 51.332666,-0.266887 51.332675,-0.266855 51.332324,-0.267569 51.332212,-0.267480 51.332294,-0.267525 51.332321,-0.267578 51.332475,-0.267431 51.332616)))",2020-09-06,,,/conservation-area/local-authority-eng/EPS/conservationareas
Chalk Lane,conservationareas,local-authority-eng:EPS,,"MULTIPOLYGON (((-0.270208 51.325009,-0.270255 51.324983,-0.270604 51.325192,-0.270364 51.325344,-0.270385 51.325355,-0.270113 51.325644,-0.269941 51.325585,-0.269837 51.325966,-0.269896 51.326200,-0.269899 51.326414,-0.268901 51.326481,-0.268888 51.326445,-0.268764 51.326609,-0.268492 51.326872,-0.268398 51.326846,-0.268466 51.326714,-0.269337 51.325595,-0.268295 51.325268,-0.267659 51.325954,-0.267524 51.326053,-0.267346 51.326112,-0.267011 51.326132,-0.266928 51.326040,-0.265288 51.324840,-0.265886 51.324406,-0.266641 51.323626,-0.267062 51.323421,-0.266773 51.323054,-0.266623 51.322693,-0.266407 51.322651,-0.266489 51.322480,-0.266240 51.322026,-0.263351 51.322642,-0.263003 51.322764,-0.263079 51.321822,-0.267352 51.320981,-0.267253 51.320779,-0.267031 51.320702,-0.266053 51.319717,-0.266045 51.319666,-0.266549 51.319228,-0.266601 51.319016,-0.266776 51.318727,-0.266843 51.318732,-0.267082 51.318914,-0.267317 51.318995,-0.267960 51.318901,-0.268014 51.318885,-0.267957 51.318849,-0.268193 51.318814,-0.268638 51.319201,-0.268691 51.319188,-0.269045 51.319605,-0.269226 51.319984,-0.269592 51.321047,-0.269761 51.321382,-0.269747 51.321459,-0.269568 51.321548,-0.269762 51.321766,-0.269801 51.321861,-0.269390 51.321804,-0.268275 51.323574,-0.269106 51.324225,-0.269063 51.324246,-0.270208 51.325009)))",2020-09-06,,,/conservation-area/local-authority-eng/EPS/conservationareas
Providence Place,conservationareas,local-authority-eng:EPS,,"MULTIPOLYGON (((-0.259342 51.336723,-0.259376 51.336752,-0.259122 51.336871,-0.259040 51.336824,-0.258403 51.337149,-0.258230 51.337011,-0.257800 51.337230,-0.257347 51.336851,-0.257362 51.336807,-0.257555 51.336718,-0.257303 51.336503,-0.257579 51.336371,-0.257445 51.336267,-0.257504 51.336177,-0.257778 51.336063,-0.257655 51.335940,-0.257995 51.335806,-0.258671 51.336456,-0.258814 51.336680,-0.259182 51.336585,-0.259342 51.336723)))",2020-09-06,,,/conservation-area/local-authority-eng/EPS/conservationareas
Woodcote,conservationareas,local-authority-eng:EPS,,"MULTIPOLYGON (((-0.269740 51.329922,-0.269750 51.329643,-0.269717 51.329593,-0.269548 51.329596,-0.269638 51.329308,-0.269609 51.329298,-0.269702 51.329237,-0.269643 51.329175,-0.269301 51.329056,-0.269180 51.328987,-0.269166 51.328945,-0.269203 51.328731,-0.269261 51.328731,-0.269286 51.328640,-0.269432 51.328657,-0.269456 51.328579,-0.269506 51.328582,-0.269535 51.328459,-0.269422 51.328302,-0.269522 51.328280,-0.269532 51.328100,-0.269416 51.327713,-0.269500 51.327587,-0.270126 51.327458,-0.270098 51.327388,-0.270525 51.327375,-0.270724 51.327682,-0.270932 51.327880,-0.270942 51.327877,-0.270878 51.327828,-0.271828 51.327365,-0.272289 51.326987,-0.272421 51.326983,-0.272578 51.327048,-0.272770 51.326874,-0.272493 51.326744,-0.272557 51.326689,-0.272223 51.326553,-0.272397 51.326403,-0.273715 51.326822,-0.274129 51.327052,-0.273692 51.327432,-0.273462 51.327705,-0.273186 51.327960,-0.273089 51.327973,-0.273117 51.328105,-0.272941 51.328184,-0.272780 51.328325,-0.272438 51.328487,-0.272311 51.328410,-0.272154 51.328449,-0.271072 51.328983,-0.270735 51.329326,-0.270770 51.329807,-0.270219 51.329830,-0.270054 51.329925,-0.269740 51.329922)))",2020-09-06,,,/conservation-area/local-authority-eng/EPS/conservationareas
Burgh Heath Road (Fyfield Close),conservationareas,local-authority-eng:EPS,,"MULTIPOLYGON (((-0.256198 51.327139,-0.256133 51.327168,-0.256042 51.326970,-0.255826 51.326717,-0.255769 51.326703,-0.255723 51.326721,-0.255769 51.326775,-0.255672 51.326808,-0.255628 51.326755,-0.255368 51.326842,-0.255361 51.326954,-0.255334 51.326962,-0.255038 51.326872,-0.254952 51.326794,-0.254882 51.326672,-0.254870 51.326384,-0.256083 51.326027,-0.256197 51.326531,-0.256198 51.327139)))",2020-09-06,,,/conservation-area/local-authority-eng/EPS/conservationareas
