conservation-area,documentation-url,end-date,entry-date,geometry,name,organisation,start-date,slug
11,,,2020-09-04,"MULTIPOLYGON (((-0.112983 51.451038,-0.112938 51.450896,-0.111853 51.450993,-0.111330 51.450473,-0.111190 51.450227,-0.111136 51.449926,-0.111603 51.449190,-0.111655 51.449031,-0.111645 51.448636,-0.111521 51.448163,-0.111345 51.447812,-0.110861 51.447247,-0.111654 51.447094,-0.111635 51.447000,-0.111447 51.446671,-0.111361 51.446575,-0.111163 51.446537,-0.110829 51.446572,-0.110661 51.446497,-0.110403 51.446069,-0.110073 51.445752,-0.109776 51.445314,-0.109586 51.444941,-0.109814 51.444861,-0.109666 51.444659,-0.108603 51.444936,-0.108466 51.444676,-0.106628 51.445020,-0.106703 51.445171,-0.106576 51.445195,-0.106498 51.445042,-0.105626 51.445216,-0.105684 51.445572,-0.105155 51.445627,-0.105154 51.445601,-0.104360 51.445549,-0.104213 51.445981,-0.104123 51.446046,-0.103883 51.446384,-0.103562 51.446734,-0.102833 51.447305,-0.101597 51.448112,-0.101292 51.448377,-0.100997 51.448689,-0.100937 51.448765,-0.100976 51.448778,-0.100702 51.449172,-0.100509 51.449588,-0.100415 51.449944,-0.100372 51.450322,-0.100744 51.450357,-0.100734 51.450818,-0.100794 51.451158,-0.100917 51.451364,-0.101331 51.451847,-0.101398 51.452016,-0.101455 51.452366,-0.102234 51.452394,-0.102851 51.452502,-0.103663 51.452734,-0.105821 51.453449,-0.107017 51.453810,-0.109052 51.454640,-0.109506 51.454877,-0.110350 51.455385,-0.110582 51.455185,-0.110726 51.454962,-0.110810 51.454969,-0.110831 51.455031,-0.111816 51.454887,-0.111759 51.454764,-0.111725 51.454762,-0.111661 51.454659,-0.111178 51.453653,-0.111137 51.453110,-0.111095 51.452963,-0.110937 51.452675,-0.111204 51.452474,-0.111916 51.452399,-0.112434 51.452385,-0.112446 51.452120,-0.112394 51.451665,-0.112191 51.451296,-0.112022 51.451161,-0.112016 51.451124,-0.112983 51.451038)))",Brockwell Park,local-authority-eng:LBH,,conservation-area/local-authority-eng/LBH/11
12,,,2020-09-04,"MULTIPOLYGON (((-0.137958 51.462467,-0.137691 51.462110,-0.137665 51.462003,-0.137175 51.461684,-0.136667 51.461924,-0.136687 51.461940,-0.136156 51.462103,-0.136187 51.462135,-0.136037 51.462183,-0.136017 51.462164,-0.135526 51.462343,-0.135074 51.461906,-0.134770 51.462028,-0.134878 51.462132,-0.134660 51.462199,-0.134687 51.462253,-0.134627 51.462278,-0.134725 51.462368,-0.134587 51.462467,-0.134843 51.462651,-0.134620 51.462814,-0.134507 51.462743,-0.134210 51.462840,-0.134442 51.463079,-0.133160 51.463564,-0.132928 51.463289,-0.132287 51.463542,-0.132163 51.463408,-0.131910 51.463504,-0.131953 51.463544,-0.131320 51.463816,-0.131682 51.464169,-0.131316 51.464328,-0.130984 51.464053,-0.130254 51.464337,-0.130781 51.464604,-0.130946 51.464518,-0.131251 51.464736,-0.131594 51.464880,-0.131811 51.464932,-0.132539 51.464636,-0.132562 51.464656,-0.132759 51.464604,-0.133094 51.464469,-0.132766 51.464164,-0.133578 51.463873,-0.134060 51.463801,-0.133947 51.463654,-0.134635 51.463439,-0.134619 51.463417,-0.134936 51.463322,-0.135143 51.463197,-0.135580 51.463474,-0.135886 51.463355,-0.135801 51.463258,-0.135918 51.463219,-0.135894 51.463192,-0.136563 51.462968,-0.136451 51.462835,-0.136816 51.462723,-0.137958 51.462467)))",Clapham High Street,local-authority-eng:LBH,,conservation-area/local-authority-eng/LBH/12
13,,,2020-09-04,"MULTIPOLYGON (((-0.140167 51.469499,-0.141136 51.469214,-0.140702 51.468624,-0.140559 51.468350,-0.140748 51.468361,-0.140828 51.468090,-0.141464 51.468127,-0.141977 51.468110,-0.141925 51.467837,-0.141686 51.467837,-0.141691 51.467577,-0.141122 51.467556,-0.140705 51.467459,-0.140279 51.467855,-0.139956 51.467689,-0.139914 51.467711,-0.139806 51.467539,-0.139264 51.467666,-0.139048 51.467325,-0.138613 51.467440,-0.138542 51.467394,-0.138374 51.467432,-0.138074 51.466989,-0.138027 51.467002,-0.136997 51.465451,-0.136718 51.465495,-0.136559 51.465235,-0.136760 51.465192,-0.136644 51.465014,-0.136435 51.465065,-0.136274 51.464806,-0.135651 51.464957,-0.135373 51.464532,-0.135893 51.464405,-0.135744 51.464162,-0.135213 51.464288,-0.135058 51.464056,-0.135475 51.463955,-0.135422 51.463878,-0.135494 51.463859,-0.135441 51.463783,-0.135249 51.463835,-0.135148 51.463714,-0.135107 51.463725,-0.135044 51.463631,-0.135424 51.463532,-0.135497 51.463427,-0.135143 51.463197,-0.134936 51.463322,-0.134273 51.463544,-0.134306 51.463599,-0.134396 51.463646,-0.134626 51.463982,-0.134851 51.463931,-0.134939 51.464002,-0.135165 51.464341,-0.134900 51.464411,-0.135040 51.464654,-0.134780 51.464722,-0.135300 51.465492,-0.135678 51.465830,-0.135769 51.465818,-0.135898 51.465978,-0.135936 51.466030,-0.135854 51.466052,-0.136180 51.466531,-0.136122 51.466546,-0.136265 51.466749,-0.136399 51.466714,-0.137191 51.467909,-0.136819 51.468006,-0.136970 51.468235,-0.136382 51.468398,-0.136417 51.468446,-0.136535 51.468415,-0.136573 51.468455,-0.136905 51.468364,-0.137285 51.468714,-0.137417 51.468659,-0.137511 51.468807,-0.137965 51.468705,-0.137871 51.468543,-0.138336 51.468451,-0.138860 51.468435,-0.139247 51.468355,-0.139284 51.468481,-0.139453 51.468450,-0.139573 51.468842,-0.139779 51.468794,-0.139843 51.468899,-0.139801 51.468911,-0.140167 51.469499)))",Rectory Grove,local-authority-eng:LBH,,conservation-area/local-authority-eng/LBH/13
14,,,2020-09-04,"MULTIPOLYGON (((-0.095795 51.434410,-0.095474 51.434455,-0.095528 51.434614,-0.095703 51.434866,-0.096000 51.434789,-0.101942 51.433909,-0.102159 51.434447,-0.102425 51.434407,-0.102617 51.434969,-0.102995 51.434912,-0.102853 51.434341,-0.103784 51.434200,-0.103694 51.433611,-0.103734 51.433559,-0.103743 51.433352,-0.103846 51.432870,-0.104274 51.432895,-0.104302 51.432705,-0.103874 51.432682,-0.103977 51.432099,-0.103179 51.432110,-0.103041 51.431811,-0.102730 51.431882,-0.102848 51.432079,-0.102489 51.432159,-0.102512 51.432204,-0.102347 51.432239,-0.102276 51.432110,-0.102209 51.432124,-0.102157 51.432023,-0.101965 51.432101,-0.102297 51.432658,-0.100947 51.432951,-0.100008 51.431345,-0.099263 51.431232,-0.096346 51.430983,-0.096387 51.430872,-0.094855 51.430782,-0.094761 51.430861,-0.094686 51.431013,-0.094714 51.431659,-0.094894 51.432076,-0.094913 51.432503,-0.095622 51.433746,-0.095661 51.434019,-0.095795 51.434410)))",West Norwood,local-authority-eng:LBH,,conservation-area/local-authority-eng/LBH/14
15,,,2020-09-04,"MULTIPOLYGON (((-0.120949 51.461426,-0.120333 51.460419,-0.120821 51.460310,-0.120612 51.459965,-0.118633 51.460444,-0.117512 51.460755,-0.117690 51.461099,-0.117893 51.461043,-0.117976 51.461264,-0.117895 51.461287,-0.118156 51.461715,-0.118337 51.462230,-0.119192 51.461999,-0.119905 51.463152,-0.121385 51.462793,-0.120899 51.461954,-0.120939 51.461896,-0.120777 51.461698,-0.121058 51.461599,-0.120949 51.461426)))",Trinity Gardens,local-authority-eng:LBH,,conservation-area/local-authority-eng/LBH/15
16,,,2020-09-04,"MULTIPOLYGON (((-0.141315 51.442745,-0.140972 51.442119,-0.141543 51.442111,-0.141556 51.441802,-0.138467 51.441741,-0.137453 51.441788,-0.136802 51.441883,-0.135959 51.442088,-0.135327 51.442402,-0.135063 51.442486,-0.135141 51.442600,-0.135477 51.442720,-0.135587 51.442803,-0.135557 51.442825,-0.135724 51.442969,-0.135873 51.443183,-0.136293 51.443490,-0.136437 51.443677,-0.136259 51.444403,-0.136180 51.444613,-0.136040 51.444814,-0.135973 51.444970,-0.135922 51.445212,-0.135825 51.445424,-0.135830 51.445468,-0.135956 51.445559,-0.136436 51.445482,-0.136537 51.445375,-0.136965 51.445288,-0.136804 51.444974,-0.136965 51.444942,-0.136798 51.444628,-0.137686 51.444448,-0.137528 51.444136,-0.140620 51.443501,-0.140270 51.442881,-0.140767 51.442780,-0.140798 51.442850,-0.141315 51.442745)))",Hyde Farm,local-authority-eng:LBH,,conservation-area/local-authority-eng/LBH/16
42,,,2020-09-04,"MULTIPOLYGON (((-0.138596 51.434354,-0.137910 51.433784,-0.137755 51.433777,-0.136912 51.433936,-0.136872 51.433907,-0.136561 51.433919,-0.136489 51.433878,-0.135835 51.431802,-0.135281 51.430351,-0.135286 51.430306,-0.135349 51.430255,-0.138178 51.430537,-0.138119 51.428928,-0.138234 51.427950,-0.138408 51.427247,-0.138516 51.426634,-0.138569 51.425996,-0.138145 51.426186,-0.137708 51.426334,-0.137676 51.425942,-0.136679 51.426012,-0.136786 51.426460,-0.136874 51.426450,-0.136970 51.426675,-0.137131 51.426911,-0.137138 51.426971,-0.136940 51.426985,-0.137000 51.427039,-0.136996 51.427208,-0.136234 51.427598,-0.136153 51.427535,-0.135299 51.427860,-0.135448 51.427974,-0.135103 51.428144,-0.135307 51.428300,-0.134820 51.428549,-0.133787 51.427788,-0.133563 51.427914,-0.133876 51.428140,-0.133620 51.428274,-0.134360 51.428840,-0.134292 51.429544,-0.133711 51.429553,-0.133601 51.430048,-0.133017 51.430020,-0.132958 51.430125,-0.132655 51.430386,-0.131921 51.430200,-0.131387 51.430299,-0.131354 51.430277,-0.131201 51.430708,-0.131144 51.430699,-0.130780 51.431657,-0.130867 51.431668,-0.131650 51.431537,-0.131715 51.431415,-0.133138 51.431345,-0.134533 51.431218,-0.134789 51.432101,-0.135067 51.432071,-0.135209 51.432528,-0.134620 51.432594,-0.134691 51.433167,-0.135156 51.433144,-0.135143 51.433620,-0.135080 51.433623,-0.135130 51.434094,-0.134367 51.434135,-0.134391 51.434389,-0.134320 51.434595,-0.134527 51.434647,-0.134595 51.434539,-0.134615 51.434436,-0.135086 51.434532,-0.135108 51.434336,-0.135606 51.434462,-0.135774 51.434367,-0.136095 51.434615,-0.136761 51.434357,-0.137077 51.434783,-0.137173 51.435047,-0.138596 51.434354)),((-0.136610 51.435051,-0.136247 51.434961,-0.135867 51.435342,-0.135136 51.435105,-0.135104 51.435142,-0.136008 51.435432,-0.136310 51.435396,-0.136302 51.435363,-0.136610 51.435051)))",Streatham Park & Garrads Road,local-authority-eng:LBH,,conservation-area/local-authority-eng/LBH/42
43,,,2020-09-04,"MULTIPOLYGON (((-0.126800 51.438341,-0.126093 51.438192,-0.124949 51.438011,-0.124936 51.438050,-0.122489 51.437645,-0.122058 51.437418,-0.121231 51.436807,-0.119617 51.435803,-0.117801 51.436790,-0.117894 51.436824,-0.117365 51.437066,-0.117328 51.437136,-0.117043 51.437394,-0.116652 51.437221,-0.115015 51.438674,-0.115471 51.438905,-0.115073 51.439257,-0.115385 51.439395,-0.115615 51.439278,-0.116881 51.438159,-0.118982 51.438437,-0.118866 51.438789,-0.119931 51.438930,-0.119860 51.439143,-0.120074 51.439174,-0.121688 51.439383,-0.121886 51.438822,-0.123930 51.439090,-0.123535 51.440248,-0.125509 51.440469,-0.125888 51.439949,-0.126276 51.438983,-0.126800 51.438341)))",Leigham Court Estate,local-authority-eng:LBH,,conservation-area/local-authority-eng/LBH/43
44,,,2020-09-04,"MULTIPOLYGON (((-0.128135 51.430521,-0.128325 51.430188,-0.128074 51.430124,-0.128040 51.430190,-0.127885 51.430149,-0.127922 51.430083,-0.127637 51.430012,-0.127434 51.429705,-0.127792 51.429645,-0.127788 51.429596,-0.127536 51.429567,-0.127151 51.429322,-0.126871 51.429187,-0.124892 51.428594,-0.124682 51.428779,-0.124156 51.428669,-0.123982 51.429094,-0.123928 51.429082,-0.123654 51.429546,-0.123838 51.429593,-0.123772 51.429893,-0.124822 51.430114,-0.124802 51.430146,-0.125212 51.430268,-0.126652 51.430654,-0.126472 51.430893,-0.126807 51.430980,-0.127010 51.430629,-0.127268 51.430674,-0.127467 51.430379,-0.128135 51.430521)))",Sunnyhill Road,local-authority-eng:LBH,,conservation-area/local-authority-eng/LBH/44
45,,,2020-09-04,"MULTIPOLYGON (((-0.133174 51.429146,-0.132524 51.428692,-0.132603 51.428614,-0.132417 51.428540,-0.132687 51.428444,-0.132867 51.428322,-0.132608 51.428169,-0.132774 51.428113,-0.132598 51.427956,-0.132532 51.427986,-0.132294 51.427888,-0.132095 51.428131,-0.131549 51.428035,-0.131592 51.427704,-0.131689 51.427544,-0.131992 51.427319,-0.132063 51.427356,-0.132528 51.427043,-0.132127 51.426796,-0.131943 51.426919,-0.131706 51.426768,-0.131254 51.426711,-0.131189 51.426309,-0.131132 51.426157,-0.131494 51.425999,-0.131471 51.425977,-0.132881 51.425266,-0.132773 51.425171,-0.132380 51.425357,-0.132266 51.425274,-0.132229 51.425149,-0.132021 51.425192,-0.131866 51.424887,-0.132269 51.424811,-0.132305 51.424413,-0.132277 51.424275,-0.131599 51.424404,-0.131369 51.423952,-0.130291 51.424186,-0.130639 51.424970,-0.129779 51.425106,-0.129894 51.425323,-0.130370 51.425246,-0.130509 51.425584,-0.130856 51.425523,-0.131080 51.425992,-0.129988 51.426410,-0.130124 51.426549,-0.130243 51.426507,-0.130287 51.426731,-0.130241 51.426798,-0.130297 51.426805,-0.130247 51.427341,-0.130532 51.427354,-0.130497 51.427798,-0.130336 51.427797,-0.130286 51.428803,-0.130345 51.428805,-0.130343 51.428839,-0.130453 51.428842,-0.130422 51.429278,-0.129993 51.429221,-0.129981 51.429280,-0.129842 51.429432,-0.129425 51.429772,-0.128992 51.429598,-0.128771 51.429561,-0.128534 51.429844,-0.128681 51.429890,-0.128542 51.430069,-0.128601 51.430087,-0.128509 51.430224,-0.128453 51.430292,-0.128287 51.430254,-0.128169 51.430469,-0.128980 51.430638,-0.128869 51.430852,-0.128855 51.430953,-0.128843 51.431126,-0.128935 51.431135,-0.128925 51.431169,-0.128882 51.431164,-0.128702 51.431727,-0.128772 51.431734,-0.128692 51.432002,-0.127974 51.431910,-0.127533 51.432794,-0.127894 51.432837,-0.127689 51.433112,-0.127488 51.433637,-0.127469 51.434034,-0.127546 51.434425,-0.127503 51.434653,-0.127301 51.434968,-0.125979 51.434645,-0.125534 51.435469,-0.126183 51.435589,-0.126136 51.435690,-0.126407 51.435755,-0.126389 51.435786,-0.127331 51.436009,-0.127195 51.436237,-0.126499 51.436068,-0.126386 51.436330,-0.125886 51.436215,-0.125621 51.436760,-0.126228 51.437381,-0.125730 51.437677,-0.126270 51.437777,-0.126239 51.437800,-0.126505 51.438147,-0.126400 51.438259,-0.126800 51.438341,-0.126276 51.438983,-0.125888 51.439949,-0.125509 51.440469,-0.123233 51.440215,-0.123196 51.440316,-0.124595 51.440476,-0.124584 51.440517,-0.124759 51.440546,-0.124659 51.440899,-0.124541 51.440883,-0.124402 51.441179,-0.124339 51.441174,-0.124317 51.441249,-0.123448 51.441156,-0.123374 51.441334,-0.123353 51.441454,-0.123375 51.441458,-0.123170 51.442100,-0.124299 51.442225,-0.124641 51.442223,-0.125989 51.442116,-0.125949 51.441770,-0.125791 51.441202,-0.125822 51.441119,-0.126061 51.440779,-0.126547 51.440905,-0.126793 51.440557,-0.126190 51.440376,-0.126421 51.440054,-0.126332 51.440029,-0.126548 51.439584,-0.127357 51.439748,-0.127877 51.438961,-0.127387 51.438819,-0.127576 51.438539,-0.128326 51.438793,-0.128515 51.438780,-0.128706 51.438676,-0.128886 51.438408,-0.128879 51.438327,-0.128836 51.438279,-0.128722 51.438228,-0.127623 51.438036,-0.127708 51.437826,-0.127875 51.437552,-0.127790 51.437536,-0.128008 51.437125,-0.128301 51.437181,-0.128471 51.436755,-0.128629 51.436774,-0.128706 51.436549,-0.128517 51.436528,-0.128619 51.436280,-0.128638 51.436167,-0.128611 51.436163,-0.128731 51.435680,-0.128675 51.435676,-0.128699 51.435508,-0.128718 51.435409,-0.128765 51.435406,-0.128843 51.434514,-0.128865 51.434514,-0.128810 51.433969,-0.129082 51.433961,-0.129041 51.433473,-0.129186 51.433469,-0.129186 51.433416,-0.129826 51.432518,-0.130001 51.432172,-0.130036 51.432175,-0.130113 51.431696,-0.130742 51.431755,-0.131144 51.430699,-0.130526 51.430555,-0.130878 51.430269,-0.130729 51.430187,-0.131263 51.429777,-0.131485 51.429824,-0.131822 51.429707,-0.131996 51.429902,-0.132175 51.430008,-0.132060 51.430105,-0.132192 51.430187,-0.132639 51.429817,-0.132307 51.429551,-0.132770 51.429308,-0.132870 51.429385,-0.133156 51.429231,-0.133174 51.429146)))",Streatham High Road & Streatham Hill,local-authority-eng:LBH,,conservation-area/local-authority-eng/LBH/45
