conservation-area,documentation-url,end-date,entry-date,geometry,name,organisation,start-date
IHM_CONSERVATIONAREAS.1,,,2020-09-06,"MULTIPOLYGON (((-2.340292 53.488825, -2.340269 53.488815, -2.340228 53.488163, -2.341318 53.488141, -2.341248 53.487396, -2.339914 53.487566, -2.338505 53.487652, -2.338377 53.487685, -2.337696 53.488043, -2.337142 53.488211, -2.336331 53.488340, -2.336237 53.488135, -2.336178 53.488143, -2.336107 53.487950, -2.335516 53.488035, -2.335489 53.487983, -2.334830 53.488109, -2.335028 53.488559, -2.335325 53.488977, -2.335160 53.489084, -2.335574 53.489401, -2.335098 53.489594, -2.335371 53.489864, -2.335251 53.489959, -2.335662 53.490041, -2.335777 53.489813, -2.336313 53.489873, -2.336221 53.490024, -2.336208 53.490544, -2.336456 53.490627, -2.335755 53.491145, -2.336262 53.491381, -2.336144 53.491469, -2.336539 53.491659, -2.336335 53.491806, -2.337210 53.492222, -2.338354 53.491392, -2.339153 53.491783, -2.340041 53.491127, -2.340299 53.491251, -2.340936 53.490749, -2.341512 53.491020, -2.342128 53.490562, -2.341298 53.490176, -2.342800 53.489056, -2.342048 53.488687, -2.341564 53.489050, -2.340686 53.488631, -2.340358 53.488856, -2.340292 53.488825)))",Ellesmere Park,local-authority-eng:SLF,
IHM_CONSERVATIONAREAS.2,,,2020-09-06,"MULTIPOLYGON (((-2.317687 53.499504, -2.317220 53.499223, -2.317535 53.499039, -2.317703 53.498891, -2.317753 53.498792, -2.317751 53.498604, -2.317681 53.498446, -2.317666 53.498272, -2.316732 53.498541, -2.316889 53.498735, -2.315319 53.499296, -2.315254 53.499217, -2.314392 53.499563, -2.314259 53.499544, -2.314049 53.499632, -2.314233 53.499787, -2.314903 53.500610, -2.315228 53.500581, -2.315295 53.500448, -2.315447 53.500306, -2.315970 53.500119, -2.316252 53.499963, -2.317398 53.500294, -2.317535 53.500189, -2.317318 53.500053, -2.317309 53.500017, -2.317930 53.499655, -2.317687 53.499504)))",Radcliffe Park Road,local-authority-eng:SLF,
IHM_CONSERVATIONAREAS.3,,,2020-09-06,"MULTIPOLYGON (((-2.357178 53.493100, -2.356432 53.492392, -2.356067 53.492119, -2.357978 53.492122, -2.357608 53.491969, -2.356937 53.491623, -2.357058 53.491428, -2.357482 53.491005, -2.357157 53.490862, -2.356464 53.491338, -2.355662 53.491690, -2.354361 53.492025, -2.353964 53.492019, -2.353652 53.491933, -2.353481 53.492086, -2.353535 53.492203, -2.353524 53.492302, -2.353477 53.492401, -2.353377 53.492501, -2.352856 53.492691, -2.351901 53.492977, -2.352020 53.493135, -2.353046 53.493048, -2.353643 53.492871, -2.353853 53.493182, -2.354376 53.493068, -2.354468 53.493303, -2.355054 53.493317, -2.355379 53.493515, -2.357243 53.493158, -2.357178 53.493100)))",Monton Green,local-authority-eng:SLF,
IHM_CONSERVATIONAREAS.4,,,2020-09-06,"MULTIPOLYGON (((-2.386117 53.502617, -2.385956 53.502399, -2.385935 53.502195, -2.386015 53.502103, -2.386510 53.501866, -2.386677 53.501726, -2.387261 53.500583, -2.387323 53.500391, -2.387336 53.500194, -2.387288 53.500029, -2.387184 53.499876, -2.387037 53.499744, -2.386861 53.499644, -2.386413 53.499504, -2.385881 53.499482, -2.385346 53.499610, -2.385120 53.499724, -2.384948 53.499859, -2.384487 53.500388, -2.383538 53.501756, -2.383074 53.502333, -2.382752 53.502614, -2.381809 53.503259, -2.381898 53.503381, -2.381420 53.503482, -2.383513 53.503665, -2.384987 53.503634, -2.386035 53.503658, -2.385903 53.503250, -2.386109 53.502728, -2.386117 53.502617)))",St. Mark's,local-authority-eng:SLF,
IHM_CONSERVATIONAREAS.8,,,2020-09-06,"MULTIPOLYGON (((-2.243796 53.487228, -2.243770 53.487170, -2.244175 53.487095, -2.244449 53.487000, -2.244573 53.487118, -2.245161 53.486932, -2.245753 53.486630, -2.245792 53.486565, -2.245447 53.486415, -2.245410 53.486350, -2.246764 53.485897, -2.246407 53.485589, -2.246880 53.485378, -2.246068 53.484886, -2.245433 53.484586, -2.245202 53.484529, -2.244313 53.484411, -2.243893 53.484401, -2.242729 53.484730, -2.242407 53.484730, -2.242044 53.485159, -2.241289 53.486159, -2.241754 53.486528, -2.242021 53.486451, -2.242236 53.486705, -2.243110 53.487473, -2.243796 53.487228)))",The Cathedral,local-authority-eng:SLF,
IHM_CONSERVATIONAREAS.14,,,2020-09-06,"MULTIPOLYGON (((-2.266573 53.500190, -2.266433 53.500009, -2.266091 53.500100, -2.266353 53.500427, -2.266344 53.500564, -2.266706 53.500569, -2.266688 53.501119, -2.266580 53.501808, -2.266584 53.501909, -2.266829 53.501939, -2.266719 53.502220, -2.267540 53.502288, -2.267628 53.502064, -2.268040 53.502116, -2.267865 53.502626, -2.267540 53.502572, -2.267492 53.502716, -2.267313 53.502695, -2.267298 53.502917, -2.266455 53.502810, -2.266232 53.503145, -2.265654 53.503384, -2.265755 53.503628, -2.265755 53.503746, -2.265709 53.503859, -2.265584 53.504008, -2.265193 53.504350, -2.264303 53.504981, -2.263877 53.505451, -2.263682 53.505771, -2.263518 53.506194, -2.263395 53.506275, -2.262639 53.509150, -2.262991 53.509263, -2.264787 53.508697, -2.264704 53.508297, -2.264810 53.508079, -2.265197 53.507825, -2.265768 53.507622, -2.266107 53.507440, -2.266446 53.507322, -2.266998 53.507065, -2.267693 53.506669, -2.268032 53.506561, -2.268995 53.506101, -2.270080 53.505203, -2.270808 53.504498, -2.270986 53.504263, -2.271090 53.503857, -2.271228 53.503036, -2.271261 53.502546, -2.271595 53.501671, -2.271590 53.500957, -2.271377 53.500419, -2.270217 53.500338, -2.270422 53.499947, -2.270421 53.499862, -2.270367 53.499819, -2.269903 53.499863, -2.269877 53.499698, -2.267458 53.499963, -2.267502 53.500115, -2.267117 53.500220, -2.266573 53.500190)))",The Cliff,local-authority-eng:SLF,
IHM_CONSERVATIONAREAS.15,,,2020-09-06,"MULTIPOLYGON (((-2.381768 53.512947, -2.381911 53.512683, -2.380959 53.512643, -2.380996 53.512464, -2.381061 53.512328, -2.381341 53.512106, -2.381430 53.512135, -2.381837 53.511809, -2.382010 53.511752, -2.382182 53.511590, -2.382195 53.511455, -2.382406 53.511258, -2.384073 53.511469, -2.385029 53.511551, -2.385139 53.511279, -2.385053 53.511258, -2.385153 53.511027, -2.385092 53.510066, -2.384465 53.510220, -2.384378 53.509980, -2.384392 53.509722, -2.384152 53.509469, -2.383742 53.509616, -2.383588 53.509470, -2.383493 53.509445, -2.383399 53.509357, -2.383157 53.509414, -2.382737 53.509238, -2.382422 53.509180, -2.381925 53.508913, -2.381862 53.508664, -2.381773 53.508474, -2.381868 53.508300, -2.381862 53.508235, -2.382213 53.508076, -2.382146 53.508007, -2.382153 53.507880, -2.382781 53.507294, -2.382835 53.507132, -2.382727 53.506972, -2.380833 53.506456, -2.380538 53.506406, -2.380351 53.506423, -2.380002 53.506533, -2.378627 53.506838, -2.377097 53.506748, -2.376835 53.506626, -2.375100 53.507711, -2.374599 53.507973, -2.373743 53.508517, -2.374014 53.509074, -2.374304 53.509336, -2.374207 53.509379, -2.374048 53.509364, -2.374086 53.509436, -2.374210 53.509517, -2.374269 53.509598, -2.374287 53.509809, -2.374392 53.509895, -2.374330 53.509991, -2.374361 53.510027, -2.374655 53.509972, -2.374738 53.510039, -2.374637 53.510059, -2.374843 53.510332, -2.375205 53.510224, -2.375301 53.510453, -2.374872 53.510576, -2.374987 53.510721, -2.375110 53.510698, -2.375193 53.510945, -2.374978 53.510969, -2.375047 53.511233, -2.374933 53.511409, -2.374436 53.511497, -2.374494 53.511615, -2.374503 53.511867, -2.374387 53.512271, -2.374516 53.512406, -2.374686 53.512505, -2.374825 53.512553, -2.374904 53.512535, -2.375081 53.512582, -2.375425 53.512461, -2.376132 53.512434, -2.376147 53.512465, -2.376702 53.512369, -2.376549 53.512570, -2.376153 53.512651, -2.376580 53.513108, -2.376977 53.513368, -2.377415 53.513129, -2.377249 53.513068, -2.377027 53.512931, -2.376919 53.512915, -2.376992 53.512874, -2.376934 53.512834, -2.377197 53.512687, -2.377155 53.512661, -2.377299 53.512557, -2.377345 53.512578, -2.377581 53.512398, -2.378285 53.511799, -2.378612 53.511888, -2.378637 53.511860, -2.379139 53.512051, -2.379243 53.512099, -2.379218 53.512121, -2.379440 53.512211, -2.379275 53.512433, -2.379500 53.512488, -2.379674 53.512508, -2.379703 53.512479, -2.379861 53.512519, -2.380018 53.512639, -2.380146 53.512915, -2.380268 53.513042, -2.380607 53.512999, -2.381064 53.513131, -2.381337 53.513140, -2.381631 53.513078, -2.381768 53.512947)))",Roe Green / Beesley Green,local-authority-eng:SLF,
IHM_CONSERVATIONAREAS.16,,,2020-09-06,"MULTIPOLYGON (((-2.351982 53.474588, -2.352211 53.474763, -2.351762 53.474873, -2.351725 53.474912, -2.351746 53.474941, -2.351816 53.474953, -2.352311 53.474839, -2.352535 53.475011, -2.352329 53.475111, -2.352106 53.475293, -2.351651 53.475366, -2.350883 53.475391, -2.350958 53.475515, -2.351538 53.475463, -2.351613 53.475586, -2.351570 53.475602, -2.351620 53.475658, -2.351802 53.475686, -2.352553 53.475402, -2.352767 53.475682, -2.351633 53.476017, -2.351681 53.476093, -2.351860 53.476063, -2.351921 53.476169, -2.352218 53.476465, -2.352551 53.476358, -2.352851 53.476604, -2.353189 53.476408, -2.352884 53.476254, -2.353616 53.475905, -2.354027 53.476319, -2.354162 53.476610, -2.354173 53.476858, -2.353942 53.477281, -2.353980 53.477315, -2.354118 53.477259, -2.354573 53.477217, -2.354820 53.477121, -2.355031 53.476992, -2.355001 53.476876, -2.356335 53.476323, -2.356040 53.476066, -2.355709 53.476227, -2.355621 53.476149, -2.355374 53.476081, -2.355189 53.475871, -2.355159 53.475465, -2.355687 53.475250, -2.355646 53.475201, -2.356090 53.475002, -2.356358 53.474846, -2.356589 53.475056, -2.356929 53.474907, -2.357107 53.475169, -2.357782 53.474938, -2.357423 53.474581, -2.356795 53.474791, -2.356514 53.474558, -2.356117 53.474733, -2.355710 53.474253, -2.354744 53.474531, -2.353709 53.474767, -2.353539 53.474552, -2.353980 53.474442, -2.353995 53.474391, -2.353913 53.474370, -2.353481 53.474464, -2.353257 53.474126, -2.353993 53.473919, -2.354430 53.473734, -2.354763 53.473637, -2.354820 53.473571, -2.355305 53.473452, -2.355423 53.473474, -2.355399 53.473403, -2.355636 53.473332, -2.356076 53.473266, -2.354655 53.472552, -2.353918 53.472753, -2.353548 53.473231, -2.353438 53.473146, -2.353350 53.473138, -2.353247 53.473187, -2.352799 53.472863, -2.351957 53.473256, -2.351877 53.473170, -2.351812 53.473032, -2.351722 53.473289, -2.351886 53.473650, -2.351440 53.473848, -2.351144 53.474070, -2.351674 53.474402, -2.351778 53.474433, -2.351982 53.474588)))",Barton-upon-Irwell,local-authority-eng:SLF,
IHM_CONSERVATIONAREAS.5,,,2020-09-06,"MULTIPOLYGON (((-2.308967 53.499873, -2.309056 53.499938, -2.308677 53.500108, -2.308875 53.500271, -2.309022 53.500209, -2.309171 53.500319, -2.309338 53.500261, -2.309460 53.500359, -2.310136 53.500092, -2.310007 53.499988, -2.310269 53.499877, -2.310422 53.500005, -2.310623 53.499923, -2.310399 53.499135, -2.308990 53.499505, -2.308670 53.499663, -2.308967 53.499873)))",Irlams o'th' Height,local-authority-eng:SLF,
IHM_CONSERVATIONAREAS.13,,,2020-09-06,"MULTIPOLYGON (((-2.321550 53.511642, -2.321892 53.511813, -2.322342 53.512092, -2.323001 53.511694, -2.322902 53.511646, -2.322791 53.511639, -2.323845 53.510705, -2.322645 53.510281, -2.321426 53.510726, -2.321161 53.511047, -2.321152 53.511199, -2.320967 53.511430, -2.321550 53.511642)))",St. Augustine's,local-authority-eng:SLF,
