row-number,field,issue-type,value
1,entry-date,default,2020-09-05
1,organisation,default,local-authority-eng:SOX
2,entry-date,default,2020-09-05
2,organisation,default,local-authority-eng:SOX
3,entry-date,default,2020-09-05
3,organisation,default,local-authority-eng:SOX
4,entry-date,default,2020-09-05
4,organisation,default,local-authority-eng:SOX
5,entry-date,default,2020-09-05
5,organisation,default,local-authority-eng:SOX
6,entry-date,default,2020-09-05
6,organisation,default,local-authority-eng:SOX
7,entry-date,default,2020-09-05
7,organisation,default,local-authority-eng:SOX
8,entry-date,default,2020-09-05
8,organisation,default,local-authority-eng:SOX
9,entry-date,default,2020-09-05
9,organisation,default,local-authority-eng:SOX
10,entry-date,default,2020-09-05
10,organisation,default,local-authority-eng:SOX
11,entry-date,default,2020-09-05
11,organisation,default,local-authority-eng:SOX
12,entry-date,default,2020-09-05
12,organisation,default,local-authority-eng:SOX
13,entry-date,default,2020-09-05
13,organisation,default,local-authority-eng:SOX
14,entry-date,default,2020-09-05
14,organisation,default,local-authority-eng:SOX
15,entry-date,default,2020-09-05
15,organisation,default,local-authority-eng:SOX
16,entry-date,default,2020-09-05
16,organisation,default,local-authority-eng:SOX
17,entry-date,default,2020-09-05
17,organisation,default,local-authority-eng:SOX
18,entry-date,default,2020-09-05
18,organisation,default,local-authority-eng:SOX
19,entry-date,default,2020-09-05
19,organisation,default,local-authority-eng:SOX
20,entry-date,default,2020-09-05
20,organisation,default,local-authority-eng:SOX
21,entry-date,default,2020-09-05
21,organisation,default,local-authority-eng:SOX
22,entry-date,default,2020-09-05
22,organisation,default,local-authority-eng:SOX
23,entry-date,default,2020-09-05
23,organisation,default,local-authority-eng:SOX
24,entry-date,default,2020-09-05
24,organisation,default,local-authority-eng:SOX
25,entry-date,default,2020-09-05
25,organisation,default,local-authority-eng:SOX
26,entry-date,default,2020-09-05
26,organisation,default,local-authority-eng:SOX
27,entry-date,default,2020-09-05
27,organisation,default,local-authority-eng:SOX
28,entry-date,default,2020-09-05
28,organisation,default,local-authority-eng:SOX
29,entry-date,default,2020-09-05
29,organisation,default,local-authority-eng:SOX
30,entry-date,default,2020-09-05
30,organisation,default,local-authority-eng:SOX
31,entry-date,default,2020-09-05
31,organisation,default,local-authority-eng:SOX
32,entry-date,default,2020-09-05
32,organisation,default,local-authority-eng:SOX
33,entry-date,default,2020-09-05
33,organisation,default,local-authority-eng:SOX
34,entry-date,default,2020-09-05
34,organisation,default,local-authority-eng:SOX
35,entry-date,default,2020-09-05
35,organisation,default,local-authority-eng:SOX
36,entry-date,default,2020-09-05
36,organisation,default,local-authority-eng:SOX
37,entry-date,default,2020-09-05
37,organisation,default,local-authority-eng:SOX
38,entry-date,default,2020-09-05
38,organisation,default,local-authority-eng:SOX
39,entry-date,default,2020-09-05
39,organisation,default,local-authority-eng:SOX
40,entry-date,default,2020-09-05
40,organisation,default,local-authority-eng:SOX
41,entry-date,default,2020-09-05
41,organisation,default,local-authority-eng:SOX
42,entry-date,default,2020-09-05
42,organisation,default,local-authority-eng:SOX
43,entry-date,default,2020-09-05
43,organisation,default,local-authority-eng:SOX
44,entry-date,default,2020-09-05
44,organisation,default,local-authority-eng:SOX
45,entry-date,default,2020-09-05
45,organisation,default,local-authority-eng:SOX
46,entry-date,default,2020-09-05
46,organisation,default,local-authority-eng:SOX
47,entry-date,default,2020-09-05
47,organisation,default,local-authority-eng:SOX
48,entry-date,default,2020-09-05
48,organisation,default,local-authority-eng:SOX
49,entry-date,default,2020-09-05
49,organisation,default,local-authority-eng:SOX
50,entry-date,default,2020-09-05
50,organisation,default,local-authority-eng:SOX
51,entry-date,default,2020-09-05
51,organisation,default,local-authority-eng:SOX
52,entry-date,default,2020-09-05
52,organisation,default,local-authority-eng:SOX
53,entry-date,default,2020-09-05
53,organisation,default,local-authority-eng:SOX
54,entry-date,default,2020-09-05
54,organisation,default,local-authority-eng:SOX
55,entry-date,default,2020-09-05
55,organisation,default,local-authority-eng:SOX
56,entry-date,default,2020-09-05
56,organisation,default,local-authority-eng:SOX
57,entry-date,default,2020-09-05
57,organisation,default,local-authority-eng:SOX
58,entry-date,default,2020-09-05
58,organisation,default,local-authority-eng:SOX
59,entry-date,default,2020-09-05
59,organisation,default,local-authority-eng:SOX
60,entry-date,default,2020-09-05
60,organisation,default,local-authority-eng:SOX
61,entry-date,default,2020-09-05
61,organisation,default,local-authority-eng:SOX
62,entry-date,default,2020-09-05
62,organisation,default,local-authority-eng:SOX
63,entry-date,default,2020-09-05
63,organisation,default,local-authority-eng:SOX
64,entry-date,default,2020-09-05
64,organisation,default,local-authority-eng:SOX
65,entry-date,default,2020-09-05
65,organisation,default,local-authority-eng:SOX
66,entry-date,default,2020-09-05
66,organisation,default,local-authority-eng:SOX
67,entry-date,default,2020-09-05
67,organisation,default,local-authority-eng:SOX
68,entry-date,default,2020-09-05
68,organisation,default,local-authority-eng:SOX
69,entry-date,default,2020-09-05
69,organisation,default,local-authority-eng:SOX
70,entry-date,default,2020-09-05
70,organisation,default,local-authority-eng:SOX
71,entry-date,default,2020-09-05
71,organisation,default,local-authority-eng:SOX
72,entry-date,default,2020-09-05
72,organisation,default,local-authority-eng:SOX
