row-number,field,issue-type,value
1,organisation,default,local-authority-eng:SNR
1,entry-date,default,2020-09-06
2,organisation,default,local-authority-eng:SNR
2,entry-date,default,2020-09-06
3,organisation,default,local-authority-eng:SNR
3,entry-date,default,2020-09-06
4,organisation,default,local-authority-eng:SNR
4,entry-date,default,2020-09-06
5,organisation,default,local-authority-eng:SNR
5,entry-date,default,2020-09-06
6,organisation,default,local-authority-eng:SNR
6,entry-date,default,2020-09-06
7,organisation,default,local-authority-eng:SNR
7,entry-date,default,2020-09-06
8,organisation,default,local-authority-eng:SNR
8,entry-date,default,2020-09-06
9,organisation,default,local-authority-eng:SNR
9,entry-date,default,2020-09-06
10,organisation,default,local-authority-eng:SNR
10,entry-date,default,2020-09-06
11,organisation,default,local-authority-eng:SNR
11,entry-date,default,2020-09-06
12,organisation,default,local-authority-eng:SNR
12,entry-date,default,2020-09-06
13,organisation,default,local-authority-eng:SNR
13,entry-date,default,2020-09-06
14,organisation,default,local-authority-eng:SNR
14,entry-date,default,2020-09-06
15,organisation,default,local-authority-eng:SNR
15,entry-date,default,2020-09-06
16,organisation,default,local-authority-eng:SNR
16,entry-date,default,2020-09-06
17,organisation,default,local-authority-eng:SNR
17,entry-date,default,2020-09-06
18,organisation,default,local-authority-eng:SNR
18,entry-date,default,2020-09-06
19,organisation,default,local-authority-eng:SNR
19,entry-date,default,2020-09-06
20,organisation,default,local-authority-eng:SNR
20,entry-date,default,2020-09-06
21,organisation,default,local-authority-eng:SNR
21,entry-date,default,2020-09-06
22,organisation,default,local-authority-eng:SNR
22,entry-date,default,2020-09-06
23,organisation,default,local-authority-eng:SNR
23,entry-date,default,2020-09-06
24,organisation,default,local-authority-eng:SNR
24,entry-date,default,2020-09-06
25,organisation,default,local-authority-eng:SNR
25,entry-date,default,2020-09-06
26,organisation,default,local-authority-eng:SNR
26,entry-date,default,2020-09-06
27,organisation,default,local-authority-eng:SNR
27,entry-date,default,2020-09-06
28,organisation,default,local-authority-eng:SNR
28,entry-date,default,2020-09-06
29,organisation,default,local-authority-eng:SNR
29,entry-date,default,2020-09-06
30,organisation,default,local-authority-eng:SNR
30,entry-date,default,2020-09-06
31,organisation,default,local-authority-eng:SNR
31,entry-date,default,2020-09-06
32,organisation,default,local-authority-eng:SNR
32,entry-date,default,2020-09-06
33,organisation,default,local-authority-eng:SNR
33,entry-date,default,2020-09-06
34,organisation,default,local-authority-eng:SNR
34,entry-date,default,2020-09-06
35,organisation,default,local-authority-eng:SNR
35,entry-date,default,2020-09-06
36,organisation,default,local-authority-eng:SNR
36,entry-date,default,2020-09-06
37,organisation,default,local-authority-eng:SNR
37,entry-date,default,2020-09-06
38,organisation,default,local-authority-eng:SNR
38,entry-date,default,2020-09-06
39,organisation,default,local-authority-eng:SNR
39,entry-date,default,2020-09-06
40,organisation,default,local-authority-eng:SNR
40,entry-date,default,2020-09-06
41,organisation,default,local-authority-eng:SNR
41,entry-date,default,2020-09-06
42,organisation,default,local-authority-eng:SNR
42,entry-date,default,2020-09-06
43,organisation,default,local-authority-eng:SNR
43,entry-date,default,2020-09-06
44,organisation,default,local-authority-eng:SNR
44,entry-date,default,2020-09-06
45,organisation,default,local-authority-eng:SNR
45,entry-date,default,2020-09-06
46,organisation,default,local-authority-eng:SNR
46,entry-date,default,2020-09-06
47,organisation,default,local-authority-eng:SNR
47,entry-date,default,2020-09-06
48,organisation,default,local-authority-eng:SNR
48,entry-date,default,2020-09-06
49,organisation,default,local-authority-eng:SNR
49,entry-date,default,2020-09-06
50,organisation,default,local-authority-eng:SNR
50,entry-date,default,2020-09-06
51,organisation,default,local-authority-eng:SNR
51,entry-date,default,2020-09-06
52,organisation,default,local-authority-eng:SNR
52,entry-date,default,2020-09-06
53,organisation,default,local-authority-eng:SNR
53,entry-date,default,2020-09-06
54,organisation,default,local-authority-eng:SNR
54,entry-date,default,2020-09-06
55,organisation,default,local-authority-eng:SNR
55,entry-date,default,2020-09-06
56,organisation,default,local-authority-eng:SNR
56,entry-date,default,2020-09-06
57,organisation,default,local-authority-eng:SNR
57,entry-date,default,2020-09-06
58,organisation,default,local-authority-eng:SNR
58,entry-date,default,2020-09-06
