row-number,field,issue-type,value
1,entry-date,default,2020-09-06
1,organisation,default,local-authority-eng:NDO
2,entry-date,default,2020-09-06
2,organisation,default,local-authority-eng:NDO
3,entry-date,default,2020-09-06
3,organisation,default,local-authority-eng:NDO
4,entry-date,default,2020-09-06
4,organisation,default,local-authority-eng:NDO
5,entry-date,default,2020-09-06
5,organisation,default,local-authority-eng:NDO
6,entry-date,default,2020-09-06
6,organisation,default,local-authority-eng:NDO
7,entry-date,default,2020-09-06
7,organisation,default,local-authority-eng:NDO
8,entry-date,default,2020-09-06
8,organisation,default,local-authority-eng:NDO
9,entry-date,default,2020-09-06
9,organisation,default,local-authority-eng:NDO
10,entry-date,default,2020-09-06
10,organisation,default,local-authority-eng:NDO
11,entry-date,default,2020-09-06
11,organisation,default,local-authority-eng:NDO
12,entry-date,default,2020-09-06
12,organisation,default,local-authority-eng:NDO
13,entry-date,default,2020-09-06
13,organisation,default,local-authority-eng:NDO
14,entry-date,default,2020-09-06
14,organisation,default,local-authority-eng:NDO
15,entry-date,default,2020-09-06
15,organisation,default,local-authority-eng:NDO
16,entry-date,default,2020-09-06
16,organisation,default,local-authority-eng:NDO
17,entry-date,default,2020-09-06
17,organisation,default,local-authority-eng:NDO
18,entry-date,default,2020-09-06
18,organisation,default,local-authority-eng:NDO
19,entry-date,default,2020-09-06
19,organisation,default,local-authority-eng:NDO
20,entry-date,default,2020-09-06
20,organisation,default,local-authority-eng:NDO
21,entry-date,default,2020-09-06
21,organisation,default,local-authority-eng:NDO
22,entry-date,default,2020-09-06
22,organisation,default,local-authority-eng:NDO
23,entry-date,default,2020-09-06
23,organisation,default,local-authority-eng:NDO
24,entry-date,default,2020-09-06
24,organisation,default,local-authority-eng:NDO
25,entry-date,default,2020-09-06
25,organisation,default,local-authority-eng:NDO
26,entry-date,default,2020-09-06
26,organisation,default,local-authority-eng:NDO
27,entry-date,default,2020-09-06
27,organisation,default,local-authority-eng:NDO
28,entry-date,default,2020-09-06
28,organisation,default,local-authority-eng:NDO
29,entry-date,default,2020-09-06
29,organisation,default,local-authority-eng:NDO
30,entry-date,default,2020-09-06
30,organisation,default,local-authority-eng:NDO
31,entry-date,default,2020-09-06
31,organisation,default,local-authority-eng:NDO
32,entry-date,default,2020-09-06
32,organisation,default,local-authority-eng:NDO
33,entry-date,default,2020-09-06
33,organisation,default,local-authority-eng:NDO
34,entry-date,default,2020-09-06
34,organisation,default,local-authority-eng:NDO
35,entry-date,default,2020-09-06
35,organisation,default,local-authority-eng:NDO
36,entry-date,default,2020-09-06
36,organisation,default,local-authority-eng:NDO
37,entry-date,default,2020-09-06
37,organisation,default,local-authority-eng:NDO
38,entry-date,default,2020-09-06
38,organisation,default,local-authority-eng:NDO
39,entry-date,default,2020-09-06
39,organisation,default,local-authority-eng:NDO
40,entry-date,default,2020-09-06
40,organisation,default,local-authority-eng:NDO
41,entry-date,default,2020-09-06
41,organisation,default,local-authority-eng:NDO
42,entry-date,default,2020-09-06
42,organisation,default,local-authority-eng:NDO
43,entry-date,default,2020-09-06
43,organisation,default,local-authority-eng:NDO
44,entry-date,default,2020-09-06
44,organisation,default,local-authority-eng:NDO
45,entry-date,default,2020-09-06
45,organisation,default,local-authority-eng:NDO
46,entry-date,default,2020-09-06
46,organisation,default,local-authority-eng:NDO
47,entry-date,default,2020-09-06
47,organisation,default,local-authority-eng:NDO
48,entry-date,default,2020-09-06
48,organisation,default,local-authority-eng:NDO
